Analyse fonctionnelle des emplois,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Emplois dans les fonctions et emplois des cadres des fonctions métropolitaines dans les communes en 2011,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Recensement de la population 2011 exploitation complémentaire au lieu de travail, recensement de la population 2012 - exploitation exhaustive (Mayotte)",,,,,,,,,,,,,,,,,,,,,,,,,
Champ : France (y compris les DOM),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Emploi des cadres des fonctions métropolitaines,,,,,
Commune,,Code,,,Emploi dans la fonction :,,,,,,,,,,,,,,,Fonction,,,,,
Code,Libellé,Région,Département,Emploi total,Administration publique,Agriculture,Bâtiment-Travaux Publics,Commerce inter-entreprises,"Conception, Recherche","Culture, Loisirs",Distribution,"Education, Formation","Entretien, Réparation",Fabrication,Gestion,"Transports, Logistique",Prestations Intellectuelles,"Santé, Action Sociale",Services de Proximité,"Commerce 
inter-entreprises","Conception, Recherche","Culture, Loisirs",Gestion,Prestations Intellectuelles,Total
CODGEO,LIBGEO,REG,DEP,ELT11,ADMPUB11,AGRICU11,BTP11,COMINT11,CONREC11,CULLOI11,DISTRI11,EDUFOR11,ENTREP11,FABRIC11,GESTIO11,LOGIST11,PREINT11,SANSOC11,SERPRO11,COMINT_CAD11,CONREC_CAD11,CULLOI_CAD11,GESTIO_CAD11,PREINT_CAD11,CFM11
01037,Bénonces,84,01,24,0,20,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
01038,Bény,84,01,62,4,8,10,4,4,4,4,0,0,4,12,0,0,9,0,0,0,4,8,0,12
01039,Béon,84,01,117,12,4,16,0,0,0,4,0,20,20,16,0,3,4,19,0,0,0,0,0,0
01040,Béréziat,84,01,63,4,16,4,0,0,0,0,3,8,4,0,0,0,4,20,0,0,0,0,0,0
01041,Bettant,84,01,49,4,0,8,0,0,4,0,5,5,0,12,0,4,4,4,0,0,0,4,4,8
01042,Bey,84,01,32,0,0,12,0,4,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0
01043,Beynost,84,01,"3,292",47,4,167,248,129,33,580,74,165,537,468,401,85,126,227,53,93,11,120,22,299
01044,Billiat,84,01,70,7,7,4,0,0,0,4,4,0,11,0,4,8,0,22,0,0,0,0,8,8
01045,Birieux,84,01,56,23,4,0,11,0,0,0,0,3,4,0,4,4,0,4,0,0,0,0,0,0
01046,Biziat,84,01,100,0,16,20,0,4,0,8,4,12,12,4,4,0,0,16,0,4,0,0,0,4
01047,Blyes,84,01,847,25,8,63,45,21,0,37,22,116,157,88,167,20,20,57,11,8,0,24,8,51
01049,La Boisse,84,01,979,43,0,88,41,19,15,86,120,134,128,76,51,30,53,94,17,13,0,34,6,69
01050,Boissey,84,01,39,4,20,4,0,0,0,4,0,1,0,0,1,0,0,5,0,0,0,0,0,0
01051,Bolozon,84,01,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01052,Bouligneux,84,01,34,0,8,0,4,0,0,0,3,0,0,0,0,0,0,19,0,0,0,0,0,0
01053,Bourg-en-Bresse,84,01,"31,250","4,032",134,"1,425",981,403,526,"2,546","1,796","1,962","3,169","4,890","2,351",874,"3,712","2,448",180,200,263,"1,106",310,"2,059"
01054,Bourg-Saint-Christophe,84,01,123,12,4,16,4,0,4,4,20,4,11,19,4,4,0,19,0,0,0,8,4,11
01056,Boyeux-Saint-Jérôme,84,01,34,0,27,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
01057,Boz,84,01,60,0,8,4,0,0,4,4,4,8,4,8,0,0,0,16,0,0,0,0,0,0
01058,Brégnier-Cordon,84,01,240,17,0,16,20,4,8,12,4,16,78,20,8,4,12,21,4,0,4,4,0,12
01060,Brénod,84,01,76,8,9,11,4,0,0,8,0,12,4,8,0,0,4,8,0,0,0,0,0,0
01061,Brens,84,01,72,0,9,8,4,4,4,4,4,4,17,0,1,4,0,8,0,0,4,0,0,4
01062,Bressolles,84,01,307,4,11,16,20,2,0,8,8,13,50,35,103,4,0,33,11,2,0,16,4,33
01063,Brion,84,01,458,4,0,63,8,12,0,15,13,20,155,65,47,20,12,24,0,8,0,21,4,33
01064,Briord,84,01,638,8,8,28,28,12,8,27,5,28,269,74,86,23,12,20,4,4,4,24,11,48
01065,Buellas,84,01,191,12,17,28,4,0,0,12,12,16,11,16,0,8,17,37,0,0,0,4,0,4
01066,La Burbanche,84,01,17,0,0,0,0,0,0,0,0,0,4,4,0,0,0,8,0,0,0,0,0,0
01067,Ceignes,84,01,124,0,0,8,4,0,0,34,0,3,23,25,4,0,0,24,0,0,0,4,0,4
01068,Cerdon,84,01,154,16,24,32,5,0,0,4,4,16,0,4,8,4,16,20,0,0,0,0,4,4
01069,Certines,84,01,357,4,15,85,24,11,7,4,15,33,41,41,26,9,5,37,8,7,7,11,0,33
01071,Cessy,84,01,615,8,12,102,12,4,15,91,25,72,28,38,32,24,54,98,0,0,11,16,19,46
01072,Ceyzériat,84,01,990,26,34,76,55,23,28,43,57,85,121,149,40,40,123,90,15,19,9,52,0,95
01073,Ceyzérieu,84,01,115,8,11,19,0,0,0,15,4,8,8,4,8,11,0,19,0,0,0,0,11,11
01074,Chalamont,84,01,697,12,71,36,20,0,16,49,16,76,69,55,96,12,78,92,8,0,12,11,0,31
01075,Chaleins,84,01,479,0,52,47,16,0,0,24,16,53,123,25,40,7,9,67,0,0,0,0,0,0
01076,Chaley,84,01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
01077,Challes-la-Montagne,84,01,20,0,8,0,4,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0
01078,Challex,84,01,112,1,4,24,0,4,0,8,16,14,0,0,0,4,20,17,0,4,0,0,0,4
01079,Champagne-en-Valromey,84,01,359,28,16,0,33,12,0,8,16,32,60,40,20,4,49,40,0,8,0,8,0,16
01080,Champdor-Corcelles,84,01,161,0,37,24,0,0,4,0,8,24,11,8,12,0,0,33,0,0,4,4,0,8
01081,Champfromier,84,01,530,12,20,9,29,33,4,5,21,41,168,86,59,8,4,32,18,30,0,19,0,67
01082,Chanay,84,01,227,13,9,4,0,0,12,0,41,32,4,35,0,0,74,4,0,0,0,0,0,0
01083,Chaneins,84,01,144,8,20,16,8,0,0,4,8,0,20,12,8,8,0,32,4,0,0,4,4,12
01084,Chanoz-Châtenay,84,01,60,0,16,0,0,4,0,0,8,0,8,4,4,0,4,12,0,0,0,0,0,0
01085,La Chapelle-du-Châtelard,84,01,71,0,20,19,0,0,0,4,0,0,12,0,0,0,0,16,0,0,0,0,0,0
01087,Charix,84,01,33,4,4,0,0,0,0,0,4,0,0,0,4,0,0,17,0,0,0,0,0,0
01088,Charnoz-sur-Ain,84,01,329,4,12,40,29,0,4,17,1,34,49,24,60,20,20,16,0,0,4,0,20,24
01089,Château-Gaillard,84,01,533,24,13,77,20,32,11,42,10,49,67,36,62,11,0,79,11,6,0,4,4,25
