Analyse fonctionnelle des emplois,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Emplois dans les fonctions et emplois des cadres des fonctions métropolitaines dans les communes en 1999,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Recensement de la population 1999 exploitation complémentaire au lieu de travail",,,,,,,,,,,,,,,,,,,,,,,,,
Champ : France (y compris les DOMs),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Emploi des cadres des fonctions métropolitaines,,,,,
Commune,,Code,,,Emploi dans la fonction :,,,,,,,,,,,,,,,Fonction,,,,,
Code,Libellé,Région,Département,Emploi total,Administration publique,Agriculture,Bâtiment-Travaux Publics,Commerce inter-entreprises,"Conception, Recherche","Culture, Loisirs",Distribution,"Education, Formation","Entretien, Réparation",Fabrication,Gestion,"Transports, Logistique",Prestations Intellectuelles,"Santé, Action Sociale",Services de Proximité,"Commerce 
inter-entreprises","Conception, Recherche","Culture, Loisirs",Gestion,Prestations Intellectuelles,Total
CODGEO,LIBGEO,REG,DEP,ELT99,ADMPUB99,AGRICU99,BTP99,COMINT99,CONREC99,CULLOI99,DISTRI99,EDUFOR99,ENTREP99,FABRIC99,GESTIO99,LOGIST99,PREINT99,SANSOC99,SERPRO99,COMINT_CAD99,CONREC_CAD99,CULLOI_CAD99,GESTIO_CAD99,PREINT_CAD99,CFM99
01038,Bény,84,01,116,0,32,28,0,0,0,4,0,8,20,4,4,0,4,12,0,0,0,0,0,0
01039,Béon,84,01,56,8,8,0,0,0,0,4,4,12,4,0,0,0,0,16,0,0,0,0,0,0
01040,Béréziat,84,01,80,0,40,8,0,0,0,0,4,0,0,0,4,4,0,20,0,0,0,0,0,0
01041,Bettant,84,01,92,0,4,16,8,0,0,0,0,16,16,16,8,0,0,8,4,0,0,8,0,12
01042,Bey,84,01,44,4,4,8,0,0,0,0,0,12,0,0,0,4,0,12,0,0,0,0,0,0
01043,Beynost,84,01,"2,614",41,12,108,207,89,28,364,12,142,748,343,197,54,56,213,74,45,12,85,16,232
01044,Billiat,84,01,68,4,4,20,0,0,0,0,0,8,12,0,0,0,0,20,0,0,0,0,0,0
01045,Birieux,84,01,52,4,24,0,0,0,0,0,0,12,0,4,0,0,0,8,0,0,0,4,0,4
01046,Biziat,84,01,116,0,32,36,4,0,0,4,8,4,0,8,8,0,0,12,0,0,0,0,0,0
01047,Blyes,84,01,782,4,16,48,20,25,0,12,4,84,252,80,181,4,0,52,8,9,0,20,0,37
01049,La Boisse,84,01,834,36,20,52,37,20,24,36,44,87,194,64,88,12,60,60,8,8,8,24,0,48
01050,Boissey,84,01,32,0,24,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4
01051,Bolozon,84,01,16,4,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0
01052,Bouligneux,84,01,45,0,25,0,0,0,0,4,0,0,0,0,0,0,0,16,0,0,0,0,0,0
01053,Bourg-en-Bresse,84,01,"28,030","3,436",143,"1,143",733,272,317,"2,296","2,127","2,162","3,206","4,735","2,299",629,"2,308","2,224",134,173,142,811,166,"1,426"
01054,Bourg-Saint-Christophe,84,01,96,4,12,16,0,0,4,8,4,8,8,8,0,0,8,16,0,0,0,0,0,0
01056,Boyeux-Saint-Jérôme,84,01,56,8,40,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
01057,Boz,84,01,40,4,28,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01058,Brégnier-Cordon,84,01,146,8,0,8,12,4,0,12,0,16,46,8,16,0,8,8,0,0,0,4,0,4
01060,Brénod,84,01,76,12,4,4,0,0,0,4,4,4,12,8,4,0,20,0,0,0,0,0,0,0
01061,Brens,84,01,64,8,8,8,0,0,0,12,0,8,12,0,4,0,0,4,0,0,0,0,0,0
01062,Bressolles,84,01,140,8,20,20,8,4,0,0,0,12,28,8,8,0,0,24,0,0,0,4,0,4
01063,Brion,84,01,316,0,0,24,16,16,0,0,0,16,148,36,28,12,0,20,12,12,0,12,4,40
01064,Briord,84,01,642,12,4,12,38,12,4,12,4,20,332,56,96,4,4,32,8,12,0,4,0,24
01065,Buellas,84,01,192,4,36,40,8,4,0,12,4,4,28,8,8,0,12,24,4,0,0,4,0,8
01066,La Burbanche,84,01,12,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0
01067,Ceignes,84,01,69,0,0,4,0,0,0,12,0,4,17,8,0,0,0,24,0,0,0,4,0,4
01068,Cerdon,84,01,272,4,28,44,4,0,0,20,12,32,36,20,12,0,8,52,0,0,0,0,0,0
01069,Certines,84,01,173,4,8,33,0,0,0,0,16,28,32,4,32,0,4,12,0,0,0,4,0,4
01071,Cessy,84,01,526,14,13,80,8,5,4,57,16,72,53,78,64,6,4,52,0,5,0,10,0,15
01072,Ceyzériat,84,01,813,21,48,85,20,12,8,36,8,64,160,105,73,33,52,88,4,12,4,32,4,56
01073,Ceyzérieu,84,01,93,4,16,20,0,0,1,12,4,0,0,8,4,0,4,20,0,0,0,0,0,0
01074,Chalamont,84,01,551,24,44,24,8,0,8,36,12,44,80,65,73,4,29,100,0,0,4,9,0,13
01075,Chaleins,84,01,288,8,32,12,8,0,4,0,12,48,88,32,12,0,4,28,4,0,4,8,0,16
01076,Chaley,84,01,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01077,Challes-la-Montagne,84,01,36,0,12,8,4,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0
01078,Challex,84,01,136,8,8,8,4,0,0,12,4,8,24,12,4,0,16,28,0,0,0,8,0,8
01079,Champagne-en-Valromey,84,01,292,24,40,32,4,0,0,4,4,52,8,8,20,20,36,40,0,0,0,0,8,8
01080,Champdor-Corcelles,84,01,148,4,24,44,0,0,0,16,8,16,4,12,16,0,0,4,0,0,0,8,0,8
01081,Champfromier,84,01,886,12,12,16,33,112,0,12,8,20,465,108,68,4,0,16,20,92,0,40,4,156
01082,Chanay,84,01,201,0,4,8,0,0,0,0,16,52,0,20,8,0,81,12,0,0,0,0,0,0
01083,Chaneins,84,01,132,0,24,4,0,0,0,16,8,0,40,12,4,4,0,20,0,0,0,4,0,4
01084,Chanoz-Châtenay,84,01,68,0,24,4,4,0,0,0,4,8,8,4,0,4,0,8,0,0,0,0,0,0
01085,La Chapelle-du-Châtelard,84,01,76,4,40,4,0,0,0,4,0,0,8,0,4,0,0,12,0,0,0,0,0,0
01087,Charix,84,01,32,0,8,4,0,0,0,4,4,0,0,4,8,0,0,0,0,0,0,0,0,0
01088,Charnoz-sur-Ain,84,01,161,0,4,8,9,4,0,8,8,12,36,32,4,8,0,28,4,4,0,12,4,24
01089,Château-Gaillard,84,01,336,20,36,76,16,0,8,16,16,24,28,16,44,8,0,28,4,0,0,8,0,12
01090,Châtenay,84,01,36,0,24,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0
01092,Châtillon-la-Palud,84,01,209,0,4,32,0,0,0,4,24,44,20,9,12,0,32,28,0,0,0,0,0,0
01093,Châtillon-sur-Chalaronne,84,01,"2,333",100,80,100,73,72,16,196,122,192,543,241,192,44,173,189,9,20,12,40,20,101
01094,Chavannes-sur-Reyssouze,84,01,80,4,32,4,4,0,0,4,0,0,4,4,12,4,0,8,0,0,0,0,4,4
01095,Nivigne et Suran,84,01,223,12,12,8,4,24,8,4,4,9,82,12,28,0,0,16,0,12,4,0,0,16
01096,Chaveyriat,84,01,176,12,40,36,4,0,0,12,8,8,16,0,4,0,4,32,0,0,0,0,0,0
01098,Chazey-Bons,84,01,360,12,8,48,16,0,8,56,0,36,76,32,44,4,4,16,4,0,4,8,0,16
01099,Chazey-sur-Ain,84,01,148,8,20,20,4,0,0,4,4,20,12,4,8,0,16,28,0,0,0,0,0,0
01100,Cheignieu-la-Balme,84,01,8,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
01101,Chevillard,84,01,16,0,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
01102,Chevroux,84,01,108,0,40,4,8,0,0,8,0,12,12,8,0,0,4,12,0,0,0,0,0,0
01103,Chevry,84,01,86,0,8,4,4,4,4,8,1,16,0,9,4,0,0,24,0,4,0,0,0,4
01104,Chézery-Forens,84,01,89,16,16,8,0,0,4,0,4,4,12,4,0,0,0,21,0,0,0,0,0,0
01105,Civrieux,84,01,203,4,40,8,12,0,20,8,13,4,17,16,4,4,17,36,4,0,12,8,0,24
01106,Cize,84,01,16,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0
01107,Cleyzieu,84,01,24,4,8,0,0,0,4,0,0,4,4,0,0,0,0,0,0,0,4,0,0,4
01108,Coligny,84,01,297,12,12,32,0,8,4,28,25,48,24,12,20,0,40,32,0,0,4,4,0,8
01109,Collonges,84,01,156,12,12,20,0,0,0,40,8,4,8,16,8,0,16,12,0,0,0,4,0,4
01110,Colomieu,84,01,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01111,Conand,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01112,Condamine,84,01,76,4,4,8,0,0,0,12,0,8,20,0,8,0,4,8,0,0,0,0,0,0
01113,Condeissiat,84,01,153,0,60,16,0,4,0,16,4,20,4,0,0,0,0,29,0,4,0,0,0,4
01114,Confort,84,01,256,8,4,20,4,16,0,8,0,40,104,24,8,0,16,4,4,8,0,4,0,16
01115,Confrançon,84,01,208,8,32,20,8,0,0,4,0,12,38,13,45,0,4,24,0,0,0,0,0,0
01116,Contrevoz,84,01,64,4,12,4,0,0,0,12,4,4,4,0,0,0,0,20,0,0,0,0,0,0
01117,Conzieu,84,01,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
01118,Corbonod,84,01,185,4,32,32,4,0,0,4,0,28,4,12,12,0,49,4,0,0,0,0,0,0
01121,Corlier,84,01,13,0,8,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,4,4
01123,Cormoranche-sur-Saône,84,01,193,8,0,48,12,0,0,4,0,0,49,16,36,4,0,16,0,0,0,12,0,12
01124,Cormoz,84,01,64,0,16,4,4,0,0,0,12,8,4,0,4,0,0,12,0,0,0,0,0,0
01125,Corveissiat,84,01,116,4,24,4,0,0,8,4,0,12,44,0,0,0,4,12,0,0,8,0,0,8
01127,Courmangoux,84,01,28,0,12,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0
01128,Courtes,84,01,152,4,16,0,0,0,0,5,4,8,20,0,91,0,0,4,0,0,0,0,0,0
01129,Crans,84,01,40,0,12,8,0,0,0,4,0,4,4,4,4,0,0,0,0,0,0,0,0,0
01130,Bresse Vallons,84,01,237,0,32,24,8,4,0,0,12,28,53,24,24,0,0,28,4,0,0,8,0,12
01133,Cressin-Rochefort,84,01,16,0,0,4,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0
01134,Crottet,84,01,295,12,16,80,16,0,0,8,20,12,25,25,45,8,4,24,4,0,0,8,0,12
01135,Crozet,84,01,225,14,32,39,4,4,4,8,8,19,8,12,25,8,0,40,0,4,0,4,0,8
01136,Cruzilles-lès-Mépillat,84,01,52,0,20,20,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4
01138,Culoz,84,01,"1,822",48,8,85,93,72,8,89,61,114,654,277,152,45,32,84,31,56,0,36,4,127
01139,Curciat-Dongalon,84,01,100,0,44,12,0,0,0,8,0,8,16,0,8,4,0,0,0,0,0,0,0,0
01140,Curtafond,84,01,128,4,32,0,4,8,0,4,8,24,20,0,8,0,0,16,0,8,0,0,0,8
01141,Cuzieu,84,01,16,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01142,Dagneux,84,01,"1,567",32,4,92,113,52,20,58,108,140,447,197,212,16,20,56,44,36,12,52,0,144
01143,Divonne-les-Bains,84,01,"1,703",133,15,91,32,6,168,165,44,149,20,164,104,30,126,456,14,2,15,22,18,71
01145,Dompierre-sur-Veyle,84,01,160,0,28,44,4,0,4,0,8,16,12,8,8,0,4,24,0,0,4,0,0,4
01146,Dompierre-sur-Chalaronne,84,01,24,4,8,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
01147,Domsure,84,01,89,4,40,12,8,0,0,4,0,4,5,0,0,0,0,12,4,0,0,0,0,4
01148,Dortan,84,01,404,4,20,24,16,16,0,16,8,24,128,40,56,0,12,40,0,4,0,16,0,20
01149,Douvres,84,01,52,4,0,12,8,0,0,4,4,0,4,4,0,0,0,12,0,0,0,0,0,0
01150,Drom,84,01,36,12,12,0,4,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0
01151,Druillat,84,01,120,4,12,28,16,0,0,8,8,4,12,0,0,0,0,28,0,0,0,0,0,0
01152,Échallon,84,01,88,4,12,0,4,0,0,0,4,4,36,8,8,0,0,8,4,0,0,8,0,12
01153,Échenevex,84,01,120,3,10,3,5,0,6,1,9,29,4,6,3,2,3,36,1,0,2,1,1,5
01155,Évosges,84,01,20,0,4,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0
01156,Faramans,84,01,100,8,36,20,0,4,0,4,8,4,0,12,0,0,0,4,0,4,0,0,0,4
01157,Fareins,84,01,360,8,68,56,20,8,4,16,4,40,52,12,24,4,8,36,12,4,4,4,4,28
01158,Farges,84,01,40,4,4,8,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
01159,Feillens,84,01,"1,017",28,96,72,56,0,0,64,40,64,216,72,225,12,8,64,16,0,0,20,0,36
01160,Ferney-Voltaire,84,01,"2,889",158,20,79,118,38,73,566,210,176,53,564,159,85,217,373,39,25,44,104,33,245
01162,Flaxieu,84,01,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01163,Foissiat,84,01,264,8,84,40,4,0,0,4,20,24,28,8,12,0,8,24,0,0,0,0,0,0
01165,Francheleins,84,01,112,0,20,4,16,0,4,8,12,0,0,4,24,0,4,16,0,0,0,0,0,0
01166,Frans,84,01,212,12,0,44,8,4,0,32,8,8,32,20,8,8,0,28,0,4,0,8,4,16
01167,Garnerans,84,01,56,0,4,12,8,0,0,0,8,4,0,0,8,0,0,12,4,0,0,0,0,4
01169,Genouilleux,84,01,48,0,12,4,4,0,0,0,0,4,8,0,0,4,0,12,4,0,0,0,4,8
01170,Béard-Géovreissiat,84,01,124,4,8,0,0,0,0,0,0,8,56,20,12,0,0,16,0,0,0,4,0,4
01171,Géovreisset,84,01,92,0,0,4,4,0,0,0,0,8,60,8,4,0,0,4,0,0,0,0,0,0
01173,Gex,84,01,"2,116",213,32,181,38,15,61,199,214,214,88,225,113,44,168,311,4,10,18,32,30,94
01174,Giron,84,01,28,8,0,0,0,0,4,0,0,4,0,4,0,0,4,4,0,0,0,0,0,0
01175,Gorrevod,84,01,148,8,36,8,4,0,0,4,4,16,12,4,28,4,0,20,0,0,0,0,4,4
01177,Grand-Corent,84,01,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01179,Grièges,84,01,405,8,32,28,12,16,0,0,16,32,133,24,48,4,8,44,4,4,0,16,0,24
01180,Grilly,84,01,138,8,16,4,4,0,0,12,4,17,4,17,16,8,8,20,0,0,0,8,4,12
01181,Groissiat,84,01,805,4,4,24,32,44,0,4,4,36,468,96,69,0,8,12,16,4,0,20,0,40
01183,Guéreins,84,01,180,0,8,36,12,0,4,0,12,8,36,12,16,0,4,32,0,0,4,0,0,4
01184,Hautecourt-Romanèche,84,01,120,8,12,28,0,0,4,12,12,0,4,12,8,4,0,16,0,0,4,4,0,8
01185,Plateau d'Hauteville,84,01,"2,338",144,40,112,0,4,16,84,84,384,116,181,132,8,841,192,0,0,8,21,4,33
01187,Haut Valromey,84,01,276,4,48,12,4,0,4,20,4,12,68,44,16,0,8,32,0,0,0,16,0,16
01188,Illiat,84,01,72,4,36,4,8,0,0,0,4,0,0,8,0,0,0,8,0,0,0,4,0,4
01189,Injoux-Génissiat,84,01,205,8,4,20,0,4,4,8,8,48,61,12,4,0,0,24,0,0,4,4,0,8
01190,Innimond,84,01,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01191,Izenave,84,01,32,4,12,0,0,0,0,0,0,0,4,4,0,0,4,4,0,0,0,0,0,0
01192,Izernore,84,01,"1,462",12,16,32,48,126,4,28,16,88,761,127,148,24,16,16,20,57,4,30,4,115
01193,Izieu,84,01,32,16,4,0,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0
01194,Jassans-Riottier,84,01,"1,520",64,8,116,73,12,16,116,160,125,334,108,138,12,110,128,24,0,8,32,0,64
01195,Jasseron,84,01,261,4,20,20,8,0,4,32,16,24,46,29,0,4,9,45,0,0,4,4,0,8
01196,Jayat,84,01,217,8,28,20,0,0,0,44,4,12,60,8,29,0,0,4,0,0,0,0,0,0
01197,Journans,84,01,32,0,4,12,0,0,0,0,4,4,0,0,0,0,0,8,0,0,0,0,0,0
01198,Joyeux,84,01,32,12,12,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0
01199,Jujurieux,84,01,374,20,16,52,0,1,4,29,16,32,96,16,32,0,28,32,0,1,4,0,0,5
01200,Labalme,84,01,32,0,0,8,0,0,4,4,0,4,0,4,0,0,0,8,0,0,0,0,0,0
01202,Lagnieu,84,01,"1,829",68,24,153,29,44,12,154,92,204,434,182,121,32,96,184,1,16,12,41,20,90
01203,Laiz,84,01,256,13,24,17,8,0,0,44,8,36,32,20,38,0,4,12,0,0,0,4,0,4
01204,Le Poizat-Lalleyriat,84,01,129,8,16,12,0,0,0,9,0,4,28,4,20,0,0,28,0,0,0,0,0,0
01206,Lantenay,84,01,28,0,4,0,0,0,0,4,0,0,12,0,8,0,0,0,0,0,0,0,0,0
01207,Lapeyrouse,84,01,48,0,8,16,0,0,0,0,0,0,0,4,0,0,0,20,0,0,0,0,0,0
01208,Lavours,84,01,12,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,4
01209,Léaz,84,01,40,4,8,0,4,0,0,0,4,0,0,0,4,0,4,12,0,0,0,0,0,0
01210,Lélex,84,01,140,12,4,8,0,0,12,20,0,16,12,20,16,4,4,12,0,0,0,0,0,0
01211,Lent,84,01,144,0,32,20,0,0,8,12,12,4,8,12,4,0,12,20,0,0,4,4,0,8
01212,Lescheroux,84,01,92,4,36,4,4,0,8,4,0,8,8,4,0,0,0,12,0,0,0,0,0,0
01213,Leyment,84,01,382,48,16,0,4,0,4,8,84,28,36,28,90,4,4,28,0,0,4,4,0,8
01214,Leyssard,84,01,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01215,Surjoux-Lhopital,84,01,17,0,4,0,0,0,0,0,4,4,4,0,0,0,1,0,0,0,0,0,0,0
01216,Lhuis,84,01,248,12,24,16,8,0,4,24,0,12,72,4,20,0,20,32,0,0,4,0,0,4
01219,Lompnas,84,01,28,0,8,8,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,4,0,4
01224,Loyettes,84,01,978,20,8,84,28,41,4,12,20,112,306,140,93,16,24,70,8,20,0,48,0,76
01225,Lurcy,84,01,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
01227,Magnieu,84,01,44,0,20,12,0,0,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0
01228,Maillat,84,01,241,20,8,29,8,0,0,20,0,16,64,16,36,0,4,20,0,0,0,4,0,4
01229,Malafretaz,84,01,166,8,16,45,0,0,4,5,4,16,0,20,16,0,0,32,0,0,0,4,0,4
01230,Mantenay-Montlin,84,01,52,0,28,8,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0
01231,Manziat,84,01,574,0,80,32,28,0,0,40,8,29,133,52,76,8,4,84,8,0,0,4,0,12
01232,Marboz,84,01,544,16,68,49,12,0,8,45,20,41,141,44,8,0,28,64,0,0,0,8,0,8
01233,Marchamp,84,01,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01234,Marignieu,84,01,32,0,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01235,Marlieux,84,01,120,0,32,28,4,0,0,12,0,0,20,0,0,8,4,12,0,0,0,0,0,0
01236,Marsonnas,84,01,84,0,36,28,4,4,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0
01237,Martignat,84,01,760,4,0,20,32,76,0,8,16,60,392,72,48,4,4,24,16,12,0,24,4,56
01238,Massieux,84,01,272,8,4,32,12,0,16,32,12,20,36,24,12,4,12,48,0,0,12,12,0,24
01239,Massignieu-de-Rives,84,01,68,4,24,16,0,0,4,0,4,0,8,4,0,0,0,4,0,0,0,0,0,0
01240,Matafelon-Granges,84,01,72,8,4,4,0,0,0,4,8,4,16,0,4,0,0,20,0,0,0,0,0,0
01241,Meillonnas,84,01,219,4,16,8,12,0,4,12,12,41,25,9,0,0,32,44,4,0,0,0,0,4
01242,Mérignat,84,01,28,4,20,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
01243,Messimy-sur-Saône,84,01,100,0,12,12,8,0,16,12,0,4,12,8,4,0,0,12,0,0,0,4,0,4
01244,Meximieux,84,01,"1,785",68,20,114,68,12,20,293,146,140,100,232,136,28,184,224,12,8,12,48,20,100
01245,Bohas-Meyriat-Rignat,84,01,98,4,28,0,4,0,4,4,0,4,4,8,21,0,0,17,0,0,4,4,0,8
