Revenus fiscaux localisés des ménages - Année 2011,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Ménage - Seuil : 50 ménages fiscaux pour médiane, 2 000 personnes pour autres indicateurs",,,,,,,,,,,,,,,,,,
Zones d'emploi 2010,,,,,,,,,,,,,,,,,,
© Insee     Source : Insee-DGFiP Revenus fiscaux localisés des ménages ,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,
,,,Nb de ménages fiscaux,1er quartile (€),Médiane (€),3ème quartile (€),Écart interquartile (€),1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),Rapport interdécile,Ecart-type (€),Moyenne (€)
ZE2010,REG,LIBGEO,NBMEN11,RFMQ111,RFMQ211,RFMQ311,RFMIQ11,RFMD111,RFMD211,RFMD311,RFMD411,RFMD611,RFMD711,RFMD811,RFMD911,RFMRD11,RFMET11,RFMMO11
9102,91,Limoux,19729,13023,21869,34927,21904,6026,11044,14831,18134,26460,31813,38650,49597,8.2,24399.56,26515.22
9103,91,Narbonne,71837,13810,23026,36473,22663,6289,11791,15609,19046,27786,33319,40445,52564,8.4,28683.97,28271.87
9104,91,Alès,65076,13304,22694,36313,23009,5602,11129,15179,18722,27300,32947,40326,52367,9.3,35661.67,27789.55
9105,91,Bagnols-sur-Cèze,28439,16169,27320,42676,26507,8466,13918,18324,22522,32689,39000,47064,60584,7.2,27226.35,32353.24
9106,91,Nîmes,150240,14986,26070,41918,26932,6746,12713,17051,21235,31655,38090,46440,60446,9.0,33572.06,32195.22
9107,91,Agde - Pézenas,38918,13951,23553,37135,23184,6890,12001,15782,19411,28210,33815,41241,54281,7.9,36877.08,29170.63
9108,91,Béziers,101105,13469,22955,37064,23595,5745,11465,15351,18880,27890,33692,41059,53552,9.3,32877.46,28721.89
9109,91,Clermont-l'Hérault - Lodève,23047,14259,24179,38883,24624,6971,12203,16173,19913,29507,35216,42809,54969,7.9,25601.58,29238.87
9110,91,Ganges,20748,13154,22676,36090,22936,5603,11109,15015,18554,27331,32852,39823,51887,9.3,24014.26,27251.61
9111,91,Montpellier,271528,16032,27663,45297,29265,7622,13720,18054,22439,33730,40935,50590,67297,8.8,43615.33,35267.56
9112,91,Sète,46380,14755,24448,38866,24111,6942,12736,16537,20111,29544,35357,43127,56295,8.1,30684.95,30025.97
9113,91,Lozère,32656,15383,24869,38842,23459,8870,13490,17054,20498,29966,35723,42429,53684,6.1,29015.20,30014.30
9114,91,Céret,34892,14833,24649,38379,23547,7756,12921,16592,20371,29540,35123,42436,55098,7.1,28962.75,29913.85
9115,91,Perpignan,153849,13783,23768,38407,24624,5612,11627,15714,19489,28903,34863,42558,55694,9.9,34857.56,29681.53
9116,91,Prades,19539,13785,22966,36503,22718,6805,11794,15485,18991,27886,33382,40234,51728,7.6,23076.36,27639.68
9301,93,Digne-les-Bains,32159,15405,25262,39828,24423,8379,13403,17238,20993,30390,36251,43944,56164,6.7,27114.20,30419.18
9302,93,Manosque,35636,16178,26776,42059,25881,9018,14201,18057,22018,32202,38325,46482,60400,6.7,29642.78,32648.53
9303,93,Briançon,15861,16467,26512,40921,24454,10454,14860,18222,22050,31586,37432,44915,58215,5.6,27936.57,32312.01
9304,93,Gap,46943,16166,26275,40967,24801,9592,14303,17962,21658,31524,37473,44922,57595,6.0,28879.87,31923.07
9305,93,Cannes - Antibes,193252,17372,29381,47516,30144,9683,15256,19429,24037,35451,42917,53114,71783,7.4,51126.92,38394.06
9306,93,Menton - Vallée de la Roya,39120,17750,29182,46153,28404,10098,15672,19913,24326,34963,41939,51328,67408,6.7,37463.87,36638.04
9307,93,Nice,294786,16200,27384,45249,29049,8378,14055,18215,22378,33437,40794,50684,68501,8.2,44928.34,36085.30
9308,93,Aix-en-Provence,165767,18928,32564,52142,33214,10576,16508,21332,26620,39132,47171,57968,77160,7.3,55716.29,41411.66
9309,93,Arles,35168,15205,25686,41523,26318,7510,13058,17136,21155,31102,37593,46029,60628,8.1,52707.58,32467.92
9310,93,Marseille - Aubagne,548818,15464,27071,45134,29670,6718,13053,17630,21997,33213,40652,50511,67546,10.1,42685.15,34961.37
9311,93,Istres - Martigues,57565,17542,28872,44712,27170,9582,15311,19635,23978,34605,40936,49104,62476,6.5,27217.51,34000.51
9312,93,Salon-de-Provence,49810,18059,29895,46744,28685,10584,16029,20171,24691,35791,42613,51696,66972,6.3,38712.16,36372.67
9313,93,Draguignan,51227,16422,27715,42849,26427,8472,14302,18414,22833,33166,39260,47264,61033,7.2,33156.21,33272.11
9314,93,Fréjus - Saint-Raphaël,84478,17576,29253,45948,28372,10232,15591,19583,24004,34971,41776,51063,68297,6.7,48742.06,37874.41
9315,93,Toulon,280938,16514,27667,43839,27325,8586,14336,18539,22763,33330,39874,48552,63181,7.4,41146.44,34161.82
9316,93,Cavaillon - Apt,33600,15213,25583,40999,25786,8135,13215,17056,20921,30792,37180,45845,60660,7.5,48148.34,32756.71
9317,93,Orange,39854,16052,26725,41436,25384,8824,14100,17916,22064,31937,37724,45769,58946,6.7,31454.36,32106.54
9401,94,Ajaccio,42056,15902,27731,45414,29512,7922,13661,18062,22568,33699,41013,50958,67651,8.5,37875.23,35414.57
9402,94,Porto-Vecchio,10444,15222,26254,42192,26970,7441,13219,17304,21476,31827,38272,47190,64316,8.6,44335.09,34841.46
9403,94,Sartène - Propriano,4262,12982,23022,39048,26066,5835,11035,14858,18413,28527,34963,44082,59338,10.2,32997.42,30282.83
9404,94,Bastia,46069,13279,23890,40598,27319,5656,11070,15286,19219,29508,36422,45626,61445,10.9,38589.17,31719.97
9405,94,Calvi - L'Île-Rousse,8352,13211,22854,38232,25021,6239,11286,14976,18523,27919,34407,42937,58597,9.4,44355.50,31076.66
9406,94,Corte,4480,12882,22153,36890,24009,5637,10676,14783,18189,26862,32930,41531,56480,10.0,26527.97,28419.64
9407,94,Ghisonaccia - Aléria,5707,13175,23568,38881,25706,5876,11131,15016,19146,28860,34808,43396,57062,9.7,31260.22,30058.49
