Revenus fiscaux localisés des ménages - Année 2006,,,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,,,
"© Insee     Source : Insee-DGI, Revenus fiscaux localisés des ménages",,,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,,,
,,,"Nb de ménages
au RP 1999",PSDC99,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),"Intervalle
inter-quartiles (€)",1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),"Rapport
inter-déciles",Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,MEN99,PSDC99,NBUC06,RFUCQ106,RFUCQ206,RFUCQ306,RFUCIQ06,RFUCD106,RFUCD206,RFUCD306,RFUCD406,RFUCD606,RFUCD706,RFUCD806,RFUCD906,RFUCRD06,RFUCET06,RFUCMO06,RFUCGI06
2108,21,Haute vallée de la Marne,48308,116906,76307.4,10969,15576,21089,10120,7025,9841,11970,13758,17511,19764,22711,28344,4.0,14513.85,17460.53,0.3139
2202,22,Amiens,132778,342110,216594.4,10398,16018,22574,12176,5741,9024,11643,13868,18285,20929,24550,31367,5.5,21025.93,18359.69,0.3567
2205,22,Château-Thierry,26210,68570,45848.9,11250,16414,22527,11277,6992,9999,12378,14419,18538,21056,24492,31073,4.4,16107.23,18920.50,0.3373
2206,22,Sud Oise,133957,371611,237464.9,12116,18218,25354,13238,7063,10630,13446,15883,20702,23602,27548,34917,4.9,18913.21,20798.30,0.3420
2207,22,Soissons,38191,100627,65837.2,10297,15512,21613,11316,6106,9033,11431,13506,17635,20126,23619,29807,4.9,14016.63,17680.28,0.3419
2208,22,Beauvais,68419,185405,122583.9,11402,17004,23275,11873,6603,10033,12654,14878,19221,21788,25214,31157,4.7,16572.16,18951.11,0.3298
2209,22,Compiègne,65121,173943,112869.1,11702,17332,24132,12430,7070,10353,12880,15102,19681,22449,26207,33240,4.7,17723.59,19837.34,0.3377
2210,22,Santerre-Oise,12759,35482,23833.5,10530,15495,21090,10560,6657,9348,11596,13644,17465,19750,22649,27885,4.2,13076.13,17057.85,0.3110
2211,22,Abbeville-Ponthieu,24534,62804,41279.2,9533,14726,20753,11220,5246,8242,10666,12768,16906,19281,22615,29329,5.6,15207.51,17027.38,0.3617
2212,22,Vimeu,23828,61360,40722.4,10613,15187,20419,9806,6733,9467,11619,13436,16980,19089,21955,27013,4.0,15789.14,16968.98,0.3153
2219,22,Santerre-Somme,33633,89277,58093.2,9854,14723,20376,10522,5915,8708,10932,12847,16661,18979,21968,27689,4.7,13470.52,16706.39,0.3375
2231,22,Saint-Quentin,52365,134597,85392.3,8943,14641,20781,11838,4460,7633,10211,12510,16804,19285,22599,28723,6.4,15483.14,16746.19,0.3749
2232,22,Chauny-Tergnier-La Fère,25614,65968,42463.1,9401,14451,20221,10820,5247,8196,10484,12533,16473,18810,21830,27066,5.2,13529.99,16080.20,0.3393
2241,22,Thiérache,26691,68822,43528.4,8188,13093,18637,10449,4264,7075,9213,11227,15015,17321,20106,24947,5.9,12282.27,14658.95,0.3564
2242,22,Laonnois,36871,96905,62313.5,9903,15229,21446,11543,5813,8705,11096,13169,17428,19937,23232,29114,5.0,15162.20,17287.03,0.3447
2307,23,Pays-de-Bray,14001,35025,23762.8,10497,15313,20957,10460,6579,9405,11513,13473,17313,19521,22593,27767,4.2,13354.93,17119.43,0.3208
2308,23,Vallée-de-la-Bresle,18646,47672,31413.2,10713,15261,20651,9938,6755,9542,11766,13507,17103,19287,22408,28089,4.2,14336.71,17309.35,0.3231
2311,23,Fécamp,15715,40081,26693.2,10598,15320,21208,10610,6605,9485,11654,13499,17347,19823,22968,29000,4.4,13682.68,17478.17,0.3272
2313,23,Pont-Audemer,16073,40450,28501.3,10965,15864,22025,11060,7015,9778,11974,13952,18043,20534,24030,30114,4.3,14441.40,18254.63,0.3307
2314,23,Bernay,24552,62183,42007.4,11165,16090,22073,10908,6997,9944,12289,14198,18162,20641,23904,29875,4.3,15930.40,18242.85,0.3250
2316,23,Verneuil-sur-Avre,11024,27318,18217.7,10800,15648,21300,10500,6764,9677,11888,13799,17561,19823,22974,28933,4.3,13883.88,17600.11,0.3232
2317,23,Vernon,32697,88767,58810.3,12025,17726,24372,12347,7128,10538,13270,15545,20019,22673,26433,33307,4.7,15665.27,19983.29,0.3292
2318,23,Gisors,10346,27529,18724.3,11740,16778,22639,10899,7725,10552,12746,14752,18785,21191,24492,29948,3.9,15320.67,18778.51,0.3109
2321,23,Rouen,288745,724721,468223.7,11342,17057,23668,12326,6310,9891,12609,14880,19358,22042,25684,32251,5.1,15811.10,19212.32,0.3416
2322,23,Dieppe,38794,98451,65250.7,10652,15507,21344,10692,6422,9441,11736,13695,17540,19899,23167,29483,4.6,13926.39,17618.75,0.3326
2323,23,Le Havre,141181,360488,229343.2,10395,16059,22641,12246,5571,9018,11666,13905,18385,21068,24625,30914,5.5,16061.78,18163.96,0.3511
2324,23,Lillebonne,22382,59573,39589.3,11450,16507,22715,11265,7374,10229,12528,14542,18715,21164,24700,30542,4.1,16025.37,18680.45,0.3165
2325,23,Evreux,64407,167934,112438.0,12075,17560,23981,11906,7138,10670,13300,15495,19755,22360,25857,32281,4.5,15788.76,19679.86,0.3251
2411,24,Bourges,74661,179699,118692.5,11499,16855,23121,11622,6615,10151,12680,14816,19015,21534,25076,31104,4.7,15417.60,18764.24,0.3281
2412,24,Vierzon,20699,48766,32062.5,10550,15515,20960,10410,5914,9241,11638,13624,17419,19634,22595,27870,4.7,12912.93,17034.01,0.3269
2413,24,Saint-Amand-Montrond,20587,48187,31835.7,10305,15080,20529,10224,6285,9139,11382,13247,16971,19170,22091,27632,4.4,14755.83,16796.41,0.3272
2414,24,Aubigny,16218,37776,25355.3,11095,15998,21939,10844,7069,9967,12134,14118,18015,20490,23901,30507,4.3,14401.88,18425.39,0.3316
2421,24,Chartres,75461,194152,130182.2,13256,18538,25025,11769,8499,11934,14399,16538,20754,23392,27020,33559,3.9,16494.37,20869.72,0.3084
2422,24,Dreux,43769,120298,78668.5,11060,16791,23133,12073,6366,9677,12312,14610,19070,21598,25141,31444,4.9,14982.41,18735.54,0.3347
2423,24,Châteaudun,23263,56886,38179.9,11893,16510,22013,10120,7645,10729,12899,14725,18396,20607,23695,29497,3.9,13721.05,18455.49,0.3043
2424,24,Nogent-le-Rotrou,15121,36329,24356.0,11351,15971,21355,10004,6886,10239,12351,14249,17863,19983,22923,28237,4.1,13415.83,17712.49,0.3101
2431,24,Châteauroux,49918,117553,77114.6,11181,16108,21836,10655,6870,9970,12306,14211,18088,20458,23612,29536,4.3,14253.99,18046.22,0.3222
2432,24,Argenton-sur-Creuse,21795,49806,33854.8,10259,14636,19997,9738,6601,9236,11213,12941,16400,18649,21659,27131,4.1,13189.16,16555.91,0.3212
2433,24,Issoudun,15133,34852,23962.6,11393,15756,21047,9654,7221,10225,12382,14141,17577,19655,22594,27877,3.9,12162.11,17465.63,0.3022
2434,24,La Châtre,12645,28928,19859.3,10249,14649,19951,9702,6723,9256,11077,12810,16478,18672,21555,26693,4.0,11981.76,16446.26,0.3145
2441,24,Tours,161600,379742,254591.4,12123,17588,24301,12178,7264,10774,13334,15475,19878,22628,26442,33653,4.6,16480.35,20094.28,0.3343
2442,24,Amboise,26429,67683,47647.8,12409,17250,23263,10854,8299,11273,13442,15329,19269,21753,25212,31250,3.8,15106.03,19477.44,0.3047
2443,24,Loches,20154,48773,33089.0,10782,15122,20582,9800,7117,9790,11696,13441,16935,19235,22222,27690,3.9,13998.06,17164.68,0.3150
2444,24,Chinon,23222,57805,38595.9,10937,15538,21412,10475,7059,9872,11915,13725,17489,19950,23187,28940,4.1,12834.11,17533.15,0.3134
2451,24,Blois,73073,177282,120062.4,12116,17381,23574,11458,7352,10808,13255,15307,19486,22034,25540,31871,4.3,14611.49,19384.29,0.3184
2452,24,Vendôme,28437,68014,46521.9,11858,16320,21949,10091,7695,10739,12828,14555,18253,20555,23611,29537,3.8,19767.51,18599.99,0.3137
2453,24,Romorantin,29091,69672,47490.4,11286,16077,21789,10504,7136,10140,12341,14275,18080,20345,23499,29382,4.1,15100.85,18174.67,0.3196
2461,24,Orléans,152572,382314,254598.6,12678,18578,25575,12897,7385,11195,14003,16333,20980,23819,27721,34691,4.7,16829.50,20865.35,0.3270
2462,24,Montargis,47710,114614,81665.9,11272,16497,22543,11271,6711,9964,12452,14536,18617,21039,24330,30366,4.5,14725.55,18460.91,0.3269
2463,24,Pithiviers,22300,57120,38937.5,12214,17131,22896,10682,7990,11077,13305,15234,19191,21452,24696,30517,3.8,15160.93,19125.18,0.3019
2464,24,Gien,26104,64078,43661.3,11295,16581,22639,11345,6642,9956,12524,14585,18657,21183,24423,30431,4.6,14554.90,18471.93,0.3246
2501,25,Caen-Bayeux,192255,485859,318790.7,11526,16802,23264,11738,6967,10225,12673,14766,19011,21656,25224,31864,4.6,16524.88,19179.76,0.3340
2502,25,Lisieux,48715,119715,82269.7,10488,15616,21969,11481,6351,9283,11590,13665,17707,20338,24013,31634,5.0,19568.98,18604.65,0.3642
2503,25,Vire,22755,55463,36173.0,10321,14532,19735,9414,6338,9293,11213,12865,16303,18450,21168,26046,4.1,14916.86,16266.12,0.3177
2504,25,Cherbourg-Octeville,78112,198740,129066.1,10572,15475,21452,10880,6505,9369,11641,13593,17545,19997,23193,28760,4.4,13101.52,17363.71,0.3236
2505,25,Saint-Lô,35661,88213,59185.2,11124,15691,21183,10059,7065,9977,12129,13959,17558,19753,22800,28314,4.0,13737.89,17582.97,0.3128
2506,25,Avranches-Granville,48251,114812,80692.0,11075,15509,21300,10225,7290,10028,12037,13742,17469,19800,23151,29601,4.1,17007.82,18094.42,0.3280
2507,25,Coutances,24375,59516,41432.6,10449,14890,20477,10028,6695,9415,11404,13158,16769,19075,22301,28264,4.2,13927.76,17171.10,0.3287
2508,25,Flers,44919,110532,73229.7,10693,15053,20101,9408,6667,9594,11663,13407,16798,18853,21684,26901,4.0,16197.11,16894.53,0.3175
2509,25,Alençon-Argentan,42870,105607,67176.3,10461,15500,21345,10884,5703,9132,11600,13587,17547,19939,23145,29084,5.1,14656.60,17399.95,0.3404
2510,25,Mortagne-au-Perche-L'Aigle,34106,83736,55676.0,10632,15345,20843,10211,6491,9471,11688,13609,17241,19469,22567,28217,4.3,14071.65,17265.83,0.3271
2610,26,Mâcon,45701,108503,74614.1,11538,16748,23102,11564,7162,10308,12680,14784,18905,21549,25233,31972,4.5,15581.69,19144.48,0.3294
2612,26,Dijon,146174,350448,227914.4,12780,18390,25219,12439,7972,11450,14041,16229,20721,23503,27363,34595,4.3,16469.34,20961.82,0.3247
2613,26,Auxerre,54633,132758,88098.3,11412,16675,22906,11494,6844,10145,12576,14648,18797,21301,24924,31418,4.6,17997.91,19087.50,0.3373
