Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2013,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 25/04/2019      Découpage géographique au 01/01/2014,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nombre de ménages fiscaux,Nombre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,Part des ménages fiscaux imposés,1er quartile,Médiane,3e quartile,Ecart interquartile,1er décile,2e décile,3e décile ,4e décile ,6e décile,7e décile,8e décile ,9e décile,Rapport interdécile D9/D1,S80/S20,Indice de Gini,Part des salaires et traitements hors chômage,Part des indemnités chômage,Part des revenus d'activités non salariées,"Part des pensions, retraites et rentes",Part des autres revenus
CODGEO,LIBGEO,NBMEN13,NBPERS13,NBUC13,PMIMP13,Q113,Q213,Q313,Q3_Q1,D113,D213,D313,D413,D613,D713,D813,D913,RD,S80S2013,GI13,PTSA13,PCHO13,PBEN13,PPEN13,PAUT13
1101,Paris,2556209,5815595.5,3970971.3,70.0,13122.0,24204.0,39146.0,26024.0,6420.0,10940.0,15320.0,19718.0,29186.0,35310.0,43912.0,60028.0,9.4,13.3,0.5,66.2,2.8,5.3,18.1,7.6
1102,Marne-la-Vallée,126552,334797.0,216452.2,70.4,14548.0,23146.0,32614.0,18066.0,8052.0,12584.0,16392.0,19810.0,26518.0,30396.0,35354.0,43800.0,5.4,6.9,0.3,74.1,3.0,3.3,16.2,3.4
1103,Coulommiers,26092,66414.0,43667.8,62.1,14636.0,20948.0,28116.0,13480.0,8748.0,13040.0,16068.0,18566.0,23404.0,26360.0,30216.0,37258.0,4.3,5.7,0.3,62.6,2.9,5.9,23.8,4.8
1104,Meaux,56669,149305.0,96638.2,63.7,13524.0,20903.0,28618.0,15094.0,7352.0,11698.0,15154.0,18148.0,23668.0,26758.0,30859.0,37974.0,5.2,6.7,0.3,68.1,3.1,4.0,20.5,4.3
1105,Melun,149961,387575.5,253288.3,67.8,14848.0,22584.0,31266.0,16418.0,8330.0,12958.0,16548.0,19656.0,25596.0,29140.0,33884.0,42316.0,5.1,6.6,0.3,66.2,2.7,4.1,22.2,4.8
1106,Montereau-Fault-Yonne,16609,42964.5,28033.4,55.2,11294.0,18276.0,25850.0,14556.0,5534.0,9692.0,12786.0,15622.0,20960.0,24050.0,27896.0,34016.0,6.1,7.6,0.3,61.9,3.4,3.6,27.6,3.5
1107,Nemours,19778,49092.0,32618.0,61.8,13866.0,20443.0,28002.0,14136.0,7894.0,12148.0,15322.0,17916.0,23070.0,26182.0,30188.0,37366.0,4.7,6.3,0.3,59.5,3.3,5.5,26.6,5.1
1108,Provins,17132,42414.0,28188.7,58.1,13294.0,19657.0,27002.0,13708.0,7684.0,11732.0,14788.0,17306.0,22220.0,25116.0,29176.0,36666.0,4.8,6.5,0.3,58.3,3.0,7.1,26.3,5.3
1109,Houdan,14208,37255.0,24443.5,80.4,21380.0,29852.0,41356.0,19976.0,14752.0,19532.0,23190.0,26484.0,33684.0,38382.0,45242.0,57806.0,3.9,5.3,0.3,63.9,2.2,5.0,21.7,7.2
1110,Mantes-la-Jolie,63649,173578.5,111212.5,63.7,12664.0,20556.0,28850.0,16186.0,6880.0,10870.0,14328.0,17584.0,23606.0,26926.0,31196.0,38540.0,5.6,7.1,0.3,66.6,3.4,3.3,23.1,3.6
