Revenus fiscaux localisés des ménages - Année 2008,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2 000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,
© Insee     Source : Insee-DGFiP Revenus fiscaux localisés des ménages ,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,
,,,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),Intervalle interquartile (€),1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),Rapport interdécile,Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,NBUC08,RFUCQ108,RFUCQ208,RFUCQ308,RFUCIQ08,RFUCD108,RFUCD208,RFUCD308,RFUCD408,RFUCD608,RFUCD708,RFUCD808,RFUCD908,RFUCRD08,RFUCET08,RFUCMO08,RFUCGI08
2207,22,Soissons,68357.1,11169,16706,23274,12105,6634,9796,12357,14559,19024,21642,25320,32257,4.9,22366.95,19305.29,0.3490
2208,22,Beauvais,126912.0,12251,18276,25004,12753,7150,10771,13575,15990,20611,23350,26963,33477,4.7,16776.48,20326.81,0.3294
2209,22,Compiègne,117005.2,12609,18620,25922,13313,7564,11167,13869,16229,21119,24094,28181,35578,4.7,18661.52,21360.26,0.3391
2210,22,Santerre-Oise,24862.5,11627,16848,22661,11034,7339,10424,12673,14773,18867,21294,24376,30010,4.1,13240.19,18574.61,0.3090
2211,22,Abbeville-Ponthieu,43106.4,10144,15746,22111,11967,5387,8761,11339,13555,17934,20486,24223,31410,5.8,16990.35,18159.72,0.3649
2212,22,Vimeu,42020.0,11222,16224,21692,10470,7096,9986,12393,14371,18147,20349,23363,28817,4.1,15415.03,18104.56,0.3178
2219,22,Santerre-Somme,60352.5,10541,15788,21744,11203,6309,9329,11702,13774,17896,20283,23562,29800,4.7,14110.55,17865.08,0.3381
2231,22,Saint-Quentin,88429.7,9601,15595,22214,12613,4898,8149,10922,13355,17922,20645,24181,30766,6.3,16317.83,17916.02,0.3753
2232,22,Chauny-Tergnier-La Fère,44289.6,10112,15517,21592,11480,5585,8802,11298,13496,17737,20151,23298,29029,5.2,12882.63,17224.30,0.3385
2241,22,Thiérache,44682.9,8879,14119,19988,11109,4316,7700,10017,12143,16185,18599,21690,27069,6.3,13657.25,15837.72,0.3606
2242,22,Laonnois,65088.1,10585,16270,22695,12110,6016,9172,11848,14048,18615,21136,24620,31321,5.2,15200.55,18431.71,0.3488
2307,23,Pays-de-Bray,24913.8,11235,16445,22380,11145,6925,10064,12352,14507,18486,20907,24244,29706,4.3,14245.49,18309.49,0.3207
2308,23,Vallée-de-la-Bresle,32441.3,11492,16452,22285,10793,7124,10337,12607,14520,18424,20676,24123,30245,4.2,16812.26,18735.83,0.3295
2311,23,Fécamp,27853.5,11535,16556,22813,11278,7228,10233,12601,14546,18687,21296,24771,31119,4.3,15047.91,18909.79,0.3289
2313,23,Pont-Audemer,30674.1,11784,17241,23847,12063,7531,10517,12944,15189,19523,22127,25877,32715,4.3,16250.96,19835.17,0.3346
2314,23,Bernay,44282.5,12062,17436,23762,11700,7421,10776,13223,15415,19626,22122,25650,31993,4.3,15431.30,19625.04,0.3242
2316,23,Verneuil-sur-Avre,19050.2,11525,16783,22857,11332,6935,10284,12723,14892,18828,21341,24699,30902,4.5,14863.12,18847.23,0.3265
2317,23,Vernon,61628.2,12865,18942,26127,13262,7656,11432,14200,16607,21417,24277,28371,35720,4.7,23433.63,21642.06,0.3365
2318,23,Gisors,19915.1,12665,17960,24103,11438,8185,11423,13859,16002,20103,22585,26042,31883,3.9,18013.92,20141.81,0.3118
2321,23,Rouen,487183.8,12251,18334,25386,13135,6846,10712,13614,16022,20768,23632,27531,34629,5.1,19759.89,20728.51,0.3427
2322,23,Dieppe,67456.1,11445,16757,22977,11532,6828,10134,12629,14672,18897,21441,24922,31379,4.6,14418.37,18886.14,0.3316
2323,23,Le Havre,235797.9,11300,17392,24452,13152,6089,9829,12653,15064,19843,22660,26547,33292,5.5,17777.95,19669.67,0.3503
2324,23,Lillebonne,41178.8,12639,17941,24755,12116,8022,11291,13767,15862,20291,23026,26841,33210,4.1,15270.41,20338.26,0.3141
2325,23,Évreux,117836.3,13011,18859,25593,12582,7601,11535,14309,16612,21191,23881,27699,34619,4.6,19951.85,21194.95,0.3274
2411,24,Bourges,122136.0,12428,18061,24684,12256,7173,11007,13651,15890,20291,23003,26733,33301,4.6,16085.54,20126.60,0.3273
2412,24,Vierzon,32991.6,11308,16530,22200,10892,6253,9993,12520,14604,18507,20851,23893,29723,4.8,14561.96,18156.93,0.3259
2413,24,Saint-Amand-Montrond,32676.3,11006,16073,21884,10878,6561,9790,12118,14165,18157,20410,23553,29419,4.5,15499.96,17903.19,0.3296
2414,24,Aubigny,26002.0,11935,16993,23437,11502,7649,10800,13021,15061,19179,21778,25547,32695,4.3,16154.47,19825.46,0.3375
2421,24,Chartres,135360.8,14274,19934,26874,12600,9159,12894,15475,17745,22275,25103,29045,36331,4.0,20088.30,22610.00,0.3129
2422,24,Dreux,82254.4,11909,18115,24981,13072,6770,10474,13268,15765,20530,23263,27016,33961,5.0,16421.14,20287.40,0.3384
2423,24,Châteaudun,39838.3,12689,17598,23638,10949,8065,11403,13759,15731,19653,22161,25623,32298,4.0,16404.88,20048.29,0.3170
2424,24,Nogent-le-Rotrou,25223.1,12053,17205,23031,10978,7425,10815,13287,15247,19123,21572,24747,30381,4.1,14045.92,19058.15,0.3134
2431,24,Châteauroux,79507.9,11980,17123,23289,11309,7223,10691,13138,15193,19227,21714,25126,31423,4.4,15897.72,19247.17,0.3236
2432,24,Argenton-sur-Creuse,34695.7,10917,15529,21315,10398,6826,9776,11866,13693,17530,19922,23039,28596,4.2,15333.80,17541.00,0.3239
2433,24,Issoudun,24593.8,12154,16966,22439,10285,7837,10913,13260,15189,18871,21105,24239,30056,3.8,14252.74,19005.68,0.3105
2434,24,La Châtre,20305.2,10960,15616,21280,10320,7207,9927,11850,13708,17583,19845,23012,28857,4.0,13774.98,17673.69,0.3183
