Revenus fiscaux localisés des ménages - Année 2008,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2 000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,
© Insee     Source : Insee-DGFiP Revenus fiscaux localisés des ménages ,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,
,,,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),Intervalle interquartile (€),1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),Rapport interdécile,Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,NBUC08,RFUCQ108,RFUCQ208,RFUCQ308,RFUCIQ08,RFUCD108,RFUCD208,RFUCD308,RFUCD408,RFUCD608,RFUCD708,RFUCD808,RFUCD908,RFUCRD08,RFUCET08,RFUCMO08,RFUCGI08
4288,42,Altkirch,43042.8,15101,21267,29070,13969,10305,13756,16421,18835,23968,27161,31251,38725,3.8,21117.83,23839.44,0.2969
4291,42,Haguenau-Niederbronn,94089.3,14095,19765,26432,12337,9233,12771,15298,17574,22037,24812,28377,34628,3.8,16104.76,21847.51,0.2971
4292,42,Saverne-Sarre-Union,71956.5,13580,18894,25221,11641,9218,12333,14698,16771,21110,23696,27044,33140,3.6,16308.76,21007.87,0.2942
4293,42,Molsheim-Schirmeck,77877.2,14688,20222,27199,12511,10173,13406,15866,18074,22631,25384,29363,36495,3.6,18321.93,22960.93,0.2983
4294,42,Colmar-Neuf-Brisach,125456.1,13732,19615,26794,13062,8442,12268,15030,17343,22078,24965,29052,36580,4.3,18788.01,22409.52,0.3268
4295,42,Sélestat-Sainte-Marie-aux-Mines,76030.3,13723,19291,25845,12122,9120,12389,14942,17094,21559,24235,27758,34015,3.7,18904.71,21536.15,0.3038
4301,43,Vesoul,49676.2,11668,16938,23152,11485,7197,10375,12776,14920,19152,21621,24961,30808,4.3,13569.52,18857.14,0.3183
4302,43,Lure-Luxeuil,55260.6,11080,16121,21762,10682,6944,9894,12212,14238,18110,20344,23420,29061,4.2,13847.42,17902.74,0.3159
4303,43,Belfort,92867.4,12035,18259,25337,13302,6721,10494,13371,15852,20725,23553,27455,34223,5.1,17585.55,20381.76,0.3384
4304,43,Gray,27283.2,11435,16355,22329,10894,7292,10292,12407,14336,18362,20803,24161,30108,4.1,16919.55,18522.70,0.3257
4305,43,Montbéliard,132637.8,11585,17227,23563,11978,6883,10221,12817,15067,19481,22017,25393,31197,4.5,15183.12,18959.49,0.3208
4306,43,Dole,53249.8,12290,17586,23565,11275,7787,11011,13470,15630,19631,22094,25319,31213,4.0,14520.72,19429.10,0.3084
4307,43,Besançon,172339.5,12477,18315,25213,12736,7339,11063,13753,16061,20675,23477,27324,34619,4.7,17133.12,20760.60,0.3350
4308,43,Morteau,32015.4,14679,21175,29572,14893,9799,13251,15917,18441,24200,27620,32020,39066,4.0,16605.64,23649.76,0.3015
4309,43,Revermont,16978.0,11830,16701,22631,10801,7775,10606,12843,14824,18701,21214,24462,30867,4.0,18271.38,19158.73,0.3236
4310,43,Pontarlier,38916.8,13727,19557,27294,13567,9002,12404,14951,17230,22257,25415,29463,36336,4.0,14763.43,21978.10,0.3033
4311,43,Lons-le-Saunier,55583.5,12032,17286,23601,11569,7647,10820,13149,15272,19510,22105,25563,31888,4.2,19797.48,19612.20,0.3238
4312,43,Champagnole,15070.6,12049,16609,22711,10662,8002,10993,12993,14863,18758,21271,24664,30527,3.8,16235.24,19092.45,0.3114
4313,43,Saint-Claude,35195.3,12816,18463,25546,12730,8009,11417,14079,16360,20930,23831,27631,34185,4.3,14483.22,20687.80,0.3114
5201,52,Nantes,573848.0,13487,19087,26133,12646,8553,12155,14707,16905,21437,24326,28374,35921,4.2,23826.08,22025.90,0.3291
5202,52,Saint-Nazaire,211608.8,12847,17941,24308,11461,8508,11619,13928,15953,20098,22653,26330,33222,3.9,21008.88,20539.10,0.3169
5203,52,Châteaubriant,64163.6,11158,15740,20993,9835,7320,10121,12139,13942,17554,19701,22532,27592,3.8,11811.59,17219.79,0.2972
5204,52,Angers,250937.7,12513,17850,24466,11953,7565,11184,13676,15806,20067,22765,26582,33645,4.4,17370.64,20380.75,0.3305
5205,52,Choletais,147840.2,12483,16733,21893,9410,8537,11426,13421,15126,18477,20607,23505,28994,3.4,16376.30,18874.85,0.2943
5206,52,Saumur-Baugé,92540.6,11356,15998,21642,10286,7219,10176,12351,14189,17926,20221,23410,29289,4.1,13623.32,18007.01,0.3161
5207,52,Segréen-Sud-Mayenne,54509.1,11546,15814,20963,9417,7500,10463,12445,14131,17571,19655,22492,27571,3.7,13613.82,17572.38,0.3012
5208,52,Laval,85540.6,12747,17741,23718,10971,8100,11495,13857,15851,19780,22179,25541,31909,3.9,20708.99,20061.74,0.3160
5209,52,Mayenne-Nord-et-Est,84732.9,11687,16087,21264,9577,7570,10621,12614,14377,17908,20021,22821,28096,3.7,14934.23,17890.02,0.3035
5210,52,Le Mans,220201.1,12744,18155,24454,11710,7551,11347,13935,16095,20347,22881,26422,32793,4.3,18521.15,20262.96,0.3214
5211,52,Sarthe-Nord,67624.6,12203,16766,22106,9903,7944,11116,13190,15011,18649,20775,23770,29017,3.7,15162.51,18501.45,0.2962
5212,52,Sarthe-Sud,85350.5,11813,16360,21657,9844,7622,10728,12808,14631,18156,20355,23252,28510,3.7,14333.50,18102.89,0.3012
5213,52,La Roche-sur-Yon,121709.4,12781,17604,23326,10545,8547,11568,13851,15770,19578,21903,25088,30975,3.6,21561.72,19920.29,0.3074
5214,52,Vendée-Est,82818.1,12870,17078,22027,9157,9147,11809,13811,15501,18808,20815,23439,28182,3.1,17903.01,19054.90,0.2791
5215,52,Vendée-Sud,71378.0,11638,16226,21763,10125,7599,10505,12548,14411,18144,20424,23439,29008,3.8,15642.45,18175.78,0.3076
5216,52,Vendée-Ouest,130873.7,12837,17760,24234,11397,8758,11698,13886,15811,19892,22594,26313,33223,3.8,18903.21,20701.59,0.3196
5320,53,Dinan,67484.4,12056,17098,23235,11179,8014,10923,13107,15182,19259,21687,25085,31351,3.9,14275.43,19317.24,0.3126
5321,53,Guingamp,63490.9,11182,16172,22256,11074,7004,10056,12208,14236,18272,20704,24083,30231,4.3,14366.96,18231.27,0.3234
5323,53,Lannion,68987.9,12306,17797,25100,12794,7878,11086,13450,15604,20217,23219,27403,34529,4.4,14622.53,20318.77,0.3231
5324,53,Saint-Brieuc,156587.2,12742,17935,24357,11615,8169,11489,13878,15971,20127,22729,26367,33109,4.1,16894.36,20409.61,0.3192
5330,53,Brest,253664.3,13085,18204,24658,11573,8385,11832,14189,16191,20388,23041,26614,33107,3.9,19826.75,20577.51,0.3135
5331,53,Morlaix,90468.7,12206,17151,23172,10966,8129,11057,13293,15241,19174,21633,25046,31432,3.9,22174.92,19537.81,0.3190
5332,53,Quimper,198293.4,12963,17922,24382,11419,8603,11768,14030,15988,20089,22718,26340,33195,3.9,17761.94,20468.29,0.3120
5333,53,Carhaix,47243.5,10864,15699,21370,10506,6697,9776,11899,13786,17658,19991,23036,28377,4.2,12720.96,17305.37,0.3134
5340,53,Fougères,47012.2,12036,16372,21674,9638,7938,10917,12970,14783,18187,20349,23197,28422,3.6,20206.48,18352.82,0.3016
5341,53,Rennes,419280.5,13579,19191,26142,12563,8658,12221,14815,17020,21517,24376,28358,35721,4.1,20712.34,21886.07,0.3206
5342,53,Saint-Malo,88208.0,12351,17631,24733,12382,7807,11110,13463,15538,20046,22969,27063,35013,4.5,24401.16,20943.80,0.3464
5343,53,Vitré,50409.5,12899,17275,22814,9915,9039,11866,13863,15673,19192,21455,24416,30248,3.3,20653.53,19646.40,0.2953
5344,53,Redon,52948.5,11783,16561,21955,10172,7690,10586,12828,14749,18459,20647,23566,28848,3.8,13281.41,18230.75,0.3000
5350,53,Auray,62324.2,12929,17939,24745,11816,8586,11726,13935,15942,20226,22994,26975,34727,4.0,18079.41,20920.49,0.3232
5351,53,Ploërmel,43399.3,11901,16672,22033,10132,7965,10794,12913,14881,18501,20740,23657,28688,3.6,12496.96,18289.95,0.2929
5352,53,Vannes,135726.0,13147,18530,25391,12244,8526,11879,14318,16431,20808,23600,27673,35245,4.1,18398.05,21461.43,0.3262
5353,53,Lorient,188324.3,12416,17594,23895,11479,7826,11169,13538,15612,19762,22337,25830,32250,4.1,15852.43,19788.14,0.3174
5354,53,Pontivy-Loudéac,85530.1,11791,16575,22018,10227,7878,10698,12793,14763,18481,20668,23673,28918,3.7,15592.99,18414.01,0.3041
5401,54,Nord-Poitou,35159.3,11284,15870,21507,10223,7247,10125,12286,14065,17827,20073,23248,29201,4.0,17927.23,18218.78,0.3266
5402,54,Châtellerault,59423.6,11665,17027,23144,11479,6724,10379,12861,15024,19130,21604,25074,31053,4.6,16704.77,18990.90,0.3322
5403,54,Montmorillon,29729.5,11275,16062,22178,10903,7191,10176,12297,14197,18100,20611,23965,30004,4.2,14802.18,18173.95,0.3205
5404,54,Haute-Charente,45321.6,10021,14803,20515,10494,5950,8890,10998,12943,16791,19152,22214,27777,4.7,12917.15,16590.67,0.3329
5405,54,Angoulême,145477.2,11898,17417,23796,11898,6911,10557,13121,15332,19598,22245,25786,32365,4.7,15600.01,19509.99,0.3315
5406,54,Sud-Charentes,52697.0,10431,15302,21359,10928,6321,9384,11433,13333,17376,19876,23224,29463,4.7,16943.30,17583.84,0.3417
5407,54,Cognac,56163.3,11982,17255,23964,11982,7310,10698,13159,15270,19529,22254,26125,33465,4.6,21081.42,20386.10,0.3511
5408,54,Saintonge-Intérieure,84971.8,11319,16486,22882,11563,6941,10135,12387,14433,18675,21262,24794,31271,4.5,14880.88,18685.70,0.3314
5409,54,Saintonge-Maritime,129594.1,11810,17085,23879,12069,7303,10568,12924,15000,19390,22148,25984,33093,4.5,18422.76,19781.83,0.3387
5410,54,La Rochelle,155924.8,12860,18549,25985,13125,7962,11510,14100,16299,21019,24017,28362,36061,4.5,21328.06,21635.98,0.3413
5411,54,Sud-Deux-Sèvres,143264.1,12409,17749,24487,12078,7957,11180,13558,15692,20011,22757,26565,33391,4.2,16272.73,20203.07,0.3223
5412,54,Nord-Deux-Sèvres,86686.5,11403,15724,20908,9505,7591,10385,12325,14036,17537,19659,22485,27739,3.7,16786.74,17821.39,0.3116
5413,54,Poitiers,160262.8,12671,18349,25271,12600,7510,11267,13946,16197,20689,23519,27447,34707,4.6,22910.16,20856.85,0.3335
7201,72,Nord-Est-de-la-Dordogne,29933.4,10775,15526,21211,10436,6776,9734,11770,13678,17539,19821,22858,28690,4.2,12263.80,17277.15,0.3161
7202,72,Périgueux,112354.2,11745,17232,23579,11834,7047,10434,12950,15131,19426,22006,25579,32024,4.5,21426.81,19380.59,0.3310
7203,72,Terrasson,20960.7,10612,15777,21724,11112,6431,9483,11714,13724,17781,20200,23576,29398,4.6,13395.81,17601.62,0.3266
7204,72,Sarlat-la-Canéda,30161.8,10916,16122,22854,11938,6661,9755,11987,14073,18425,21194,24784,31657,4.8,16373.00,18638.57,0.3439
7205,72,Bergerac,62951.7,10996,16267,22731,11735,6299,9713,12134,14226,18516,21179,24735,31079,4.9,22562.99,18723.17,0.3492
7206,72,Dax,91425.2,12385,17544,23769,11384,7887,11155,13500,15588,19637,22200,25629,31845,4.0,20221.73,19842.64,0.3187
7207,72,Marmande-Casteljaloux,45277.1,10820,15926,22047,11227,6284,9645,11858,13928,18003,20494,23880,30562,4.9,17030.37,18264.13,0.3456
7210,72,Agen,109585.5,11131,16836,23497,12366,6276,9802,12371,14655,19169,21852,25542,32435,5.2,16724.72,19146.66,0.3475
7211,72,Lacq-Orthez,45222.1,12156,17341,23702,11546,7734,10945,13302,15312,19570,22137,25677,31692,4.1,17477.59,19267.75,0.3080
7212,72,Oloron-Mauléon,29287.1,11891,17008,23017,11126,7677,10666,13030,15048,19156,21638,24719,30852,4.0,12599.11,18805.90,0.3044
7213,72,Pau,173885.0,12926,18870,26443,13517,7898,11492,14192,16523,21432,24495,28801,36651,4.6,17552.52,21645.46,0.3357
7214,72,Libourne-Montpon-Sainte-Foy-la-Grande,104977.3,10657,16010,22332,11676,5892,9361,11799,13945,18216,20767,24272,30845,5.2,18732.58,18242.01,0.3520
7215,72,Langon-Bazas-La Réole,52256.2,11006,16304,22555,11549,6467,9795,12190,14325,18462,21031,24342,30465,4.7,15751.07,18405.03,0.3358
7216,72,Villeneuve-sur-Lot-Fumel,61975.0,10234,15289,21511,11277,5847,9082,11320,13333,17413,19933,23422,29708,5.1,14577.76,17517.19,0.3466
7271,72,Bordeaux-Médoc,52493.8,11795,17110,23311,11516,7236,10528,12971,15098,19352,21773,25175,31200,4.3,17709.56,19218.60,0.3259
7272,72,Bordeaux-Arcachonnais,120327.8,13809,19429,26634,12825,9134,12496,15030,17190,21817,24785,28941,36401,4.0,20056.81,22349.35,0.3198
7273,72,Bordeaux-Entre-Deux-Mers,47867.5,12236,17584,23812,11576,7912,10995,13407,15524,19760,22319,25687,31848,4.0,14194.44,19542.92,0.3106
7274,72,Bordeaux-Cubzacais,57801.8,11101,16303,22444,11343,6923,9929,12225,14283,18521,20981,24191,30064,4.3,13455.57,18146.27,0.3192
7275,72,Bordeaux-Zone-Centrale,555592.9,13270,19839,27870,14600,7457,11652,14712,17289,22583,25850,30383,38817,5.2,22488.71,22937.03,0.3527
7281,72,Mont-de-Marsan-Haute-Lande,12730.0,11374,16367,22304,10930,7051,10189,12498,14479,18399,20758,24081,30119,4.3,14335.65,18457.35,0.3244
7282,72,Mont-de-Marsan-Est-des-Landes,79131.7,12409,17601,23735,11326,7871,11165,13542,15629,19758,22158,25577,31990,4.1,18245.65,19739.38,0.3168
7291,72,Sud-des-Landes,56323.4,13576,18963,25737,12161,8968,12274,14684,16841,21279,24020,27940,35201,3.9,20297.66,21902.94,0.3220
7292,72,Bayonne-Pyrénées,186332.1,12613,18306,25651,13038,7840,11302,13830,16054,20753,23775,28089,36442,4.6,25789.94,21759.50,0.3542
7301,73,Toulouse,787419.0,13200,19933,28209,15009,7553,11612,14658,17309,22759,26111,30724,38873,5.1,20999.57,22921.16,0.3487
7302,73,Montauban,158928.7,10685,16121,22631,11946,5958,9413,11820,14013,18407,21009,24510,30706,5.2,17465.77,18268.52,0.3457
7303,73,Albi-Carmaux,131586.5,11219,16557,23174,11955,6408,9929,12390,14494,18782,21503,25170,31908,5.0,15757.65,18899.88,0.3427
7304,73,Tarbes,118379.0,11717,17236,23673,11956,6938,10402,12881,15076,19472,22013,25555,31829,4.6,19060.74,19220.10,0.3269
7305,73,Rodez,99539.9,11476,16910,23485,12009,7365,10342,12591,14768,19175,21855,25485,32018,4.3,17806.40,19385.91,0.3338
7306,73,Castres-Mazamet,94478.7,11012,16106,22184,11172,6250,9744,12136,14210,18177,20615,24039,30627,4.9,15830.09,18299.59,0.3411
7307,73,Auch,90986.1,11211,16575,23140,11929,6889,10050,12361,14494,18823,21493,25199,32033,4.6,15616.45,18902.85,0.3362
7308,73,Saint-Gaudens,58998.5,11074,16530,23066,11992,6403,9777,12288,14448,18810,21419,25018,31325,4.9,16863.55,18687.34,0.3399
7309,73,Figeac-Decazeville,45641.5,11068,16150,22303,11235,6852,9930,12172,14155,18287,20743,24112,30130,4.4,12897.54,18068.18,0.3216
7310,73,Cahors,55779.7,11186,16804,23634,12448,6605,9946,12411,14644,19130,21942,25775,32780,5.0,18931.64,19192.30,0.3434
7311,73,Millau,41308.9,10753,15760,21693,10940,6250,9556,11811,13821,17744,20189,23523,29494,4.7,13905.56,17706.76,0.3320
7312,73,Nord-de-Lot,36253.1,11214,16378,22750,11537,7126,10079,12345,14393,18521,21146,24620,31286,4.4,15167.08,18694.55,0.3314
7313,73,Lourdes,27947.5,11965,16743,22693,10728,7618,10746,12997,14870,18751,21240,24621,30966,4.1,16317.23,19125.06,0.3216
7316,73,Villefranche-de-Rouergue,23870.9,10580,15585,21869,11289,6490,9619,11585,13500,17805,20346,23659,30185,4.7,15796.95,18097.39,0.3454
7317,73,Lannemezan,21384.3,11717,16922,23151,11434,7460,10505,12808,14844,19094,21658,24951,30628,4.1,12335.37,18572.58,0.3042
7318,73,Saint-Girons,18784.4,9776,15717,22446,12670,4796,8479,10997,13447,18139,20849,24283,30592,6.4,13636.11,17512.06,0.3572
7319,73,Lavelanet,17953.9,10247,15256,20803,10556,5373,8984,11365,13375,17184,19514,22531,28109,5.2,14836.58,16892.38,0.3381
7320,73,Foix-Pamiers,57452.5,11208,16653,23037,11829,6355,9846,12400,14535,18937,21489,24931,31242,4.9,14399.04,18540.68,0.3315
7401,74,Bellac,27495.3,10538,15423,21153,10615,6252,9413,11625,13511,17439,19689,22734,28235,4.5,14381.01,17108.39,0.3280
7402,74,Limoges,196134.9,12160,18219,25240,13080,6634,10590,13533,15943,20645,23488,27397,34305,5.2,17956.55,20434.63,0.3414
7403,74,Rochechouart,25437.5,11662,16644,22479,10817,7169,10429,12767,14690,18800,21143,24263,30143,4.2,12920.61,18419.80,0.3137
7404,74,Aubusson,25915.1,9550,14188,20042,10492,5483,8447,10542,12305,16122,18578,21762,27413,5.0,12612.24,16099.39,0.3396
7405,74,Guéret,58499.2,10478,15695,22031,11553,6396,9379,11509,13619,17877,20498,23896,29891,4.7,14092.39,17711.19,0.3345
7406,74,Brive,87944.3,12213,17558,24151,11938,7978,10980,13397,15507,19825,22473,26295,33277,4.2,18412.07,20237.33,0.3274
7407,74,Tulle,52737.0,11843,17243,23683,11840,7720,10646,12949,15160,19571,22087,25587,31820,4.1,14796.65,19218.50,0.3127
7408,74,Ussel,22236.0,11428,16412,22164,10736,7245,10164,12452,14527,18340,20766,24047,29843,4.1,14124.08,18394.55,0.3190
8201,82,Roanne,119414.0,11933,16699,22362,10429,7413,10680,13023,14907,18649,20941,24108,30022,4.0,19584.19,18824.01,0.3170
8202,82,Beaujolais-Val-de-Saône,104718.0,12323,18121,24847,12524,7512,10952,13632,15896,20432,23159,26898,34092,4.5,18412.22,20584.21,0.3317
8203,82,Bourg-en-Bresse,126656.9,13312,18553,24894,11582,8776,12010,14447,16568,20722,23295,26837,33486,3.8,16207.81,20903.23,0.3047
8204,82,Oyonnax,39523.3,10891,16673,23135,12244,6582,9555,12176,14502,18899,21569,25123,31642,4.8,18953.94,19252.81,0.3506
8205,82,Genevois-Français,186573.7,13951,22910,35283,21332,6851,11970,15757,19283,27086,32198,39041,51379,7.5,26466.19,27605.25,0.3943
8206,82,Chablais,62186.8,14010,20398,28670,14660,8933,12526,15346,17807,23149,26557,31425,40107,4.5,18751.99,23643.23,0.3325
8207,82,Vallée-de-l'Arve,114872.4,13945,20026,27617,13672,8974,12519,15252,17589,22611,25725,30129,38422,4.3,21240.00,23309.27,0.3324
8208,82,Annecy,171288.9,14860,21048,29101,14241,9586,13375,16164,18618,23732,27010,31728,40704,4.2,25657.39,24676.79,0.3324
8209,82,Belley,33493.2,12812,18064,24491,11679,8240,11435,13905,16006,20267,22888,26446,32960,4.0,21729.39,20333.14,0.3122
8210,82,Ambérieu,61087.9,13520,19013,25563,12043,8856,12273,14725,16884,21325,23946,27496,34043,3.8,15728.48,21090.24,0.2981
8211,82,Lyon,1144340.2,12757,19658,28073,15316,7189,11111,14260,16996,22502,25931,30711,39636,5.5,24183.77,23074.66,0.3638
8212,82,Loire-centre,56447.4,12043,16854,22947,10904,7979,10877,13069,15012,18985,21443,24780,30871,3.9,16237.99,19294.68,0.3163
8213,82,Saint-Étienne,324188.8,11392,17111,23674,12282,6446,9948,12697,14954,19379,22040,25653,32335,5.0,17558.79,19387.18,0.3434
8214,82,Vienne-Roussillon,103935.2,12633,18446,25280,12647,7673,11230,13899,16183,20875,23619,27332,34066,4.4,17004.54,20755.11,0.3249
8215,82,Bourgoin-La Tour-du-Pin,120454.2,13018,18436,24978,11960,8471,11751,14172,16323,20702,23358,26992,33585,4.0,16486.78,20730.23,0.3098
8216,82,Chambéry,154105.3,13638,19654,27023,13385,8484,12174,14906,17289,22138,25185,29295,37156,4.4,23177.86,22571.57,0.3309
8217,82,Tarentaise,74924.3,13062,18520,25151,12089,8525,11787,14234,16391,20798,23460,27202,34218,4.0,19572.22,21492.64,0.3300
8218,82,Maurienne,29381.6,13284,18336,24753,11469,9037,12124,14384,16395,20606,23088,26558,32803,3.6,14136.07,20518.39,0.2948
8219,82,Voiron,99324.4,13373,18779,25549,12176,8945,12092,14510,16673,21059,23867,27624,34262,3.8,17041.78,21218.63,0.3058
8220,82,Annonay,43590.6,12008,16962,22608,10600,7637,10773,13135,15101,18909,21134,24244,29772,3.9,17212.34,18943.09,0.3117
8221,82,Drôme-Ardèche-Nord,61701.2,11411,16600,22699,11288,7171,10245,12525,14652,18746,21189,24546,30293,4.2,15328.17,18615.74,0.3197
8222,82,Romans-Saint-Marcellin,85250.8,11573,16953,23282,11709,6856,10215,12721,14866,19082,21655,25277,31781,4.6,20745.41,19254.96,0.3355
8223,82,Grenoble,387514.5,13513,20034,28238,14726,8046,11982,14896,17452,22813,26146,30738,38885,4.8,36917.71,23070.50,0.3406
8224,82,Crest-Die,26775.9,10986,16129,22740,11754,6371,9816,12046,14105,18335,20995,24774,31159,4.9,15429.80,18441.95,0.3408
8225,82,Drôme-Ardèche-Centre,158740.9,11784,17485,24272,12488,6916,10411,13057,15327,19783,22562,26380,33307,4.8,27422.02,19966.39,0.3415
8226,82,Aubenas,62466.0,10500,15797,22054,11554,5826,9253,11623,13774,17947,20474,23954,29974,5.1,14415.13,17773.19,0.3407
8227,82,Drôme-Ardèche-Sud,115090.9,11002,16863,23893,12891,6186,9638,12264,14598,19299,22161,26023,32903,5.3,17333.82,19250.81,0.3489
8311,83,Aurillac,56670.0,11509,16737,23051,11542,7351,10325,12611,14755,18937,21393,24944,31294,4.3,16778.39,19088.72,0.3287
8313,83,Mauriac,20820.9,10073,14536,20301,10228,6293,9085,10979,12766,16507,18913,21940,27830,4.4,12616.01,16642.99,0.3296
8314,83,Saint-Flour,24011.2,10113,14756,20548,10435,6187,9096,11071,12838,16759,19120,22171,28071,4.5,19733.54,17002.04,0.3395
8324,83,Clermont-Ferrand,326907.5,12788,18780,26017,13229,7708,11360,14078,16463,21265,24187,28259,35613,4.6,19277.99,21408.52,0.3348
8325,83,Gannat,10072.9,11156,15809,21874,10718,6723,10135,12249,13985,17834,20463,23733,29949,4.5,13326.60,17981.24,0.3250
8331,83,Issoire,38734.7,11854,16830,22521,10667,7608,10654,12936,14907,18779,21132,24189,29858,3.9,15871.06,18736.40,0.3107
8333,83,Brioude,20958.8,10236,15046,21142,10906,6299,9165,11131,13101,17116,19692,22847,28709,4.6,14693.36,17183.42,0.3351
8343,83,Montluçon,86621.5,11037,16196,22285,11248,6181,9748,12190,14218,18293,20755,24050,29998,4.9,14704.50,18078.72,0.3341
8351,83,Moulins,53769.2,11673,17093,23402,11729,6678,10382,12887,15001,19254,21812,25352,31665,4.7,14686.18,19091.55,0.3311
8352,83,Dompierre-sur-Besbre,14895.4,10564,14997,20280,9716,6979,9496,11496,13207,16948,19081,21966,27224,3.9,11866.72,16722.00,0.3115
8362,83,Le Puy-en-Velay,67800.1,11016,16206,22506,11490,6686,9907,12137,14205,18389,20918,24441,30788,4.6,14611.12,18399.85,0.3321
8372,83,Yssingeaux,54309.1,12078,16754,22460,10382,8093,10919,13046,14931,18700,21020,24211,30032,3.7,19236.95,18927.96,0.3054
8381,83,Thiers,25993.6,10863,15886,21892,11029,6422,9570,11941,13952,17947,20349,23761,30077,4.7,13767.56,17970.84,0.3317
8382,83,Ambert,20411.2,10731,15646,21871,11140,6972,9761,11711,13691,17757,20312,23486,29521,4.2,12809.52,17661.82,0.3206
8391,83,Vichy,77283.0,11434,16673,23199,11765,6683,10189,12567,14666,18897,21572,25198,32105,4.8,16156.30,19020.09,0.3391
8392,83,Saint-Pourcain-sur-Sioule,14455.8,11223,16083,21625,10402,6941,10020,12243,14145,17999,20336,23266,28588,4.1,11949.96,17587.59,0.3086
9101,91,Carcassonne,133070.7,9884,15435,22050,12166,4689,8521,11058,13263,17744,20424,23957,30225,6.4,15573.51,17501.70,0.3637
9102,91,Narbonne,101590.4,9844,15346,21968,12124,4838,8479,11023,13204,17603,20316,23919,30470,6.3,16369.16,17528.94,0.3669
9103,91,Alès-La-Grand-Combe,100655.9,9420,15037,21500,12080,3990,7955,10725,12935,17269,19905,23376,29558,7.4,15812.91,16978.08,0.3712
9104,91,Bagnols-sur-Cèze,77858.9,11851,18137,25884,14033,6545,10373,13194,15689,20847,23910,28258,36030,5.5,17373.61,20873.47,0.3541
9105,91,Ganges-Le Vigan,30305.7,9507,14899,21145,11638,4637,8177,10757,12872,17057,19589,23157,29230,6.3,19932.01,16843.65,0.3613
9106,91,Nîmes,273267.7,9959,16381,23673,13714,4501,8418,11393,13966,18966,21879,25840,32911,7.3,17810.47,18731.35,0.3781
9107,91,Béziers-Saint-Pons,205948.9,9451,15171,21862,12411,4364,8059,10698,12932,17469,20189,23884,30492,7.0,18133.17,17506.48,0.3804
9108,91,Montpellier,393361.8,10995,17910,26301,15306,5384,9354,12508,15236,20774,24186,28891,37271,6.9,24133.30,20954.16,0.3823
9109,91,Sète,82272.4,10645,16409,23269,12624,5481,9263,11910,14233,18781,21547,25373,32009,5.8,15473.56,18556.09,0.3536
9110,91,Lozère,49601.5,10953,16341,22364,11411,6670,9797,12113,14261,18440,20866,24299,30137,4.5,14307.69,18231.55,0.3266
9111,91,Perpignan,308330.9,9791,15798,22815,13024,4453,8342,11124,13515,18243,21054,24887,31732,7.1,20632.90,18148.92,0.3793
9311,93,Manosque,49913.2,11198,17070,24524,13326,6234,9819,12374,14668,19573,22613,26842,33854,5.4,18772.40,19614.84,0.3512
9312,93,Digne,55510.9,11157,16678,23327,12170,6207,9832,12318,14536,19022,21656,25331,31674,5.1,16413.91,18728.39,0.3366
9321,93,Briançon,23970.2,12220,17261,23657,11437,7954,11024,13372,15307,19473,22030,25646,32461,4.1,16065.87,19800.80,0.3206
9322,93,Gap,68856.3,11742,17205,23932,12190,7231,10430,12946,15058,19460,22215,25981,32719,4.5,18069.39,19653.38,0.3340
9331,93,Cannes-Antibes,285228.3,12586,19575,28989,16403,7210,11024,14019,16777,22704,26543,32042,42294,5.9,28872.10,24070.08,0.3866
9332,93,Menton,55002.6,13089,19621,28007,14918,8151,11684,14461,16981,22438,25911,30567,39191,4.8,20096.17,23050.26,0.3493
9333,93,Nice,427361.9,11447,18478,27096,15649,5715,9821,12956,15716,21403,24906,29800,38989,6.8,25855.94,22022.25,0.3889
9341,93,Arles,55583.6,9454,15653,23163,13709,4351,7925,10790,13227,18285,21277,25406,33189,7.6,21584.51,18492.24,0.3952
9342,93,Aix-en-Provence,180133.4,13472,20812,30322,16850,7711,11833,14967,17859,24000,27964,33264,43267,5.6,33338.90,24960.07,0.3734
9344,93,Étang-de-Berre,89616.0,11613,18112,25335,13722,6340,10099,13042,15663,20653,23623,27495,33827,5.3,15954.29,19904.09,0.3336
9346,93,Châteaurenard,54199.5,11253,17062,24331,13078,6525,9948,12469,14803,19580,22502,26567,34397,5.3,22880.13,20322.19,0.3681
9347,93,Fos-sur-Mer,130548.5,11581,17687,24685,13104,6584,10172,12843,15272,20148,22970,26783,33046,5.0,16484.59,19463.30,0.3280
9348,93,Salon-de-Provence,49748.9,12733,19085,26902,14169,7323,11189,14057,16604,21773,24938,29358,37097,5.1,17165.03,21733.62,0.3398
9349,93,Marseille-Aubagne,728228.8,9505,17186,26025,16520,3535,7686,11192,14237,20287,23847,28642,37256,10.5,22635.12,20256.55,0.4145
