Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus disponibles par unité de consommation et composition du revenu disponible - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 23/01/2020       Géographie au 01/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nbre de ménages fiscaux,Nbre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,1er quartile (€),Médiane (€),3e quartile (€),Écart interquartile (€),1er décile (€),2e décile (€),3e décile (€),4e décile (€),6e décile (€),7e décile (€),8e décile (€),9e décile (€),Rapport interdécile 9e décile/1er decile,S80/20,Indice de Gini,Part des revenus d’activité (%),dont part des salaires et traitements(%),dont part des indemnités de chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des revenus du patrimoine et autres revenus (%),Part de l'ensemble des prestations sociales (%),dont part des prestations familiales (%),dont part des minima sociaux (%),dont part des prestations logement (%),Part des impôts (%)
CODGEO,LIBGEO,NBMEN17,NBPERS17,NBUC17,Q117,Q217,Q317,Q3_Q1,D117,D217,D317,D417,D617,D717,D817,D917,RD,S80S2017,GI17,PACT17,PTSA17,PCHO17,PBEN17,PPEN17,PPAT17,PPSOC17,PPFAM17,PPMINI17,PPLOGT17,PIMPOT17
2412,Tours,239082,532052,367919.4,15980,21210,27650,11670,11720,14750,17120,19190,23400,26010,29680,36350,3.1,3.818,0.262,71.6,64.0,3.0,4.6,30.5,8.8,5.4,2.1,1.9,1.4,-16.3
2413,Blois,78137,176741,121608.1,15860,20980,27050,11190,11610,14670,16990,19020,23120,25550,28910,34990,3.0,3.634,0.251,67.7,59.9,2.9,4.9,33.6,8.6,5.4,2.2,1.9,1.2,-15.3
2414,Romorantin-Lanthenay,26027,55714,39323.7,15030,19650,24880,9850,11110,13890,16040,17890,21460,23570,26440,31950,2.9,3.473,0.242,58.7,51.1,3.1,4.6,41.1,8.3,5.7,2.1,2.3,1.4,-13.8
2415,Vendôme,29230,63747,44635.9,15960,20570,26130,10170,12100,14870,16940,18800,22420,24680,27860,33680,2.8,3.431,0.243,64.6,56.2,2.9,5.5,35.6,9.8,4.8,2.0,1.7,1.1,-14.8
2416,Gien,33056,73121,50770.0,15290,20300,26090,10800,11200,14120,16340,18350,22300,24690,27830,33610,3.0,3.589,0.248,64.8,57.2,3.2,4.4,35.8,8.5,5.5,2.3,1.9,1.3,-14.6
2417,Montargis,55238,125545,86132.9,14950,20050,25680,10730,10860,13810,16040,18080,22010,24340,27390,32890,3.0,3.682,0.253,64.8,57.3,3.3,4.2,35.0,8.7,6.2,2.6,2.2,1.5,-14.7
2418,Orléans,206772,485228,328191.0,16240,21780,28450,12220,11830,14920,17440,19650,24070,26780,30460,37030,3.1,3.802,0.260,74.1,67.1,2.9,4.0,28.7,8.6,5.2,2.4,1.6,1.3,-16.6
2419,Pithiviers,21458,52155,34912.9,15910,20660,26170,10270,11930,14750,16980,18810,22570,24820,27770,32860,2.8,3.311,0.233,71.3,63.4,3.4,4.5,29.2,8.5,5.4,2.7,1.6,1.2,-14.4
2501,Bayeux,22850,51207,35457.9,15720,20500,26080,10360,11990,14660,16710,18650,22420,24670,27900,34030,2.8,3.474,0.247,64.1,54.5,2.9,6.7,35.8,9.2,5.2,2.2,1.8,1.2,-14.3
2502,Caen,201700,457129,314086.8,16160,21250,27390,11220,12100,14980,17260,19280,23350,25840,29370,35830,3.0,3.659,0.256,71.3,63.1,3.0,5.3,30.6,8.5,5.4,2.2,1.8,1.4,-15.8
2503,Honfleur,24656,50960,36491.6,15700,21080,28610,12910,11670,14540,16800,18930,23530,26590,31140,40120,3.4,4.501,0.302,62.3,51.8,3.2,7.3,37.8,14.1,4.0,1.5,1.5,1.0,-18.2
2504,Lisieux,28466,62868,43724.3,14820,19500,24930,10110,11150,13750,15850,17710,21430,23580,26670,32370,2.9,3.592,0.252,64.9,56.2,3.0,5.6,34.5,8.4,6.3,2.4,2.3,1.6,-14.1
2505,Vire Normandie,18968,42362,29351.3,15020,19260,24090,9070,11440,13950,15950,17660,20940,22920,25490,30200,2.6,3.271,0.232,64.9,55.7,2.7,6.6,33.4,8.6,6.0,2.5,2.1,1.4,-12.9
2506,Avranches,39651,87363,60899.7,15480,19820,24750,9270,11880,14520,16400,18180,21560,23570,26220,31230,2.6,3.251,0.232,63.9,54.5,2.4,7.0,34.4,9.7,5.3,2.2,1.9,1.2,-13.3
2507,Cherbourg-en-Cotentin,90463,200895,139470.4,15760,20650,26530,10760,12090,14680,16840,18740,22680,25070,28340,34120,2.8,3.375,0.240,69.1,60.9,2.9,5.3,32.2,7.4,5.7,2.2,2.1,1.4,-14.4
2508,Coutances,26780,58474,40937.4,15390,19790,25510,10110,11790,14340,16320,18060,21690,24070,27310,33300,2.8,3.546,0.253,61.2,49.3,2.6,9.3,37.8,9.6,5.3,2.1,2.0,1.3,-13.9
2509,Granville,25375,52905,37759.6,16060,20910,27450,11390,12380,15030,17140,18990,23080,25790,29590,36460,2.9,3.764,0.267,57.1,46.7,2.6,7.9,41.9,12.4,4.3,1.7,1.6,1.1,-15.7
2510,Saint-Lô,37532,84481,58197.0,15710,20180,25290,9580,12070,14670,16640,18470,21920,23990,26760,31930,2.6,3.209,0.229,67.9,59.4,2.7,5.8,32.1,7.8,5.8,2.5,2.0,1.3,-13.6
2511,Argentan,18050,39420,27529.2,14890,19540,24660,9780,11160,13840,15890,17780,21300,23440,26090,31170,2.8,3.365,0.237,62.3,53.3,2.7,6.3,36.3,8.5,6.1,2.4,2.2,1.5,-13.2
2512,Flers,42296,92781,64782.5,15120,19370,24270,9160,11320,14020,16050,17740,21100,23070,25740,30730,2.7,3.331,0.235,61.9,53.4,2.8,5.8,36.3,9.2,5.8,2.4,2.0,1.4,-13.2
2513,L'Aigle,14054,30735,21459.6,14490,19240,24650,10160,10610,13410,15510,17370,21120,23360,26160,31390,3.0,3.633,0.252,62.2,53.5,3.0,5.8,36.6,8.9,6.2,2.4,2.2,1.6,-13.9
2601,Beaune,21684,48415,33580.5,16990,22200,29090,12100,12770,15760,18020,20190,24470,27240,31320,40110,3.1,4.038,0.281,71.8,59.7,2.6,9.6,29.0,13.6,3.7,1.7,1.2,0.8,-18.1
2602,Chatillon,8097,16815,12033.2,14550,19160,24330,9780,10770,13540,15530,17420,20970,23010,25990,31250,2.9,3.548,0.246,57.9,48.7,2.7,6.4,39.7,10.3,5.5,1.9,2.3,1.2,-13.4
2603,Dijon,183150,402551,279896.3,16530,21890,28410,11890,12250,15240,17670,19810,24110,26760,30430,37240,3.0,3.758,0.261,72.7,64.3,2.7,5.8,30.5,9.1,4.7,2.0,1.6,1.2,-17.0
2604,Montbard,14069,29760,21088.7,15530,20160,25390,9860,11720,14410,16550,18400,21900,24040,27030,32300,2.8,3.381,0.238,64.0,55.7,2.6,5.7,36.2,8.7,5.2,2.0,2.1,1.2,-14.1
2605,Le Morvan,16011,30910,22808.1,14180,18880,24480,10300,10190,13060,15120,16990,20820,23100,26210,31670,3.1,3.767,0.254,47.4,37.9,2.5,7.1,49.5,11.1,5.1,1.6,2.5,1.0,-13.1
2606,Nevers,53574,111166,79242.4,15160,20080,25480,10320,11260,14030,16220,18160,22000,24170,27110,32630,2.9,3.529,0.246,62.5,55.0,2.6,4.9,38.0,7.8,6.6,2.0,3.0,1.6,-14.9
2607,Autun,14843,31076,22144.7,14820,19360,24840,10020,11160,13810,15770,17630,21260,23520,26590,32060,2.9,3.491,0.246,61.1,51.2,2.9,7.0,39.4,8.3,5.5,2.0,2.2,1.3,-14.3
2608,Chalon-sur-Saône,85660,190749,132174.7,15870,20700,26500,10630,12070,14720,16930,18840,22710,25070,28370,34430,2.9,3.495,0.247,69.1,60.4,3.0,5.8,32.7,8.3,5.3,2.2,1.9,1.2,-15.4
2609,Louhans,16630,35727,25183.9,15280,19830,24920,9650,11670,14270,16320,18080,21540,23700,26460,31300,2.7,3.206,0.228,61.8,53.4,2.8,5.5,38.5,7.9,5.0,2.1,1.8,1.1,-13.2
2610,Le Creusot - Montceau,45041,95677,67617.9,15050,19600,24920,9870,11520,14050,16020,17820,21460,23610,26530,31830,2.8,3.292,0.234,61.8,54.4,3.1,4.3,38.4,7.2,6.5,2.3,2.5,1.7,-13.9
2611,Le Charolais,37540,80083,56679.0,15330,19680,24840,9510,11810,14340,16230,17990,21460,23540,26360,31820,2.7,3.288,0.235,60.3,50.9,2.6,6.8,38.9,9.5,5.0,2.0,1.8,1.2,-13.7
2612,Auxerre,90652,197232,137865.4,15150,20150,25870,10720,11230,14020,16210,18220,22140,24480,27650,33470,3.0,3.652,0.253,63.9,55.1,2.9,6.0,36.1,9.2,5.9,2.2,2.3,1.4,-15.1
2613,Avallon,10386,21955,15567.7,15000,19770,25300,10300,11270,13900,16020,17930,21600,23920,26960,32830,2.9,3.579,0.249,60.4,50.9,2.6,6.9,38.2,9.8,5.8,2.0,2.4,1.3,-14.2
2614,Sens,47106,108519,74032.5,15440,20500,26180,10740,11620,14310,16570,18580,22500,24750,27870,33350,2.9,3.490,0.245,67.9,60.1,3.1,4.7,33.1,8.1,6.0,2.6,2.1,1.3,-15.1
3110,Roubaix - Tourcoing,166969,419285,275837.9,13320,18870,25660,12340,9900,12250,14440,16690,21220,23960,27660,34640,3.5,4.400,0.295,72.9,64.8,3.8,4.3,24.2,8.8,9.5,3.4,3.7,2.4,-15.4
3111,Lille,328801,757060,515131.2,15150,21390,29240,14090,10880,13810,16470,18940,24040,27220,31680,39630,3.6,4.520,0.296,79.5,70.7,3.1,5.7,23.2,8.5,6.5,2.4,2.4,1.7,-17.7
3112,Dunkerque,104196,244766,166006.2,14370,19390,25320,10950,10940,13340,15400,17390,21480,23880,27060,32840,3.0,3.599,0.254,70.2,62.1,3.6,4.4,30.2,6.9,7.6,2.8,2.8,2.0,-14.9
3113,La Flandre - Lys,49980,123825,82492.7,15970,20920,26630,10660,12230,14840,17020,19040,22910,25270,28420,34060,2.8,3.368,0.240,73.1,64.7,2.8,5.6,27.1,9.0,5.4,2.6,1.7,1.1,-14.6
3114,Douai,98943,241590,161427.7,14020,18960,25090,11070,10630,13010,14990,16980,21110,23590,26810,32380,3.0,3.613,0.254,70.3,62.8,3.5,4.0,28.7,5.8,8.9,3.2,3.4,2.3,-13.7
3115,Valenciennes,139637,337641,225819.0,13040,17840,24010,10980,9900,12070,13960,15840,20020,22530,25740,31260,3.2,3.810,0.266,68.7,60.9,3.6,4.2,27.8,6.6,10.4,3.4,4.3,2.7,-13.5
3116,Cambrai,73621,174998,118163.5,13970,18820,24600,10620,10510,12930,14950,16900,20830,23200,26240,31790,3.0,3.666,0.257,68.7,59.4,3.7,5.6,29.6,7.6,7.9,2.9,3.2,1.8,-13.8
3117,Maubeuge,92446,220952,148578.3,12920,17820,23890,10970,9710,11950,13890,15770,19980,22430,25570,31100,3.2,3.849,0.267,65.3,56.4,3.5,5.3,30.0,7.6,10.3,3.3,4.4,2.6,-13.2
3121,Arras,100913,239535,161903.4,15060,20370,26600,11530,11270,13940,16180,18300,22540,25040,28520,34780,3.1,3.763,0.261,72.6,63.5,2.9,6.2,28.5,8.3,6.2,2.5,2.2,1.4,-15.6
3122,Lens - Hénin,147012,361099,240088.6,12850,17170,22460,9610,9950,12000,13670,15370,19070,21200,23960,28410,2.9,3.349,0.240,67.9,60.9,3.9,3.2,28.6,4.4,11.6,3.9,4.6,3.1,-12.5
3123,Béthune - Bruay,119432,288625,193574.9,13900,18770,24560,10660,10620,12950,14860,16780,20810,23190,26180,31450,3.0,3.545,0.251,70.7,63.2,3.1,4.5,28.8,6.4,8.3,3.1,3.1,2.2,-14.2
3124,Saint-Omer,48007,116406,78060.0,14140,18900,24310,10170,10790,13160,15080,17000,20800,22950,25920,31250,2.9,3.510,0.249,70.0,61.9,3.1,5.1,28.3,7.8,7.9,3.1,2.9,1.9,-14.0
3125,Calais,67290,164106,109422.3,13510,18490,24390,10880,10230,12530,14490,16480,20540,22960,26040,31200,3.0,3.592,0.252,70.7,62.2,3.8,4.7,27.5,6.7,9.2,3.4,3.4,2.4,-14.1
3126,Boulogne-sur-mer,66948,157460,106800.3,13770,18490,24550,10780,10650,12840,14690,16580,20570,23070,26310,32370,3.0,3.759,0.266,68.4,59.1,3.6,5.7,30.2,8.1,8.5,2.9,3.3,2.3,-15.2
3127,Berck - Montreuil,46392,105070,72448.3,14540,19400,25370,10830,11000,13460,15540,17450,21420,23840,27220,33820,3.1,3.913,0.273,62.8,53.1,3.1,6.5,35.7,11.1,6.2,2.4,2.3,1.5,-15.8
4101,Longwy,45023,101972,70089.6,14660,21080,29530,14870,10120,13330,15910,18440,24030,27560,31910,39440,3.9,4.802,0.296,35.0,29.4,2.7,2.9,22.0,47.4,4.1,1.1,1.8,1.2,-8.5
4102,Lunéville,13886,31373,21567.2,14570,19560,24880,10310,10780,13370,15660,17650,21410,23620,26420,31680,2.9,3.551,0.247,66.3,58.5,3.1,4.7,32.8,7.3,7.7,2.7,3.1,1.9,-14.1
4103,Nancy,214639,474720,329237.2,15720,21290,27930,12210,11350,14430,16940,19150,23570,26250,30020,36730,3.2,3.965,0.269,72.8,64.6,2.8,5.4,29.8,8.4,5.9,2.1,2.2,1.6,-16.9
4104,Bar-le-Duc,25649,56173,39328.5,15750,20640,26090,10330,11840,14580,16800,18760,22510,24800,27720,33240,2.8,3.379,0.238,66.1,58.5,2.7,4.8,35.4,7.9,5.3,2.0,2.0,1.3,-14.7
4105,Commercy,18207,41762,28637.0,14680,19400,24730,10040,11040,13640,15650,17540,21250,23400,26310,31340,2.8,3.362,0.237,65.7,56.9,3.0,5.8,33.1,8.3,6.2,2.5,2.2,1.4,-13.3
4106,Verdun,26074,57486,39980.5,14760,19720,25230,10470,10930,13620,15790,17770,21680,23960,26990,32670,3.0,3.647,0.253,64.8,55.9,2.6,6.3,32.7,10.0,6.4,2.3,2.5,1.5,-13.9
4107,Metz,212834,482146,331724.3,15460,21230,28370,12920,11220,14190,16670,18980,23640,26530,30590,37560,3.3,4.132,0.277,65.4,57.7,3.1,4.5,27.5,16.5,5.3,1.9,2.0,1.4,-14.7
4108,Forbach,89158,205041,140909.0,14110,19200,25330,11220,10480,12980,15170,17200,21350,23850,27170,33060,3.2,3.796,0.262,65.5,57.9,3.7,3.9,33.8,7.6,6.9,2.3,2.9,1.8,-13.8
4109,Sarrebourg,29937,69106,47459.9,15650,20460,25860,10220,11950,14550,16680,18560,22380,24560,27560,32570,2.7,3.312,0.236,69.6,61.9,2.8,4.8,31.6,7.7,5.1,2.1,1.9,1.1,-14.0
4110,Sarreguemines,46415,106813,73544.0,15880,21130,27590,11710,11810,14670,16990,19120,23350,25960,29510,35690,3.0,3.699,0.257,72.8,65.5,3.2,4.1,29.3,8.0,4.8,1.8,1.9,1.1,-14.9
4111,Thionville,91166,209919,143441.4,15730,22320,31490,15760,11060,14370,17060,19670,25380,29140,34350,43120,3.9,4.789,0.300,39.5,33.9,2.7,3.0,22.7,43.9,3.8,1.3,1.5,1.1,-9.9
4112,Épinal,70014,155239,107693.6,14790,19850,25600,10820,10980,13660,15860,17900,21850,24200,27350,33010,3.0,3.646,0.254,67.9,59.7,3.2,5.0,32.1,8.0,6.6,2.4,2.5,1.7,-14.6
4113,Remiremont,37564,80653,56877.3,15420,19850,25180,9760,11710,14350,16340,18140,21640,23830,26840,32430,2.8,3.353,0.238,63.9,56.2,3.2,4.4,36.1,8.9,5.2,2.0,1.9,1.3,-14.1
4114,Saint-Dié-des-Vosges,37990,82303,57748.8,14400,19120,24460,10070,10860,13360,15420,17360,20970,23170,26030,31140,2.9,3.454,0.243,63.9,55.5,3.8,4.6,35.3,7.6,6.8,2.3,2.7,1.8,-13.6
4115,Neufchâteau,22518,48687,34249.5,14980,19760,25250,10270,11190,13830,15980,17940,21690,23920,26860,32310,2.9,3.494,0.245,64.6,56.1,3.1,5.4,35.8,8.1,5.6,2.1,2.2,1.3,-14.1
4201,Haguenau,81912,198232,133951.8,17530,22750,29050,11520,13200,16270,18700,20750,24890,27440,31020,36990,2.8,3.378,0.239,77.2,70.7,2.7,3.8,27.4,7.6,3.7,1.8,1.1,0.7,-15.9
4202,Molsheim - Obernai,56937,135353,91960.5,17930,23300,29950,12020,13620,16700,19070,21190,25570,28240,32020,38770,2.8,3.487,0.247,76.5,69.0,2.7,4.9,27.8,9.3,3.3,1.7,0.9,0.6,-16.9
4203,Saverne,31889,76125,51732.8,16610,21740,27720,11110,12670,15400,17730,19770,23820,26210,29520,35460,2.8,3.362,0.238,73.4,66.2,2.8,4.4,29.9,7.8,4.0,1.9,1.3,0.8,-15.1
4204,Sélestat,35619,85069,57611.1,16910,22130,28360,11450,12770,15710,18090,20160,24310,26790,30310,36510,2.9,3.461,0.244,76.1,68.6,2.8,4.7,26.8,8.9,4.3,2.0,1.3,0.9,-16.1
4205,Strasbourg,244149,551659,379055.3,14790,21300,29260,14480,10530,13440,16120,18750,24020,27250,31720,39690,3.8,4.767,0.305,75.6,67.1,3.1,5.4,26.6,10.0,6.1,2.2,2.2,1.7,-18.3
4206,Wissembourg,16711,39671,27056.4,17690,23520,31340,13650,13060,16380,18990,21280,26260,29390,33590,40290,3.1,3.710,0.255,83.8,77.5,2.6,3.7,23.0,7.0,2.8,1.3,0.9,0.6,-16.6
4207,Colmar,84593,192112,132384.9,16650,22310,29280,12630,12190,15300,17860,20110,24710,27530,31500,38970,3.2,3.961,0.271,73.9,65.5,2.8,5.6,28.9,9.8,4.3,1.8,1.4,1.0,-16.9
4208,Mulhouse,179355,420515,285558.6,15430,21470,29020,13580,11150,14100,16730,19110,24040,27070,31380,39030,3.5,4.319,0.287,75.0,67.7,3.5,3.8,28.5,7.6,5.6,2.3,1.9,1.5,-16.7
4209,Saint-Louis,51196,120543,81943.5,19580,28410,40670,21090,13390,17700,21310,24770,32680,37670,44370,56390,4.2,5.270,0.323,89.4,83.9,3.2,2.3,23.3,6.8,2.2,0.9,0.8,0.6,-21.7
4301,Besançon,129718,291658,200458.5,16050,21300,27700,11650,11840,14820,17180,19280,23500,26080,29660,36120,3.1,3.730,0.258,73.3,64.7,2.9,5.7,28.7,8.4,5.7,2.3,1.9,1.4,-16.1
4302,Belfort - Montbéliard - Héricourt,157267,357297,245224.0,15350,20670,26940,11590,11570,14200,16470,18600,22840,25380,28870,34980,3.0,3.597,0.251,71.7,64.4,3.5,3.9,30.5,6.6,6.1,2.4,2.2,1.5,-14.9
4303,Morteau,20612,48680,32829.6,20330,28300,38230,17900,14990,18780,21820,25040,31860,35930,40940,49180,3.3,3.871,0.263,93.7,85.4,4.3,4.0,18.0,6.1,2.1,1.1,0.6,0.4,-19.9
4304,Pontarlier,28042,65780,44420.2,18900,25820,35290,16390,13990,17420,20270,22970,29140,33050,38060,46330,3.3,3.909,0.267,90.2,81.4,3.6,5.1,18.7,7.1,2.8,1.4,0.8,0.6,-18.8
4305,Dole,31329,70198,48458.3,15650,20540,26230,10580,11740,14470,16750,18710,22560,24930,27950,33630,2.9,3.437,0.242,66.7,59.4,2.7,4.6,34.4,7.7,5.8,2.4,2.1,1.3,-14.6
4306,Lons-le-Saunier,53805,115385,81241.9,15910,20770,26510,10600,12080,14770,16950,18910,22750,25100,28390,34240,2.8,3.481,0.246,66.3,58.1,2.7,5.5,34.9,8.9,4.7,2.0,1.7,1.1,-14.8
4307,Saint-Claude,22905,52609,36022.0,16660,22640,30860,14190,12370,15400,17950,20230,25360,28790,33590,41390,3.3,3.964,0.270,80.2,72.9,3.7,3.7,25.6,7.0,3.8,1.7,1.2,0.9,-16.6
4308,Gray,11800,26054,18152.1,14910,19590,24750,9840,11360,13980,15940,17720,21370,23480,26340,31810,2.8,3.380,0.239,62.7,53.4,2.9,6.4,35.6,9.0,6.1,2.4,2.3,1.5,-13.4
4309,Vesoul,50993,112455,78250.1,14990,19760,25090,10100,11300,13920,15960,17900,21590,23780,26670,31950,2.8,3.421,0.241,65.0,56.9,2.8,5.3,34.8,7.7,6.1,2.3,2.3,1.4,-13.6
5201,Ancenis,15278,38006,25128.8,16280,20310,25020,8740,12690,15240,17200,18740,21960,23870,26400,31010,2.4,2.909,0.210,73.2,65.8,3.0,4.3,26.3,7.9,6.0,3.2,1.7,1.2,-13.4
5202,Châteaubriant,15296,35903,24379.3,14890,19050,23710,8820,11350,13920,15760,17390,20610,22480,25140,29660,2.6,3.254,0.233,66.7,56.8,2.8,7.2,30.3,8.9,7.0,3.1,2.5,1.5,-12.9
5203,Nantes,456900,1068856,722874.9,16990,22110,28530,11550,12730,15770,18090,20110,24270,26870,30580,37240,2.9,3.559,0.250,79.0,70.9,3.1,4.9,24.2,8.4,5.1,2.3,1.6,1.2,-16.7
5204,Saint-Nazaire,139404,309465,214457.7,16730,21570,27520,10790,12780,15580,17750,19690,23590,26020,29440,35930,2.8,3.458,0.246,65.0,57.1,3.1,4.8,36.0,10.5,4.7,2.0,1.6,1.1,-16.2
5205,Angers,194663,452480,307230.4,16050,20840,26740,10700,12040,14900,17110,19000,22870,25230,28600,34990,2.9,3.561,0.250,72.3,63.8,3.1,5.3,28.8,8.2,5.9,2.6,1.8,1.5,-15.2
5206,Cholet,85910,209361,139836.0,16430,20360,25150,8710,12970,15500,17300,18860,21990,23940,26620,31670,2.4,2.987,0.218,73.1,65.0,2.8,5.2,27.1,8.4,5.3,2.9,1.3,1.1,-13.9
5207,Saumur,42253,96434,66185.5,15080,19450,24670,9590,11570,14120,15980,17710,21220,23330,26370,32150,2.8,3.365,0.240,64.4,54.9,3.3,6.2,34.2,9.1,6.1,2.5,2.1,1.5,-13.8
5208,Segré,21458,50959,34375.9,15350,19280,23560,8210,11940,14370,16250,17800,20750,22460,24940,29380,2.5,2.995,0.215,67.6,58.5,2.9,6.3,30.4,8.2,6.2,3.2,1.7,1.3,-12.4
5209,Laval,93106,219253,148285.1,16040,20360,25480,9450,12340,14990,17020,18760,22120,24190,27080,32580,2.6,3.263,0.233,70.5,62.6,2.6,5.4,29.7,8.9,5.4,2.8,1.4,1.2,-14.5
5210,La Mayenne,22395,51119,35116.4,15760,19970,24690,8930,11960,14650,16660,18410,21620,23500,26070,31050,2.6,3.185,0.226,66.6,57.8,2.6,6.2,32.5,9.5,5.1,2.5,1.5,1.1,-13.7
5211,La Ferté-Bernard,14977,33491,23198.5,16050,20440,25230,9180,12240,14950,17030,18770,22130,24020,26820,31720,2.6,3.185,0.227,67.2,59.6,2.9,4.7,33.5,8.5,4.9,2.3,1.5,1.1,-14.1
5212,La Flèche,23183,50655,35459.2,15170,19540,24480,9310,11420,14090,16140,17900,21220,23180,26000,31180,2.7,3.333,0.236,61.4,53.8,2.9,4.7,38.1,8.5,5.5,2.3,1.8,1.4,-13.5
5213,Le Mans,180696,412390,282197.7,15760,20700,26230,10470,11620,14560,16910,18870,22620,24850,27960,33560,2.9,3.499,0.243,69.5,62.2,2.8,4.5,31.9,7.7,5.9,2.5,1.9,1.5,-15.0
5214,Sablé-sur-Sarthe,15048,35994,24229.1,15790,19850,24530,8750,12050,14680,16700,18310,21490,23370,25930,30900,2.6,3.213,0.230,70.7,63.2,3.1,4.5,28.2,9.3,5.8,2.9,1.5,1.3,-14.0
5215,Challans,62590,134252,94840.5,16390,20800,26360,9970,12770,15380,17340,19090,22690,24950,28170,34290,2.7,3.266,0.236,56.8,47.9,3.1,5.8,42.8,11.9,3.8,1.7,1.2,0.9,-15.3
5216,Fontenay-le-Comte,29339,67267,46165.4,15280,19530,24480,9190,11870,14360,16180,17840,21230,23190,25980,31070,2.6,3.189,0.229,64.6,55.4,3.0,6.2,34.6,8.6,5.6,2.5,1.9,1.2,-13.4
5217,Les Herbiers,24681,60433,40307.3,16760,20410,24810,8050,13440,15830,17540,18990,21920,23670,26150,30500,2.3,2.731,0.200,75.5,67.5,2.7,5.4,25.5,7.8,4.8,2.8,1.2,0.9,-13.6
5218,La Roche-sur-Yon,108740,253345,172138.2,16330,20640,25610,9280,12750,15310,17290,19000,22350,24380,27120,32280,2.5,3.086,0.223,69.9,61.7,2.9,5.2,31.0,8.2,5.3,2.5,1.6,1.1,-14.4
5219,Les Sables-d'Olonne,35985,73016,52865.1,17050,22040,28760,11710,13120,15880,18060,20040,24250,26990,30870,37880,2.9,3.659,0.261,52.5,43.6,2.9,6.0,48.1,13.3,3.3,1.3,1.2,0.8,-17.2
5301,Dinan,43264,94250,65924.0,16480,21420,27800,11320,12660,15430,17550,19490,23550,26160,29850,36930,2.9,3.582,0.254,62.6,53.5,3.0,6.1,38.2,10.8,4.4,1.9,1.5,1.0,-16.0
5302,Guingamp,23051,49938,34941.6,14910,19380,24430,9510,11340,13920,15850,17660,21170,23190,25980,31080,2.7,3.294,0.233,62.7,53.0,2.9,6.8,36.2,7.9,6.5,2.5,2.5,1.5,-13.3
5303,Lannion,42598,90172,63892.8,16090,21260,27870,11780,12150,14920,17160,19250,23500,26230,29880,36320,3.0,3.591,0.251,58.0,48.7,2.8,6.5,43.0,10.1,4.5,1.8,1.7,1.1,-15.6
5304,Loudéac,15951,36062,24840.3,15450,19840,24570,9120,11870,14430,16430,18160,21530,23430,26020,31120,2.6,3.238,0.230,65.2,54.0,2.7,8.5,33.6,8.9,5.6,2.5,1.8,1.2,-13.3
5305,Saint-Brieuc,138372,306225,212605.9,16130,20820,26510,10380,12290,15040,17140,19010,22770,25090,28320,34420,2.8,3.413,0.242,65.0,55.2,2.9,6.9,36.0,9.2,5.0,2.2,1.7,1.2,-15.2
5306,Brest,198625,441673,305405.5,16460,21220,27190,10740,12550,15350,17490,19360,23250,25670,29040,34980,2.8,3.387,0.241,70.6,61.4,3.1,6.1,31.8,7.9,5.3,2.3,1.8,1.3,-15.6
5307,Carhaix-Plouguer,20501,41959,30152.7,14500,19080,24170,9670,10690,13400,15440,17380,20870,22930,25710,30450,2.8,3.467,0.239,57.6,46.3,2.9,8.4,40.5,8.6,6.1,2.1,2.6,1.3,-12.8
5308,Morlaix,33580,72201,50704.2,15770,20380,25990,10220,11960,14670,16790,18620,22320,24580,27650,33530,2.8,3.478,0.245,62.9,51.5,3.1,8.2,37.8,8.8,5.4,2.1,2.1,1.2,-14.9
5309,Quimper,148581,313817,222486.8,16240,20950,26840,10590,12440,15170,17270,19110,22960,25330,28700,34780,2.8,3.414,0.242,62.8,53.5,3.0,6.3,38.1,9.8,4.6,1.8,1.7,1.1,-15.3
5310,Fougères,29196,66767,45702.0,15690,19760,24560,8870,12180,14750,16610,18190,21440,23350,26030,30860,2.5,3.082,0.222,68.2,59.9,2.8,5.6,30.9,8.4,6.0,2.7,1.9,1.3,-13.5
5311,Redon,20074,45277,31234.9,15660,20100,25050,9390,11860,14570,16640,18430,21760,23780,26560,31580,2.7,3.174,0.225,65.3,57.5,3.1,4.7,34.2,8.3,5.7,2.4,2.0,1.3,-13.5
5312,Rennes,334220,782712,529086.8,16670,21690,27950,11280,12450,15450,17760,19750,23800,26340,29940,36320,2.9,3.552,0.249,78.3,70.2,2.9,5.2,24.5,8.4,5.4,2.4,1.7,1.3,-16.6
5313,Saint-Malo,49884,106266,74944.7,16130,20880,27350,11220,12450,15050,17130,18990,23030,25680,29510,36800,3.0,3.708,0.264,63.2,53.3,3.0,6.8,36.6,11.5,4.8,1.9,1.8,1.2,-16.1
5314,Vitré,21065,52281,34687.7,16760,20790,26020,9250,13310,15810,17650,19260,22520,24740,27570,32940,2.5,3.007,0.220,77.4,69.2,2.8,5.4,23.2,8.7,5.1,2.8,1.3,1.0,-14.4
