Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus disponibles par unité de consommation et composition du revenu disponible - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 23/01/2020       Géographie au 01/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nbre de ménages fiscaux,Nbre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,1er quartile (€),Médiane (€),3e quartile (€),Écart interquartile (€),1er décile (€),2e décile (€),3e décile (€),4e décile (€),6e décile (€),7e décile (€),8e décile (€),9e décile (€),Rapport interdécile 9e décile/1er decile,S80/20,Indice de Gini,Part des revenus d’activité (%),dont part des salaires et traitements(%),dont part des indemnités de chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des revenus du patrimoine et autres revenus (%),Part de l'ensemble des prestations sociales (%),dont part des prestations familiales (%),dont part des minima sociaux (%),dont part des prestations logement (%),Part des impôts (%)
CODGEO,LIBGEO,NBMEN17,NBPERS17,NBUC17,Q117,Q217,Q317,Q3_Q1,D117,D217,D317,D417,D617,D717,D817,D917,RD,S80S2017,GI17,PACT17,PTSA17,PCHO17,PBEN17,PPEN17,PPAT17,PPSOC17,PPFAM17,PPMINI17,PPLOGT17,PIMPOT17
0404,Le Sud,115691,315870,202214.8,10250,14440,22130,11880,7870,9590,10960,12520,16850,20070,24810,33100,4.2,5.247,0.336,70.7,57.1,5.8,7.8,16.7,6.9,17.5,4.5,9.4,3.5,-11.8
1101,Paris,2577135,5814050,3987246.6,15600,24450,37230,21630,10460,13940,17280,20720,28710,33960,41240,55070,5.3,7.189,0.386,88.0,78.6,3.1,6.4,20.0,13.1,3.8,1.4,1.4,1.0,-24.9
1102,Marne-la-Vallée,132516,342502,223451.7,16670,23470,31320,14650,11760,15170,18080,20790,26260,29460,33570,40720,3.5,4.164,0.274,88.6,81.9,3.1,3.6,18.6,6.8,4.8,2.3,1.4,1.1,-18.8
1103,Coulommiers,26805,67544,44686.0,16600,21850,27570,10970,12250,15350,17760,19840,23900,26170,29330,34990,2.9,3.457,0.240,76.2,68.6,3.2,4.4,26.0,8.0,5.3,2.6,1.6,1.0,-15.5
1104,Meaux,59362,152043,99376.8,15890,21660,28030,12140,11390,14540,17120,19430,23990,26470,29840,35700,3.1,3.796,0.257,81.1,74.1,3.3,3.6,22.0,7.0,6.0,2.9,1.8,1.4,-16.1
1105,Melun,154737,392923,258518.0,16730,22820,29990,13260,12080,15330,18010,20440,25320,28220,32110,39040,3.2,3.977,0.269,80.1,73.3,2.9,3.8,24.7,8.1,5.2,2.5,1.5,1.2,-18.1
1106,Montereau-Fault-Yonne,17323,44638,29165.5,13740,19230,25280,11540,9930,12550,14910,17090,21390,23840,26890,32290,3.3,3.738,0.253,70.5,64.4,3.4,2.7,28.5,6.0,9.0,3.7,3.1,2.1,-14.0
1107,Nemours,19882,48333,32419.5,15760,21100,27180,11430,11560,14600,16920,19090,23310,25840,29060,34950,3.0,3.663,0.252,72.1,64.6,3.1,4.4,29.6,8.3,5.7,2.5,1.9,1.3,-15.7
1108,Provins,17547,42903,28689.5,15330,20450,26490,11160,11340,14210,16470,18500,22570,24970,28260,33920,3.0,3.689,0.255,71.5,63.2,3.1,5.2,28.8,9.0,6.2,2.8,2.1,1.4,-15.5
1109,Houdan,15055,38518,25493.3,22120,29210,38560,16440,16460,20490,23680,26490,32250,36120,41500,51820,3.1,3.991,0.274,83.5,75.8,2.6,5.1,25.6,11.7,1.9,1.2,0.4,0.3,-22.7
