Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus disponibles par unité de consommation et composition du revenu disponible - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 25/04/2019      Découpage géographique au 01/01/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Sources : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nombre de ménages fiscaux,Nombre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,1er quartile,Médiane,3e quartile,Ecart interquartile,1er décile,2e décile,3e décile,4e décile,6e décile,7e décile,8e décile,9e décile,Rapport inter-décile 9e décile/1er decile,S80/20,Indice de Gini,"Part des salaires, traitements ou chômage",Part des revenus d'activités non salariées,"Part des pensions, retraites et rentes",Part des revenus du patrimoine et autres revenus,Part de l'ensemble des prestations sociales ,dont part des prestations familiales,dont part des minima sociaux,dont part des prestations logement,Part des impôts
CODGEO,LIBGEO,NBMEN13,NBPERS13,NBUC13,Q113,Q213,Q313,Q3_Q1,D113,D213,D313,D413,D613,D713,D813,D913,RD,S80S2013,GI13,PTSAC13,PBEN13,PPEN13,PPAT13,PPSOC13,PPFAM13,PPMINI13,PPLOGT13,PIMPOT13
1108,Provins,17137,42429.0,28197.7,15030.7,19861.3,25740.4,10709.7,10872.0,13871.4,16134.3,18078.4,21851.3,24162.0,27593.3,33833.0,3.1,3.8,0.3,66.1,7.7,27.5,9.5,5.6,2.8,1.5,1.3,-16.4
1109,Houdan,14207,37249.0,24440.2,21199.6,28354.8,37557.7,16358.1,15866.0,19540.5,22780.5,25513.7,31443.0,35385.3,40509.1,50046.7,3.2,4.0,0.3,77.3,6.0,24.9,13.3,2.0,1.4,0.3,0.3,-23.5
1110,Mantes-la-Jolie,63655,173611.0,111229.6,14684.6,20539.0,27300.7,12616.0,10381.4,13400.4,15909.5,18276.0,22988.0,25709.6,29262.8,35314.4,3.4,4.0,0.3,75.5,3.6,24.3,7.9,5.7,3.1,1.3,1.4,-17.0
1111,Poissy,94151,251148.0,161963.7,15917.9,22669.0,31703.9,15786.0,11254.1,14491.5,17236.7,19915.2,25812.8,29519.0,34395.2,42490.7,3.8,4.6,0.3,80.6,3.5,22.6,9.1,4.4,2.4,0.9,1.0,-20.2
1112,Rambouillet,28743,72636.5,48116.5,19768.4,26341.7,34492.0,14723.6,14722.1,18276.7,21087.8,23732.4,29172.0,32480.0,36985.0,44997.2,3.1,3.8,0.3,77.8,4.6,26.6,10.1,2.7,1.7,0.5,0.5,-21.8
1113,Plaisir,20470,54666.5,35341.0,18465.5,25515.3,33830.5,15365.0,13014.5,16878.0,19967.6,22776.0,28462.7,31919.0,36022.0,43578.7,3.3,4.0,0.3,82.8,3.5,21.7,9.2,3.3,2.0,0.6,0.7,-20.5
1114,Étampes,24144,61607.5,40399.9,15880.4,21500.0,27954.3,12073.9,11388.8,14637.8,17079.5,19294.0,23750.0,26371.9,29951.3,36149.0,3.2,3.8,0.3,74.0,5.2,25.2,8.8,4.8,2.6,1.1,1.0,-18.0
1115,Évry,125532,340157.0,217582.1,14459.0,20763.3,28288.8,13829.8,9971.1,13062.9,15766.0,18315.0,23441.3,26480.0,30410.0,36960.0,3.7,4.4,0.3,79.5,3.1,22.2,7.7,5.7,2.9,1.4,1.4,-18.2
1116,Saclay,456525,1160831.0,763240.0,18165.7,25648.5,35370.7,17205.0,12696.3,16545.0,19664.0,22590.0,28999.3,32980.6,38261.7,47740.8,3.8,4.7,0.3,80.1,3.6,23.8,11.6,3.2,1.8,0.6,0.7,-22.3
1117,Créteil,211420,556506.0,361415.8,16091.1,22494.9,30284.8,14193.7,11370.0,14665.0,17442.0,19991.9,25203.5,28386.0,32567.3,39403.2,3.5,4.1,0.3,78.7,3.9,23.5,9.1,4.5,2.4,1.1,1.1,-19.7
1118,Orly,195818,500045.0,327025.0,13369.3,19238.6,26752.7,13383.3,9328.7,12178.6,14527.1,16834.9,21801.2,24897.5,28907.0,35438.5,3.8,4.5,0.3,79.1,2.7,21.5,7.6,6.5,2.8,1.9,1.8,-17.4
1119,Cergy,146805,397117.5,255050.1,15901.5,22332.5,29900.9,13999.4,11147.1,14491.0,17252.7,19771.0,24978.3,28084.8,32055.0,38614.5,3.5,4.1,0.3,82.0,3.4,20.6,7.9,4.7,2.6,1.0,1.1,-18.6
2101,Charleville-Mézières,96491,222394.5,151905.2,13108.7,17951.0,23523.8,10415.2,9580.5,12098.8,14137.0,16072.0,19883.0,22162.0,25230.0,30637.0,3.2,3.8,0.3,62.0,5.5,30.4,8.9,7.4,2.7,2.5,2.1,-14.2
2102,Troyes,133802,302996.0,207870.5,14370.0,19143.5,25086.0,10716.0,10473.9,13229.0,15394.4,17291.0,21078.0,23524.0,27094.8,33973.3,3.2,4.0,0.3,59.9,10.0,29.4,11.1,6.1,2.5,1.8,1.8,-16.5
2103,Châlons-en-Champagne,43998,101726.0,69182.4,15143.1,20068.9,26116.8,10973.7,11154.4,13918.2,16196.8,18176.1,22076.4,24618.0,28102.0,35068.0,3.1,3.9,0.3,63.3,10.1,28.0,10.3,5.3,2.5,1.4,1.4,-17.0
2104,Épernay,46824,106660.0,73250.0,15598.1,20751.1,27973.3,12375.2,11531.7,14420.0,16667.8,18781.0,23022.1,25975.0,30364.8,39454.8,3.4,4.3,0.3,56.6,17.1,26.4,16.1,4.0,1.9,1.0,1.0,-20.2
2105,Reims,145462,330927.0,226375.9,14636.4,20017.3,27093.3,12456.9,10540.4,13452.0,15763.3,17933.6,22355.6,25239.4,29422.7,37292.4,3.5,4.4,0.3,65.8,9.6,26.1,11.0,5.7,2.4,1.6,1.7,-18.2
2106,Chaumont - Langres,49261,108203.5,75516.9,14741.0,19210.0,24483.3,9742.3,11032.0,13698.0,15711.7,17504.0,21022.2,23164.4,26220.5,31670.4,2.9,3.5,0.2,59.6,7.2,33.7,9.1,5.0,2.2,1.6,1.3,-14.6
2107,Vitry-le-François - Saint-Dizier,49146,112466.5,77122.8,13673.7,18174.0,23285.3,9611.7,10236.7,12658.0,14604.7,16419.4,19946.0,21970.5,24942.0,30335.2,3.0,3.6,0.3,58.8,6.9,32.6,9.2,6.6,2.6,2.2,1.8,-14.1
2201,Château-Thierry,27253,66581.5,44435.5,14834.0,19601.4,25406.0,10572.0,10939.5,13668.3,15830.4,17736.8,21613.6,23927.3,27292.7,33594.7,3.1,3.8,0.3,64.2,9.4,27.1,10.6,5.3,2.7,1.3,1.3,-16.6
2202,Tergnier,23537,55225.5,37371.6,12922.0,17671.3,22948.0,10026.0,9486.8,11970.0,13923.8,15769.2,19499.3,21675.5,24493.3,29572.0,3.1,3.7,0.3,61.2,5.0,31.9,7.4,8.0,3.1,2.7,2.2,-13.5
2203,La Thiérache,24370,57318.0,38763.8,12275.6,16686.0,21923.9,9648.3,9050.4,11286.7,13199.0,14972.9,18663.3,20696.0,23417.2,28293.3,3.1,3.8,0.3,55.3,7.5,31.3,9.7,9.0,3.4,3.2,2.4,-12.8
2204,Laon,40968,98048.0,65863.5,13622.7,18536.5,24234.4,10611.8,9983.0,12536.1,14632.0,16583.2,20461.9,22786.7,26043.3,32226.4,3.2,3.9,0.3,62.6,8.5,28.0,9.4,6.7,2.9,2.1,1.8,-15.2
2205,Saint-Quentin,57630,135654.0,91734.4,13041.4,17912.4,23612.4,10571.0,9494.8,12002.5,14070.4,16024.7,19848.0,22143.3,25432.0,31642.9,3.3,4.1,0.3,60.2,8.0,30.2,8.8,7.8,3.0,2.7,2.1,-15.0
2206,Soissons,38767,92687.5,62437.6,13961.4,18731.3,24329.0,10367.6,10335.6,12864.7,14989.0,16840.4,20620.8,22919.0,26056.1,32179.4,3.1,3.8,0.3,62.7,6.9,29.9,9.2,6.5,2.8,2.0,1.7,-15.2
2207,Beauvais,97928,249234.0,163856.0,15143.0,20155.0,25973.3,10830.3,11083.2,13958.7,16201.0,18240.0,22189.0,24551.0,27760.0,33371.8,3.0,3.6,0.2,70.6,5.9,25.4,8.0,5.8,2.8,1.6,1.3,-15.7
2208,Compiègne,80437,199322.0,132397.5,15292.3,20473.8,26890.0,11597.7,11288.8,14116.3,16418.7,18536.0,22666.2,25288.0,28884.0,35355.5,3.1,3.8,0.3,71.2,5.3,26.2,9.0,5.2,2.5,1.4,1.2,-16.9
2209,Abbeville,29278,69063.0,46807.8,13419.6,18163.2,23809.3,10389.8,9873.5,12340.0,14471.3,16328.5,20048.0,22411.5,25610.0,31925.3,3.2,4.0,0.3,57.8,8.7,31.7,10.1,6.7,2.6,2.3,1.7,-15.0
2210,Amiens,155501,368182.0,248518.5,14166.0,19276.3,25441.3,11275.3,10280.2,12992.0,15262.0,17289.0,21357.3,23858.1,27364.4,33818.5,3.3,4.0,0.3,65.8,7.5,27.3,9.3,6.4,2.6,2.1,1.7,-16.3
2211,Péronne,23290,56462.5,37859.8,13482.5,18010.4,23306.4,9823.9,10052.2,12418.3,14453.5,16211.5,19851.5,21975.0,25072.0,30753.3,3.1,3.8,0.3,59.9,8.9,29.4,9.8,6.8,2.9,2.2,1.7,-14.8
2301,Bernay,25103,57779.0,39501.2,14696.0,19545.6,25132.7,10436.7,10799.3,13587.0,15713.8,17692.0,21414.4,23673.5,26820.0,32852.7,3.0,3.7,0.3,59.3,6.6,32.6,10.7,5.6,2.5,1.7,1.4,-14.8
2302,Évreux,88918,216460.5,144452.2,15325.6,20336.2,26354.7,11029.1,11200.6,14146.5,16390.0,18450.8,22392.0,24829.0,28218.0,34298.0,3.1,3.7,0.3,67.9,5.6,27.6,9.3,5.5,2.6,1.5,1.4,-15.9
2303,Pont-Audemer,22025,52565.5,35332.9,14800.0,19500.0,25296.2,10496.2,11218.7,13706.1,15846.7,17674.8,21487.0,23872.9,27063.5,33097.1,3.0,3.6,0.3,64.6,6.2,28.2,10.1,5.7,2.6,1.6,1.4,-14.8
2304,Vernon - Gisors,49005,122941.5,81256.6,15459.5,20434.8,26730.7,11271.2,11328.3,14267.5,16512.0,18561.7,22518.5,25092.0,28718.0,35128.1,3.1,3.8,0.3,69.6,5.3,26.8,9.3,5.2,2.7,1.3,1.2,-16.2
2305,Dieppe - Caux maritime,52570,122414.0,83377.3,14570.4,19146.2,24740.8,10170.4,10954.3,13513.3,15509.5,17350.5,20985.9,23258.0,26606.7,32833.3,3.0,3.6,0.3,61.4,6.6,31.2,9.4,6.0,2.5,2.0,1.6,-14.6
2306,Le Havre,167585,394567.5,266692.6,14704.0,19749.3,26039.0,11335.0,10850.7,13556.0,15741.7,17778.0,21846.0,24447.9,27986.1,34091.3,3.1,3.8,0.3,67.0,4.7,28.6,8.8,6.5,2.7,2.0,1.8,-15.6
2307,Rouen,340442,796762.0,539767.3,15021.7,20178.6,26490.0,11468.3,10913.2,13819.5,16122.4,18195.2,22281.5,24880.5,28468.6,34913.3,3.2,3.9,0.3,68.3,5.2,27.8,9.0,5.8,2.4,1.7,1.6,-16.1
2401,Bourges,86943,192086.0,133389.8,15091.1,19968.7,25982.0,10890.9,11015.2,13938.0,16150.0,18106.4,21953.8,24419.5,27861.0,33955.6,3.1,3.7,0.3,62.1,6.2,32.4,9.9,5.2,2.1,1.7,1.4,-15.8
2402,Saint-Amand-Montrond,17131,35367.0,25341.2,13585.3,18097.0,23054.0,9468.7,9940.0,12582.0,14632.5,16376.0,19854.0,21857.3,24610.7,30020.7,3.0,3.7,0.3,48.4,6.9,41.1,10.7,6.2,2.0,2.5,1.7,-13.3
2403,Vierzon,20962,45655.5,31907.3,13910.7,18428.0,23493.3,9582.7,9958.8,12813.0,14897.3,16730.0,20108.7,22204.3,25123.3,30373.3,3.0,3.7,0.3,56.5,4.8,37.4,8.9,6.5,2.3,2.5,1.8,-14.1
2404,Chartres,103618,248057.5,166693.4,16277.2,21252.4,27487.6,11210.4,12136.7,15138.0,17358.7,19370.0,23314.6,25869.4,29417.5,35809.0,3.0,3.6,0.3,68.6,6.5,27.2,10.3,4.3,2.4,1.0,1.0,-16.9
2405,Châteaudun,16144,36305.0,25024.7,14915.0,19549.3,24888.5,9973.5,11044.0,13764.0,15882.7,17744.0,21297.0,23477.3,26727.7,33060.7,3.0,3.6,0.3,54.3,8.5,35.4,12.1,5.0,2.4,1.4,1.3,-15.3
2406,Dreux,43915,113884.0,74244.6,14925.0,20150.0,26309.3,11384.3,10731.3,13650.7,16039.0,18172.2,22268.3,24812.7,28190.5,34342.5,3.2,3.9,0.3,68.8,5.5,26.8,9.2,5.8,3.1,1.4,1.3,-16.1
2407,Le Blanc,10213,21364.0,15226.7,14020.7,18218.3,23062.7,9042.0,10547.0,12975.3,14887.0,16521.0,19917.3,21795.2,24826.3,30458.0,2.9,3.5,0.2,48.7,7.7,40.6,10.8,5.3,2.0,1.9,1.5,-13.1
2408,Issoudun,9348,20074.0,14118.8,15118.0,19420.5,24713.0,9595.0,11228.0,14054.0,16029.2,17692.0,21136.0,23307.3,26566.0,31900.0,2.8,3.5,0.2,58.9,7.7,32.7,10.7,5.3,2.0,1.8,1.5,-15.3
2409,Châteauroux,79587,169934.5,119769.0,14490.6,18957.8,24189.2,9698.7,10846.8,13445.7,15461.4,17237.2,20723.3,22833.3,25926.7,31675.3,2.9,3.6,0.3,56.5,6.7,35.6,10.4,5.3,2.1,1.8,1.5,-14.5
