Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 25/04/2019       Géographie au 01/01/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nbre de ménages fiscaux,Nbre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,Part des ménages fiscaux imposés (%),1er quartile (€),Médiane (€),3e quartile (€),Écart interquartile (€),1er décile (€),2e décile (€),3e décile  (€),4e décile (€) ,6e décile (€),7e décile (€),8e décile (€) ,9e décile (€),Rapport interdécile D9/D1,S80/S20,Indice de Gini,Part des revenus d’activité (%),dont part des salaires et traitements hors chômage (%),dont part des indemnités chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des autres revenus (%)
CODGEO,LIBGEO,NBMEN15,NBPERS15,NBUC15,PMIMP15,Q115,Q215,Q315,Q3_Q1,D115,D215,D315,D415,D615,D715,D815,D915,RD,S80S2015,GI15,PACT15,PTSA15,PCHO15,PBEN15,PPEN15,PAUT15
2511,Argentan,18055.0,40030.5,27792.7,47.8,12918.0,18580.0,24684.0,11766.0,6986.0,11296.0,14268.0,16490.0,20700.0,23226.0,26514.0,32420.0,4.6,6.0,0.3,60.2,51.3,3.0,5.9,35.1,4.7
2512,Flers,42612.0,94700.5,65738.1,47.0,13098.0,18426.0,24270.0,11172.0,7486.0,11640.0,14352.0,16472.0,20474.0,22834.0,26048.0,31978.0,4.3,5.7,0.3,60.1,51.2,3.0,5.8,34.7,5.2
2513,L'Aigle,14133.0,31704.5,21907.0,48.4,12284.0,18214.0,24864.0,12580.0,6418.0,10738.0,13730.0,16048.0,20472.0,23226.0,26752.0,32862.0,5.1,6.8,0.3,59.8,51.0,3.0,5.8,35.1,5.1
2601,Beaune,21595.0,48908.5,33747.3,59.9,15392.0,21836.0,29790.0,14398.0,9678.0,13822.0,16750.0,19298.0,24426.0,27818.0,32624.0,42820.0,4.4,6.2,0.3,64.7,53.5,2.4,8.7,26.5,8.8
2602,Chatillon,8144.0,17221.5,12227.6,49.4,12922.0,18452.0,24744.0,11822.0,7048.0,11462.0,14196.0,16384.0,20710.0,23228.0,26786.0,33092.0,4.7,6.1,0.3,56.2,46.3,3.0,6.9,37.5,6.3
2603,Dijon,181478.0,403542.0,279312.1,59.7,14978.0,21678.0,29544.0,14566.0,8736.0,13276.0,16458.0,19130.0,24368.0,27546.0,32012.0,40050.0,4.6,6.1,0.3,66.7,58.7,2.6,5.4,28.4,4.9
2604,Montbard,14199.0,30574.0,21510.3,51.8,13912.0,19432.0,25950.0,12038.0,8410.0,12444.0,15102.0,17218.0,21638.0,24256.0,27966.0,34110.0,4.1,5.4,0.3,60.9,53.0,2.6,5.3,34.2,4.9
2605,Le Morvan,16274.0,31867.0,23365.1,45.8,12226.0,17840.0,24624.0,12398.0,6806.0,10804.0,13508.0,15672.0,20298.0,23068.0,26692.0,33036.0,4.9,6.2,0.3,45.6,36.1,2.6,6.9,48.1,6.3
2606,Nevers,54409.0,114452.5,81120.7,51.4,13038.0,19448.0,26160.0,13122.0,6316.0,11252.0,14526.0,17108.0,21788.0,24488.0,28144.0,34560.0,5.5,7.2,0.3,59.5,51.9,2.6,5.0,36.4,4.1
2607,Autun,14959.0,31783.0,22511.4,48.2,12970.0,18520.0,25026.0,12056.0,7616.0,11520.0,14216.0,16520.0,20650.0,23344.0,26914.0,33556.0,4.4,5.7,0.3,57.9,48.2,3.0,6.7,37.9,4.2
2608,Chalon-sur-Saône,85531.0,192490.5,132810.9,54.4,14050.0,20134.0,27140.0,13090.0,8270.0,12480.0,15390.0,17812.0,22540.0,25358.0,29338.0,36662.0,4.4,5.9,0.3,64.6,56.2,2.9,5.5,30.9,4.5
2609,Louhans,16589.0,36120.5,25325.0,48.6,13414.0,18866.0,24890.0,11476.0,8148.0,12018.0,14594.0,16810.0,21046.0,23420.0,26724.0,32418.0,4.0,5.2,0.3,58.8,50.7,2.8,5.2,37.2,4.0
2610,Le Creusot - Montceau,45494.0,97937.5,68853.0,48.7,12888.0,18774.0,25242.0,12354.0,7128.0,11414.0,14220.0,16600.0,21018.0,23660.0,27100.0,33380.0,4.7,6.1,0.3,59.5,52.1,3.2,4.2,37.0,3.5
2611,Le Charolais,37688.0,81146.5,57195.3,48.5,13774.0,18774.0,24804.0,11030.0,8646.0,12470.0,14846.0,16858.0,20878.0,23366.0,26682.0,32898.0,3.8,5.0,0.3,57.6,48.5,2.7,6.4,37.1,5.3
2612,Auxerre,90827.0,200600.5,139381.3,53.4,13230.0,19508.0,26598.0,13368.0,7060.0,11508.0,14660.0,17172.0,21944.0,24820.0,28738.0,35724.0,5.1,6.7,0.3,60.6,51.6,2.8,6.1,34.3,5.1
2613,Avallon,10410.0,22308.0,15721.9,50.8,13168.0,18868.0,25286.0,12118.0,7482.0,11540.0,14452.0,16730.0,21140.0,23750.0,27452.0,34076.0,4.6,6.1,0.3,57.6,48.4,2.6,6.7,36.6,5.8
2614,Sens,46888.0,109533.0,74315.4,55.0,13448.0,19863.0,26772.0,13324.0,7586.0,11776.0,14930.0,17518.0,22240.0,25078.0,28830.0,35604.0,4.7,6.2,0.3,64.1,55.9,3.2,5.0,31.4,4.5
3110,Roubaix - Tourcoing,165709.0,422023.0,276121.4,47.3,9736.0,17692.0,25908.0,16172.0,3356.0,7962.0,11524.0,14766.0,20588.0,23896.0,28430.0,36512.0,10.9,13.4,0.4,70.5,62.3,4.0,4.2,24.0,5.5
3111,Lille,323358.0,754602.5,510922.3,55.8,12768.0,20846.0,30272.0,17504.0,5836.0,10676.0,14592.0,17808.0,24056.0,27910.0,33145.0,42558.0,7.3,9.8,0.4,73.0,64.7,3.1,5.2,22.1,4.9
3112,Dunkerque,103718.0,248646.0,167394.3,49.6,11905.0,18586.0,25914.0,14009.0,6190.0,10300.0,13358.0,16038.0,21180.0,24118.0,27998.0,35052.0,5.7,7.5,0.3,67.6,59.5,3.8,4.4,28.5,3.9
3113,La Flandre - Lys,49145.0,123951.5,82033.5,52.2,14114.0,20068.0,26854.0,12740.0,8608.0,12588.0,15388.0,17824.0,22474.0,25210.0,29022.0,35544.0,4.1,5.4,0.3,69.1,60.8,3.1,5.3,25.6,5.3
3114,Douai,98045.0,243563.5,161677.4,44.8,10868.0,17724.0,25308.0,14440.0,4886.0,9188.0,12440.0,15164.0,20406.0,23464.0,27412.0,34120.0,7.0,9.0,0.4,68.4,60.8,3.5,4.1,28.3,3.3
3115,Valenciennes,139881.0,343802.0,228470.4,42.1,9406.0,16420.0,24012.0,14606.0,3294.0,7756.0,10938.0,13802.0,19108.0,22196.0,26152.0,32808.0,10.0,11.8,0.4,68.1,59.8,3.9,4.4,27.8,4.1
3116,Cambrai,73120.0,176201.0,118284.1,45.4,11274.0,17698.0,24766.0,13492.0,5452.0,9614.0,12766.0,15316.0,20152.0,23012.0,26864.0,33680.0,6.2,8.3,0.4,66.6,56.5,3.8,6.3,28.9,4.5
3117,Maubeuge,92032.0,223039.5,149144.4,42.7,9364.0,16478.0,23972.0,14608.0,3032.0,7704.0,10940.0,13836.0,19166.0,22182.0,26022.0,32656.0,10.8,12.2,0.4,65.2,55.9,3.9,5.5,30.0,4.8
3121,Arras,99019.0,238297.0,160224.6,52.3,13068.0,19744.0,27402.0,14334.0,7080.0,11332.0,14544.0,17236.0,22388.0,25526.0,29678.0,37218.0,5.3,7.1,0.3,68.3,59.0,2.8,6.5,27.0,4.7
3122,Lens - Hénin,145479.0,360369.0,238868.6,38.2,9002.0,15660.0,22300.0,13298.0,3480.0,7548.0,10416.0,13162.0,18108.0,20766.0,24130.0,29670.0,8.5,10.2,0.4,68.1,60.5,4.2,3.4,29.6,2.3
3123,Béthune - Bruay,118297.0,290055.5,193420.5,43.9,11194.0,17752.0,24746.0,13552.0,5464.0,9592.0,12714.0,15296.0,20250.0,23050.0,26758.0,33212.0,6.1,8.2,0.4,68.1,60.2,3.3,4.6,28.3,3.6
3124,Saint-Omer,47086.0,116229.5,77401.2,45.7,11412.0,17770.0,24336.0,12924.0,5900.0,9824.0,12858.0,15402.0,20172.0,22804.0,26236.0,32522.0,5.5,7.5,0.3,68.1,59.5,3.5,5.2,27.3,4.6
3125,Calais,66232.0,164378.0,108866.2,45.1,10570.0,17356.0,24570.0,14000.0,4414.0,8952.0,12114.0,14810.0,19926.0,22834.0,26572.0,32978.0,7.5,9.3,0.4,69.3,60.3,4.1,4.9,26.8,3.9
3126,Boulogne-sur-mer,66479.0,159086.5,107182.7,45.3,10872.0,17492.0,24772.0,13900.0,5148.0,9212.0,12340.0,14994.0,20048.0,22994.0,26998.0,34236.0,6.7,9.0,0.4,65.9,56.5,3.7,5.6,29.3,4.8
3127,Berck - Montreuil,45465.0,105014.5,71814.5,48.9,12264.0,18438.0,25650.0,13386.0,6840.0,10716.0,13648.0,16140.0,20878.0,23828.0,27898.0,35714.0,5.2,7.4,0.4,59.7,49.9,3.1,6.6,33.4,6.9
4101,Longwy,45303.0,103706.0,70969.7,34.0,13200.0,20332.0,29034.0,15834.0,6532.0,11518.0,14684.0,17508.0,23378.0,26966.0,31588.0,39312.0,6.0,7.6,0.3,35.3,29.2,2.9,3.2,22.2,42.5
4102,Lunéville,13914.0,31800.5,21751.5,46.3,12042.0,18616.0,25222.0,13180.0,5658.0,10256.0,13644.0,16268.0,20992.0,23628.0,27114.0,33352.0,5.9,7.8,0.3,64.0,56.0,3.4,4.6,31.9,4.1
4103,Nancy,214045.0,479543.5,330983.3,55.8,13900.0,20988.0,29030.0,15130.0,7048.0,12024.0,15518.0,18338.0,23760.0,27032.0,31498.0,39516.0,5.6,7.4,0.3,67.7,59.8,2.8,5.1,27.9,4.4
4104,Bar-le-Duc,26162.0,58140.5,40450.3,53.3,13958.0,19912.0,26594.0,12636.0,7992.0,12304.0,15298.0,17684.0,22272.0,24934.0,28554.0,34818.0,4.4,5.8,0.3,62.7,54.9,2.8,5.0,33.1,4.2
4105,Commercy,18325.0,42713.5,29090.2,47.1,12590.0,18428.0,24860.0,12270.0,7200.0,11118.0,13868.0,16148.0,20720.0,23302.0,26750.0,33050.0,4.6,6.0,0.3,63.6,53.4,3.2,7.0,31.5,4.9
4106,Verdun,26227.0,59120.5,40784.2,48.3,12710.0,18912.0,25670.0,12960.0,6806.0,11114.0,14118.0,16618.0,21260.0,23948.0,27646.0,34160.0,5.0,6.7,0.3,62.7,53.2,2.7,6.8,31.3,6.0
4107,Metz,211349.0,486078.0,332664.6,51.2,13686.0,20658.0,28914.0,15228.0,7298.0,11908.0,15184.0,17946.0,23506.0,26878.0,31446.0,39450.0,5.4,7.2,0.3,61.9,54.3,3.2,4.4,26.0,12.1
4108,Forbach,89813.0,210455.0,143668.5,46.4,11786.0,18224.0,25568.0,13782.0,5820.0,10032.0,13258.0,15864.0,20832.0,23804.0,27726.0,34612.0,5.9,7.8,0.3,63.1,55.5,3.9,3.7,32.7,4.2
4109,Sarrebourg,29823.0,69979.0,47774.6,50.9,13936.0,19654.0,26244.0,12308.0,8526.0,12478.0,15234.0,17492.0,21986.0,24690.0,28184.0,34188.0,4.0,5.3,0.3,66.0,58.6,2.8,4.6,29.9,4.1
4110,Sarreguemines,46422.0,108863.0,74428.6,51.5,14256.0,20476.0,27978.0,13722.0,8228.0,12620.0,15608.0,18044.0,23044.0,26138.0,30246.0,37504.0,4.6,6.1,0.3,68.1,60.9,3.4,3.9,27.4,4.5
4111,Thionville,91234.0,212534.0,144577.2,40.0,14260.0,21670.0,31088.0,16828.0,7720.0,12494.0,15784.0,18708.0,24942.0,28756.0,33890.0,42718.0,5.5,7.1,0.3,38.7,33.1,2.8,2.9,22.3,39.0
4112,Épinal,69682.0,156911.0,108166.3,49.1,12600.0,18886.0,25816.0,13216.0,6214.0,10878.0,14102.0,16604.0,21270.0,24152.0,27854.0,34626.0,5.6,7.3,0.3,65.0,56.7,3.5,4.9,30.8,4.2
4113,Remiremont,37359.0,81680.5,57183.3,48.4,13716.0,18994.0,25226.0,11510.0,8206.0,12242.0,14910.0,16974.0,21108.0,23658.0,27232.0,33494.0,4.1,5.5,0.3,60.4,52.6,3.6,4.2,34.2,5.4
4114,Saint-Dié-des-Vosges,38030.0,83744.5,58330.3,45.7,12264.0,18280.0,24586.0,12322.0,6328.0,10666.0,13692.0,16118.0,20464.0,23006.0,26406.0,32438.0,5.1,6.8,0.3,61.8,53.0,4.3,4.5,34.2,4.0
4115,Neufchâteau,22545.0,49845.0,34752.6,49.4,13058.0,18932.0,25756.0,12698.0,7552.0,11544.0,14346.0,16690.0,21286.0,24098.0,27832.0,34086.0,4.5,5.9,0.3,61.4,52.7,3.2,5.5,34.2,4.4
4201,Haguenau,81298.0,199735.5,134187.4,60.5,16156.0,22448.0,29884.0,13728.0,10318.0,14648.0,17506.0,20044.0,25018.0,28036.0,32096.0,39182.0,3.8,4.9,0.3,71.2,64.7,2.9,3.6,24.8,4.0
4202,Molsheim - Obernai,55935.0,135092.0,91242.7,63.2,16606.0,23068.0,30936.0,14330.0,11052.0,15160.0,17962.0,20540.0,25742.0,28972.0,33364.0,41298.0,3.7,4.8,0.3,69.3,62.4,2.6,4.3,25.3,5.4
4203,Saverne,31761.0,77221.5,52108.8,56.1,15156.0,21272.0,28332.0,13176.0,9798.0,13730.0,16476.0,18872.0,23728.0,26640.0,30428.0,37190.0,3.8,4.9,0.3,68.1,61.3,2.7,4.2,27.7,4.2
4204,Sélestat,35191.0,85318.5,57425.9,57.9,15298.0,21520.0,28826.0,13528.0,9360.0,13688.0,16696.0,19230.0,24000.0,27006.0,31156.0,38406.0,4.1,5.3,0.3,70.0,62.9,2.9,4.3,24.9,5.1
4205,Strasbourg,239215.0,545447.5,373631.7,57.9,12424.0,21014.0,30446.0,18022.0,5606.0,10318.0,14364.0,17838.0,24258.0,28082.0,33306.0,42866.0,7.6,10.3,0.4,69.3,61.2,3.1,5.0,25.1,5.6
4206,Wissembourg,16558.0,39871.0,27060.3,60.5,16572.0,23451.0,32272.0,15700.0,10970.0,15048.0,17982.0,20704.0,26446.0,30124.0,34790.0,42970.0,3.9,5.0,0.3,75.9,70.3,2.6,3.0,20.3,3.8
4207,Colmar,82852.0,190597.0,130689.9,60.7,15074.0,22098.0,30142.0,15068.0,8686.0,13368.0,16630.0,19482.0,24870.0,28174.0,32704.0,41414.0,4.8,6.4,0.3,67.8,60.0,2.7,5.1,26.8,5.4
4208,Mulhouse,177669.0,421234.0,284839.4,56.8,13314.0,20982.0,29912.0,16598.0,6602.0,11326.0,15046.0,18106.0,24020.0,27676.0,32642.0,41864.0,6.3,8.3,0.4,69.3,62.4,3.4,3.6,26.7,4.0
4209,Saint-Louis,50566.0,120336.5,81442.1,70.4,18850.0,29656.0,44692.0,25842.0,11060.0,16644.0,20924.0,25060.0,34812.0,40846.0,49202.0,64048.0,5.8,7.6,0.4,77.1,72.5,2.6,1.9,20.0,2.9
4301,Besançon,128693.0,292516.0,200173.8,55.4,14277.0,20742.0,28442.0,14165.0,7902.0,12558.0,15720.0,18314.0,23360.0,26484.0,30810.0,38562.0,4.9,6.5,0.3,68.5,60.4,2.8,5.3,26.9,4.6
4302,Belfort - Montbéliard - Héricourt,157271.0,362096.0,247233.4,52.7,13054.0,19824.0,27364.0,14310.0,6926.0,11268.0,14570.0,17272.0,22440.0,25476.0,29618.0,36858.0,5.3,6.9,0.3,67.3,59.9,3.6,3.8,29.4,3.3
4303,Morteau,20408.0,48566.5,32654.2,71.2,19614.0,29286.0,42518.0,22904.0,13456.0,17712.0,21380.0,25142.0,34018.0,39416.0,46010.0,55872.0,4.2,5.1,0.3,81.3,75.0,3.1,3.2,15.7,3.0
4304,Pontarlier,27584.0,65175.0,43915.6,66.7,17820.0,25894.0,37798.0,19978.0,11826.0,16036.0,19417.0,22524.0,29970.0,34728.0,41376.0,51434.0,4.3,5.3,0.3,79.1,71.9,2.9,4.3,17.1,3.8
4305,Dole,30804.0,69697.0,47917.9,52.6,13912.0,19942.0,26724.0,12812.0,7938.0,12196.0,15270.0,17712.0,22314.0,25062.0,28654.0,35222.0,4.4,5.9,0.3,63.0,55.6,2.7,4.6,33.1,3.9
4306,Lons-le-Saunier,53625.0,116722.0,81708.6,52.8,14214.0,20034.0,26876.0,12662.0,8994.0,12808.0,15446.0,17776.0,22384.0,25142.0,29006.0,35662.0,4.0,5.3,0.3,62.3,54.4,2.7,5.3,33.2,4.5
4307,Saint-Claude,23009.0,53866.5,36584.1,59.8,15190.0,22294.0,32082.0,16892.0,9298.0,13556.0,16690.0,19556.0,25586.0,29638.0,35294.0,45230.0,4.9,6.0,0.3,73.2,66.5,3.4,3.4,23.2,3.6
4308,Gray,11944.0,26847.0,18548.2,47.7,12642.0,18298.0,24644.0,12002.0,6922.0,11022.0,13926.0,16212.0,20502.0,23042.0,26646.0,33130.0,4.8,6.4,0.3,60.5,51.3,2.9,6.3,34.4,5.1
4309,Vesoul,50998.0,114014.0,78902.4,48.2,12784.0,18690.0,25128.0,12344.0,7378.0,11268.0,14176.0,16520.0,20930.0,23560.0,27032.0,33076.0,4.5,6.0,0.3,62.5,54.5,2.9,5.0,33.5,4.0
5201,Ancenis,15812.0,39639.5,26098.1,48.5,14286.0,19156.0,24800.0,10514.0,9514.0,13006.0,15410.0,17366.0,21186.0,23436.0,26304.0,31788.0,3.3,4.3,0.3,69.8,62.4,3.0,4.3,25.7,4.5
5202,Châteaubriant,15233.0,36157.5,24425.2,42.9,12534.0,17692.0,23002.0,10468.0,7112.0,11088.0,13782.0,15790.0,19440.0,21764.0,24648.0,30292.0,4.3,5.7,0.3,65.3,54.7,3.4,7.2,29.6,5.1
5203,Nantes,442671.0,1044512.0,704084.5,57.2,15322.0,21544.0,29242.0,13920.0,9282.0,13760.0,16710.0,19154.0,24128.0,27282.0,31632.0,39480.0,4.3,5.6,0.3,72.3,64.6,3.1,4.5,23.0,4.7
5204,Saint-Nazaire,135201.0,303276.0,209190.6,55.6,14946.0,20772.0,27954.0,13008.0,9450.0,13500.0,16224.0,18544.0,23188.0,26138.0,30198.0,37666.0,4.0,5.3,0.3,60.2,52.6,3.1,4.5,34.0,5.8
5205,Angers,190734.0,447864.0,302829.1,51.9,14176.0,20064.0,27098.0,12922.0,8088.0,12588.0,15510.0,17836.0,22430.0,25274.0,29272.0,36806.0,4.6,6.1,0.3,68.0,59.5,3.2,5.3,27.6,4.4
5206,Cholet,84542.0,208125.0,138397.8,48.7,14618.0,19270.0,24932.0,10314.0,9696.0,13382.0,15666.0,17506.0,21166.0,23518.0,26684.0,32542.0,3.4,4.4,0.3,69.5,61.1,3.1,5.3,26.0,4.5
5207,Saumur,42096.0,97126.0,66340.1,45.9,13064.0,18264.0,24570.0,11506.0,7790.0,11656.0,14212.0,16362.0,20510.0,23000.0,26514.0,33220.0,4.3,5.7,0.3,61.7,52.0,3.5,6.2,33.3,5.0
5208,Segré,21400.0,51468.5,34536.2,43.6,13452.0,18024.0,23298.0,9846.0,8516.0,12202.0,14476.0,16288.0,19798.0,21950.0,24992.0,30202.0,3.5,4.6,0.3,65.9,56.1,3.1,6.6,29.5,4.6
5209,Laval,92378.0,219623.0,147906.0,50.9,14250.0,19424.0,25630.0,11380.0,8910.0,12912.0,15386.0,17458.0,21526.0,24062.0,27596.0,33960.0,3.8,5.1,0.3,66.8,58.7,2.6,5.5,28.3,4.9
5210,La Mayenne,22387.0,51525.5,35270.3,49.7,14062.0,18958.0,24744.0,10682.0,8952.0,12798.0,15190.0,17156.0,21018.0,23268.0,26446.0,32092.0,3.6,4.8,0.3,63.6,54.3,2.9,6.4,30.5,5.9
5211,La Ferté-Bernard,14942.0,33943.5,23337.4,53.1,14430.0,19520.0,25280.0,10850.0,8964.0,13030.0,15632.0,17574.0,21488.0,23868.0,27082.0,32684.0,3.6,4.8,0.3,63.2,55.6,3.0,4.6,32.0,4.8
5212,La Flèche,23283.0,51681.5,35918.5,47.4,13308.0,18560.0,24450.0,11142.0,7822.0,11770.0,14498.0,16594.0,20548.0,22988.0,26268.0,32568.0,4.2,5.6,0.3,58.7,50.4,3.3,5.0,36.7,4.6
5213,Le Mans,179745.0,414729.5,282497.3,53.2,13906.0,19944.0,26612.0,12706.0,7464.0,12234.0,15310.0,17730.0,22272.0,24990.0,28670.0,35284.0,4.7,6.3,0.3,65.5,58.1,3.0,4.4,30.5,4.0
5214,Sablé-sur-Sarthe,15076.0,36635.0,24469.1,50.1,13630.0,18862.0,24588.0,10958.0,8242.0,12150.0,14826.0,16936.0,20856.0,23098.0,26278.0,31997.0,3.9,5.3,0.3,67.2,59.3,3.1,4.8,27.1,5.7
5215,Challans,60490.0,131277.5,92223.8,53.6,14732.0,19944.0,26638.0,11906.0,9990.0,13529.0,15878.0,17924.0,22230.0,24944.0,28732.0,35708.0,3.6,4.7,0.3,52.9,44.1,3.1,5.7,40.1,7.0
5216,Fontenay-le-Comte,29192.0,67618.5,46178.2,46.3,13400.0,18524.0,24332.0,10932.0,8350.0,12060.0,14546.0,16600.0,20516.0,22930.0,26230.0,32352.0,3.9,5.1,0.3,62.0,52.6,3.1,6.4,33.2,4.8
5217,Les Herbiers,24324.0,60161.0,39926.7,50.3,15036.0,19394.0,24646.0,9610.0,10600.0,13912.0,16050.0,17756.0,21176.0,23370.0,26210.0,31356.0,3.0,3.8,0.3,71.8,63.6,2.9,5.2,24.0,4.2
5218,La Roche-sur-Yon,106353.0,250705.5,169464.4,51.3,14500.0,19716.0,25734.0,11234.0,9296.0,13152.0,15646.0,17742.0,21768.0,24218.0,27572.0,33738.0,3.6,4.8,0.3,65.7,57.5,3.1,5.2,29.5,4.8
5219,Les Sables-d'Olonne,34579.0,70953.5,51099.6,58.1,15380.0,21336.0,29132.0,13752.0,10190.0,13952.0,16594.0,18998.0,23954.0,27126.0,31638.0,39584.0,3.9,5.3,0.3,48.2,39.8,3.0,5.4,45.0,6.8
5301,Dinan,42250.0,93378.5,64914.6,54.0,14804.0,20634.0,28262.0,13458.0,9454.0,13356.0,16076.0,18364.0,23188.0,26296.0,30642.0,38700.0,4.1,5.4,0.3,58.2,49.2,3.1,5.8,36.0,5.8
5302,Guingamp,22908.0,50353.0,34989.4,45.6,12828.0,18426.0,24466.0,11638.0,7474.0,11428.0,14152.0,16370.0,20562.0,22982.0,26294.0,32208.0,4.3,5.7,0.3,60.3,50.5,3.1,6.7,35.3,4.4
5303,Lannion,42195.0,90453.5,63706.2,54.5,14534.0,20670.0,28512.0,13978.0,8954.0,13088.0,15852.0,18234.0,23314.0,26460.0,30926.0,38314.0,4.3,5.5,0.3,54.5,45.4,2.9,6.2,40.3,5.2
5304,Loudéac,15931.0,36402.5,24972.4,48.7,13536.0,18752.0,24470.0,10934.0,8192.0,12130.0,14696.0,16778.0,20802.0,23104.0,26366.0,31866.0,3.9,5.1,0.3,62.4,51.3,2.7,8.4,32.9,4.7
5305,Saint-Brieuc,137077.0,306488.5,211798.2,52.7,14396.0,20076.0,26944.0,12548.0,9030.0,12972.0,15670.0,17906.0,22392.0,25202.0,29072.0,36068.0,4.0,5.3,0.3,60.9,51.3,2.9,6.7,34.2,4.9
5306,Brest,196503.0,442120.0,304202.3,54.0,14762.0,20592.0,27730.0,12968.0,9156.0,13326.0,16056.0,18354.0,22968.0,25912.0,29956.0,36934.0,4.0,5.3,0.3,65.6,56.9,3.2,5.6,30.2,4.2
5307,Carhaix-Plouguer,20396.0,42166.0,30164.6,45.1,12482.0,18072.0,24338.0,11856.0,6948.0,11116.0,13788.0,15966.0,20294.0,22812.0,26042.0,31950.0,4.6,5.8,0.3,55.6,44.1,3.0,8.5,39.8,4.6
5308,Morlaix,33294.0,72397.0,50587.3,51.6,14136.0,19764.0,26598.0,12462.0,8682.0,12722.0,15336.0,17570.0,22062.0,24932.0,28706.0,35568.0,4.1,5.5,0.3,59.2,48.0,3.2,8.0,35.8,5.0
5309,Quimper,146819.0,314233.0,221497.2,53.2,14670.0,20306.0,27346.0,12676.0,9332.0,13306.0,15926.0,18144.0,22694.0,25564.0,29548.0,36526.0,3.9,5.1,0.3,58.8,49.7,3.0,6.1,35.9,5.3
5310,Fougères,28903.0,66718.5,45482.3,47.2,14098.0,18818.0,24510.0,10412.0,8754.0,12678.0,15150.0,17038.0,20762.0,23054.0,26196.0,31962.0,3.7,4.9,0.3,65.5,56.7,2.8,5.9,30.0,4.5
5311,Redon,19389.0,44468.0,30462.2,48.4,13632.0,18986.0,24880.0,11248.0,8322.0,12236.0,14870.0,17010.0,21006.0,23420.0,26546.0,32396.0,3.9,5.0,0.3,62.8,54.8,3.4,4.6,32.9,4.3
5312,Rennes,324943.0,768131.5,517223.1,56.0,15022.0,21194.0,28710.0,13688.0,8898.0,13442.0,16426.0,18858.0,23742.0,26818.0,31036.0,38594.0,4.3,5.7,0.3,72.0,64.2,2.8,5.0,23.2,4.8
5313,Saint-Malo,48782.0,105253.5,73828.5,52.5,14252.0,20142.0,27808.0,13556.0,8812.0,12826.0,15534.0,17838.0,22700.0,25868.0,30194.0,38682.0,4.4,5.9,0.3,58.7,49.4,3.0,6.4,34.9,6.4
5314,Vitré,20578.0,51477.0,34006.6,52.2,15078.0,19966.0,25982.0,10904.0,10478.0,13868.0,16136.0,18096.0,21982.0,24456.0,28028.0,33940.0,3.2,4.2,0.3,73.0,64.8,2.8,5.3,21.9,5.1
5315,Lorient,133343.0,294394.0,204617.3,52.8,14354.0,20204.0,27120.0,12766.0,8664.0,12884.0,15674.0,17974.0,22580.0,25388.0,29228.0,36088.0,4.2,5.6,0.3,61.0,52.2,3.4,5.4,34.2,4.8
5316,Ploërmel,17023.0,39201.5,26799.3,48.0,13740.0,18962.0,24862.0,11122.0,8722.0,12442.0,14876.0,16950.0,20968.0,23338.0,26570.0,32202.0,3.7,4.7,0.3,64.0,54.3,3.0,6.7,31.6,4.4
5317,Pontivy,25010.0,56813.0,39055.8,50.0,13910.0,19218.0,25250.0,11340.0,8706.0,12550.0,15022.0,17178.0,21234.0,23798.0,27194.0,32920.0,3.8,5.0,0.3,64.0,53.6,2.9,7.6,31.0,5.0
5318,Vannes,153944.0,345754.0,238723.9,55.7,14948.0,20758.0,28230.0,13282.0,9508.0,13554.0,16208.0,18504.0,23292.0,26324.0,30606.0,38498.0,4.0,5.3,0.3,59.1,49.8,3.0,6.3,35.0,5.9
5401,Thouars - Loudun,28266.0,63184.0,43770.2,45.3,13052.0,18056.0,23900.0,10848.0,7960.0,11652.0,14202.0,16220.0,20058.0,22422.0,25596.0,31424.0,3.9,5.4,0.3,61.3,51.2,3.2,6.8,33.6,5.1
5402,Châtellerault,35799.0,79880.0,55298.7,50.7,13172.0,19206.0,25866.0,12694.0,6866.0,11552.0,14554.0,17028.0,21510.0,24180.0,27798.0,34256.0,5.0,6.7,0.3,62.2,54.2,3.3,4.7,33.5,4.3
5403,Angoulême,121254.0,265652.5,185588.2,48.6,12958.0,19076.0,25964.0,13006.0,6950.0,11400.0,14358.0,16792.0,21492.0,24238.0,28084.0,34940.0,5.0,6.7,0.3,62.0,52.6,3.2,6.2,33.4,4.6
5404,Jonzac - Barbezieux-Saint-Hilaire,29228.0,64620.0,45055.4,43.3,12158.0,17716.0,24596.0,12438.0,6826.0,10784.0,13381.0,15532.0,20104.0,22822.0,26699.0,33786.0,4.9,6.5,0.3,59.8,46.7,3.3,9.9,34.6,5.6
