Revenus fiscaux des ménages - Année 2005,,,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,,,
"© Insee     Source : Insee-DGI, Revenus fiscaux des ménages",,,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,,,
,,,"Nb de ménages
au RP 1999",PSDC99,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),"Intervalle
inter-quartiles (€)",1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),"Rapport
inter-déciles",Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,MEN99,PSDC99,NBUC05,RFUCQ105,RFUCQ205,RFUCQ305,RFUCIQ05,RFUCD105,RFUCD205,RFUCD305,RFUCD405,RFUCD605,RFUCD705,RFUCD805,RFUCD905,RFUCRD05,RFUCET05,RFUCMO05,RFUCGI05
1131,11,Paris,1110912,2125246,1484680.7,11215,21800,36263,25048,5129,9102,13359,17524,26581,32513,40984,57218,11.2,55293.66,30431.79,0.4863
1132,11,Nanterre,682260,1669222,1148484.3,12308,20834,31954,19646,6455,10445,14087,17449,24502,29073,35528,47517,7.4,33937.91,26152.63,0.4139
1133,11,Boulogne-Billancourt,352403,820003,557112.2,14329,22713,33816,19487,7947,12430,16062,19361,26464,31022,37222,48200,6.1,27959.22,27096.19,0.3719
1134,11,Vitry-sur-Seine,115704,287129,190707.7,9577,16549,24258,14681,4959,8130,11031,13805,19319,22430,26484,33185,6.7,14023.59,18469.93,0.3617
1135,11,Créteil,329670,852425,573798.1,12407,19574,27945,15538,6874,10713,13957,16834,22469,25858,30441,38675,5.6,19417.80,22304.17,0.3511
1136,11,Montreuil,379206,964364,654520.7,10226,17762,26416,16190,5196,8621,11778,14847,20820,24304,28964,37121,7.1,20008.91,20576.90,0.3825
1137,11,Saint-Denis,401853,1112453,733515.9,7475,13407,20794,13319,3892,6374,8576,10895,16098,19102,22767,28591,7.3,12356.15,15404.58,0.3789
1138,11,Cergy,103937,302176,193206.9,12180,18885,26313,14133,7043,10645,13676,16346,21529,24513,28474,35255,5.0,15312.05,20909.71,0.3285
1139,11,Poissy,48009,131249,84381.6,13541,21048,30756,17215,7994,11827,15086,18114,24429,28389,33654,43370,5.4,22662.85,24888.31,0.3584
1140,11,Les Mureaux,40089,115070,75107.4,12003,18726,26299,14296,6834,10470,13491,16179,21363,24438,28563,35598,5.2,15195.02,20826.33,0.3314
1141,11,Mantes-la-Jolie,47941,139266,87856.8,10378,16787,23633,13255,5926,9021,11698,14307,19279,22013,25655,31683,5.3,14471.28,18570.99,0.3386
1142,11,Versailles,238323,638265,414721.1,15933,23536,33493,17560,9813,14193,17539,20529,26893,30969,36614,46580,4.7,26716.70,27556.41,0.3411
1143,11,Orsay,45241,125975,79102.3,16450,24284,34025,17575,10001,14613,18057,21246,27582,31611,36859,46031,4.6,19913.76,27308.94,0.3192
1144,11,Orly,167411,446024,295045.0,12118,19150,26799,14681,6733,10457,13665,16492,21840,24926,29020,35660,5.3,16112.94,20987.17,0.3306
1145,11,Dourdan,36942,101378,68943.8,14960,21254,28503,13543,9312,13372,16320,18824,23777,26779,30607,37635,4.0,16560.25,23275.63,0.2986
1146,11,Etampes,17183,45705,30311.1,11810,17993,24677,12867,6634,10281,13198,15715,20280,22914,26588,33028,5.0,15367.53,19825.03,0.3297
1147,11,Evry,97989,271329,182478.1,11997,19074,26772,14775,6527,10329,13573,16374,21788,24885,29033,36388,5.6,17218.55,21167.84,0.3412
1148,11,Melun,85347,237525,157274.4,11917,18209,25243,13326,7061,10436,13263,15790,20697,23551,27341,33907,4.8,16447.30,20290.73,0.3303
1149,11,Fontainebleau,32875,82567,53581.3,13967,20206,28210,14243,8930,12540,15280,17788,22915,26137,30834,39659,4.4,28060.51,23650.25,0.3358
1150,11,Nemours,17737,47044,30606.9,11647,17070,23294,11647,7228,10305,12815,14961,19206,21786,25063,30721,4.3,16299.33,19009.59,0.3196
1151,11,Montereau-Fault-Yonne,15899,42961,27500.2,9573,15384,21696,12123,5096,8227,10894,13139,17639,20135,23385,28889,5.7,12060.74,16806.72,0.3388
1152,11,Provins,16576,43670,29118.8,11020,16167,22154,11134,6735,9862,12157,14189,18239,20672,23952,29886,4.4,13445.45,18133.19,0.3237
1153,11,Coulommiers,22084,59073,40315.0,12088,17284,23556,11468,7694,10874,13207,15358,19497,21992,25488,31707,4.1,14343.98,19455.46,0.3142
1154,11,Lagny-sur-Marne,31251,85755,67804.4,15034,21677,29486,14452,9398,13489,16484,19128,24310,27481,31983,39971,4.3,18881.20,24405.47,0.3156
1155,11,Meaux,56784,156557,104024.2,11794,17906,24668,12874,6612,10258,13152,15585,20275,23002,26655,32859,5.0,16728.31,19840.86,0.3325
1156,11,Roissy-en-France,16743,49580,32690.3,15264,20759,27068,11804,10498,13935,16544,18641,23038,25533,28994,35003,3.3,14011.76,22581.21,0.2683
2101,21,Vallée de la Meuse,100417,256707,164205.6,9069,14027,19797,10728,4969,7928,10136,12091,16093,18436,21464,26793,5.4,13151.94,15764.70,0.3483
2102,21,Reims,132260,321417,200714.2,10798,16582,23598,12800,6082,9419,12057,14340,18993,21843,25871,33519,5.5,17225.75,19426.46,0.3643
2103,21,Châlons-en-Champagne,41573,107983,68384.5,11296,16311,22253,10957,7080,10030,12388,14391,18358,20865,24028,29888,4.2,15163.41,18249.10,0.3169
2104,21,Epernay,37085,92137,60125.0,12254,17825,25335,13081,7597,10992,13489,15638,20249,23336,28020,38590,5.1,21548.83,22169.77,0.3739
2105,21,Marne moyenne,48519,123845,77761.7,9606,14317,19792,10186,5758,8477,10623,12500,16269,18499,21359,26646,4.6,12457.39,15986.82,0.3296
2106,21,Sud-ouest Champenois,29301,73210,48947.8,10637,15447,20893,10256,6509,9415,11703,13618,17304,19531,22612,28285,4.3,14144.09,17431.68,0.3277
2107,21,Troyes,102561,250158,166595.9,10519,15685,21695,11176,5818,9199,11706,13759,17713,20154,23645,30418,5.2,15404.59,17996.56,0.3513
2108,21,Haute vallée de la Marne,48308,116906,76444.4,10556,15051,20423,9867,6818,9479,11501,13295,16902,19083,22027,27372,4.0,12711.90,16824.47,0.3115
2202,22,Amiens,132778,342110,215483.1,10008,15496,21918,11910,5554,8675,11212,13401,17716,20334,23819,30302,5.5,15655.48,17749.51,0.3567
2205,22,Château-Thierry,26210,68570,45817.6,10879,15852,22033,11154,6780,9679,11939,13941,17988,20545,23869,30297,4.5,17628.21,18385.21,0.3385
2206,22,Sud Oise,133957,371611,237528.5,11691,17718,24603,12912,6828,10312,13023,15408,20090,22916,26769,33869,5.0,18689.68,20125.81,0.3409
2207,22,Soissons,38191,100627,65360.2,9946,15008,21104,11158,5904,8796,11080,13046,17109,19565,22933,29051,4.9,14145.21,17234.53,0.3452
2208,22,Beauvais,68419,185405,121776.8,11016,16484,22642,11626,6391,9639,12223,14413,18657,21139,24420,30344,4.7,14558.68,18334.51,0.3296
2209,22,Compiègne,65121,173943,111847.4,11260,16770,23445,12185,6802,9944,12426,14568,19105,21771,25467,32167,4.7,15340.79,19173.99,0.3374
