Revenus fiscaux localisés des ménages - Année 2011,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages fiscaux pour médiane, 2 000 personnes pour autres indicateurs",,,,,,,,,,,,,,,,,,,
Zones d'emploi 2010,,,,,,,,,,,,,,,,,,,
© Insee     Source : Insee-DGFiP Revenus fiscaux localisés des ménages ,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,
,,,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),Écart interquartile (€),1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),Rapport interdécile,Ecart-type (€),Moyenne (€),Indice de Gini
ZE2010,REG,LIBGEO,NBUC11,RFUCQ111,RFUCQ211,RFUCQ311,RFUCIQ11,RFUCD111,RFUCD211,RFUCD311,RFUCD411,RFUCD611,RFUCD711,RFUCD811,RFUCD911,RFUCRD11,RFUCET11,RFUCMO11,RFUCGI11
2107,21,Vitry-le-François - Saint-Dizier,78794.9,11241,16854,23157,11916,6382,9843,12448,14755,19065,21633,24982,31044,4.9,16248.41,18776.12,0.3363
2201,22,Château-Thierry,44836.8,12800,18619,25683,12883,7560,11306,13977,16316,21042,23907,27787,35300,4.7,22251.10,21417.65,0.3401
2202,22,Tergnier,37984.6,10044,16094,22532,12488,4789,8603,11346,13773,18386,21106,24338,30135,6.3,13970.16,17710.17,0.3529
2203,22,Thiérache,39898.7,9139,14994,21101,11962,3842,7842,10456,12798,17192,19630,22918,28270,7.4,18866.03,16568.15,0.3658
2204,22,Laon,66815.4,10963,17093,23968,13005,5866,9493,12322,14811,19513,22304,25964,32737,5.6,15723.23,19268.18,0.3531
2205,22,Saint-Quentin,93724.0,9875,16309,23304,13429,4486,8359,11345,13945,18770,21589,25407,31998,7.1,16731.94,18594.51,0.3797
2206,22,Soissons,63241.2,11345,17426,24190,12845,6313,9925,12749,15166,19819,22589,26241,33211,5.3,16819.16,19717.54,0.3491
2207,22,Beauvais,162942.8,12871,19174,26111,13240,7425,11340,14275,16833,21625,24419,28130,34666,4.7,17484.55,21130.93,0.3252
2208,22,Compiègne,133035.1,13188,19631,27202,14014,7795,11659,14561,17126,22196,25336,29483,37146,4.8,18399.82,22308.68,0.3374
2209,22,Abbeville,47296.2,10822,16748,23719,12897,5582,9316,12154,14517,19200,22015,25765,33101,5.9,16572.32,19248.22,0.3640
