Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2017,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 23/01/2020       Géographie au 01/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nbre de ménages fiscaux,Nbre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,Part des ménages fiscaux imposés (%),1er quartile (€),Médiane (€),3e quartile (€),Écart interquartile (€),1er décile (€),2e décile (€),3e décile  (€),4e décile (€) ,6e décile (€),7e décile (€),8e décile (€) ,9e décile (€),Rapport interdécile D9/D1,S80/S20,Indice de Gini,Part des revenus d’activité (%),dont part des salaires et traitements (%),dont part des indemnités de chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des autres revenus (%)
CODGEO,LIBGEO,NBMEN17,NBPERS17,NBUC17,PMIMP17,Q117,Q217,Q317,Q3_Q1,D117,D217,D317,D417,D617,D717,D817,D917,RD,S80S2017,GI17,PACT17,PTSA17,PCHO17,PBEN17,PPEN17,PAUT17
2611,Le Charolais,37572,80133,56719.8,43.4,14220,19360,25620,11400,8890,12800,15300,17340,21550,24060,27490,34000,3.8,5.031,0.295,57.1,48.1,2.6,6.4,37.7,5.2
2612,Auxerre,90714,197272,137922.5,48.9,13580,19990,27030,13450,7370,11880,15050,17590,22440,25300,29130,36150,4.9,6.582,0.328,60.2,51.8,2.8,5.6,34.9,4.9
2613,Avallon,10388,21947,15564.5,45.5,13540,19440,26060,12520,7570,12030,14880,17250,21720,24430,28060,34800,4.6,6.057,0.317,57.3,48.2,2.6,6.5,37.2,5.5
2614,Sens,47133,108567,74067.7,50.8,13840,20330,27290,13450,7820,12170,15310,17950,22810,25640,29380,36090,4.6,6.089,0.318,63.7,56.4,3.0,4.4,31.8,4.5
3110,Roubaix - Tourcoing,167138,419519,276034.4,43.9,10010,18250,26740,16730,3420,8130,11930,15270,21200,24630,29230,37800,11.0,13.638,0.409,70.4,62.5,3.8,4.1,24.0,5.6
3111,Lille,329217,757669,515631.0,52.9,13190,21510,31270,18090,5960,11040,15110,18420,24820,28820,34310,44140,7.4,9.815,0.383,73.2,65.0,3.0,5.2,21.9,4.9
3112,Dunkerque,104266,244855,166084.4,45.7,12270,19030,26560,14290,6180,10550,13810,16530,21690,24710,28750,35790,5.8,7.580,0.344,66.8,59.0,3.6,4.2,29.4,3.8
3113,La Flandre - Lys,50003,123846,82515.1,48.1,14710,20710,27720,13010,8990,13180,16060,18410,23110,25970,29850,36620,4.1,5.353,0.305,68.6,60.6,2.7,5.2,26.0,5.4
3114,Douai,99020,241669,161507.5,41.9,11420,18430,25970,14550,5280,9610,13000,15800,21060,24130,28120,34990,6.6,8.647,0.354,68.2,60.8,3.6,3.9,28.5,3.3
3115,Valenciennes,139784,337862,225997.0,38.7,9780,16990,24720,14940,3470,8030,11360,14320,19740,22910,26890,33690,9.7,11.596,0.383,67.9,59.9,3.8,4.2,28.1,4.0
3116,Cambrai,73666,175061,118218.2,41.4,11700,18240,25310,13620,5790,10030,13240,15840,20730,23580,27420,34140,5.9,7.956,0.349,66.4,57.2,3.7,5.4,29.3,4.3
3117,Maubeuge,92527,221030,148656.1,38.7,9680,16990,24510,14830,3140,7870,11310,14330,19700,22710,26660,33380,10.6,12.206,0.384,64.6,55.7,3.7,5.2,30.5,4.9
3121,Arras,100978,239587,161965.3,48.2,13480,20200,27900,14420,7220,11740,14990,17660,22900,26010,30240,37790,5.2,6.990,0.339,68.1,59.4,2.8,5.8,27.4,4.5
3122,Lens - Hénin,147112,361259,240211.8,34.9,9360,16160,22920,13560,3620,7830,10850,13650,18620,21350,24750,30320,8.4,10.081,0.362,68.3,61.1,4.1,3.2,29.5,2.2
3123,Béthune - Bruay,119525,288767,193686.4,40.4,11650,18300,25480,13820,5630,9940,13190,15810,20880,23740,27500,34000,6.0,8.044,0.347,68.1,60.7,3.1,4.3,28.5,3.4
3124,Saint-Omer,48023,116425,78077.8,41.6,12000,18400,25020,13020,6200,10400,13480,16050,20770,23390,26990,33350,5.4,7.244,0.338,67.6,59.6,3.1,4.9,28.0,4.4
3125,Calais,67335,164151,109467.3,41.6,10920,17940,25270,14350,4550,9200,12570,15360,20560,23500,27370,33700,7.4,9.256,0.356,68.8,60.3,3.9,4.6,27.3,3.9
3126,Boulogne-sur-mer,66995,157504,106845.8,41.5,11320,18040,25530,14220,5470,9650,12880,15510,20650,23680,27740,35250,6.4,8.851,0.368,65.5,56.5,3.6,5.4,29.6,4.9
3127,Berck - Montreuil,46416,105092,72471.5,45.3,12790,19040,26440,13650,7140,11100,14200,16740,21560,24580,28730,36590,5.1,7.242,0.353,59.0,49.9,3.1,6.1,34.3,6.7
4101,Longwy,45376,102674,70588.6,30.3,13420,20960,30130,16700,6630,11560,15010,17920,24270,28080,32750,40790,6.1,7.817,0.345,33.4,27.9,2.7,2.7,21.5,45.1
4102,Lunéville,13887,31363,21563.7,42.4,12450,19180,25730,13280,5950,10650,14010,16830,21450,24080,27640,34040,5.7,7.541,0.335,63.8,56.2,3.1,4.5,32.4,3.8
4103,Nancy,214824,474984,329455.4,52.2,14280,21470,29710,15420,7180,12330,15930,18790,24330,27640,32260,40520,5.6,7.540,0.346,67.3,59.6,2.7,5.0,28.2,4.5
4104,Bar-le-Duc,25658,56160,39329.1,49.5,14610,20550,27310,12710,8510,13050,15930,18320,22830,25640,29280,35650,4.2,5.488,0.303,61.9,54.7,2.7,4.5,34.0,4.1
4105,Commercy,18212,41755,28637.4,42.8,13180,18920,25390,12210,7610,11700,14440,16740,21170,23880,27390,33550,4.4,5.717,0.307,62.8,54.2,3.0,5.5,32.4,4.8
4106,Verdun,26087,57486,39989.4,43.6,13110,19300,26180,13070,6930,11530,14550,16980,21730,24490,28150,35040,5.1,6.699,0.328,61.8,53.3,2.6,6.0,32.1,6.1
4107,Metz,213216,482782,332213.7,47.8,14060,21240,29770,15720,7400,12230,15600,18470,24160,27630,32360,40530,5.5,7.273,0.346,60.9,53.6,3.1,4.2,26.2,12.9
4108,Forbach,89251,205181,141023.7,43.2,12090,18790,26330,14240,5790,10330,13660,16350,21470,24460,28560,35700,6.2,8.033,0.349,62.6,55.2,3.7,3.7,33.1,4.3
4109,Sarrebourg,29961,69140,47488.1,46.8,14460,20290,26970,12510,8980,13000,15770,18050,22620,25320,28850,34940,3.9,5.188,0.299,65.3,58.0,2.8,4.5,30.5,4.2
4110,Sarreguemines,46454,106858,73587.6,48.8,14690,21130,28910,14210,8540,13070,16090,18620,23810,26960,31200,38630,4.5,6.029,0.322,67.7,60.8,3.1,3.8,27.9,4.4
4111,Thionville,91792,211064,144285.9,36.5,14640,22410,32370,17730,7650,12760,16220,19240,25790,29940,35430,44760,5.9,7.479,0.347,37.3,31.9,2.7,2.8,21.9,40.8
4112,Épinal,70045,155295,107734.9,44.9,13100,19530,26600,13500,6660,11400,14610,17170,21990,24860,28710,35610,5.3,7.131,0.335,64.5,56.6,3.1,4.7,31.3,4.2
4113,Remiremont,37581,80653,56888.1,43.5,14250,19520,26010,11760,8560,12790,15420,17540,21680,24330,28010,34630,4.0,5.269,0.301,60.4,53.1,3.2,4.1,35.0,4.6
4114,Saint-Dié-des-Vosges,38004,82303,57756.9,41.7,12760,18750,25210,12450,6670,11110,14160,16570,21000,23620,27110,33180,5.0,6.633,0.323,61.4,53.1,3.9,4.4,34.8,3.8
4115,Neufchâteau,22522,48672,34245.0,44.5,13580,19490,26180,12600,7840,12060,14910,17260,21820,24530,28280,34810,4.4,5.811,0.313,61.1,52.9,3.0,5.1,34.7,4.2
4201,Haguenau,81986,198323,134033.6,57.1,16750,23160,30810,14060,10880,15240,18130,20700,25760,28890,33170,40370,3.7,4.817,0.291,70.5,64.4,2.6,3.5,25.6,3.9
4202,Molsheim - Obernai,56982,135433,92019.9,59.5,17290,23880,32000,14700,11630,15700,18750,21290,26640,29930,34440,42620,3.7,4.794,0.296,69.1,62.2,2.5,4.4,25.7,5.2
4203,Saverne,31917,76161,51763.8,52.0,15720,21900,29130,13410,10170,14220,17070,19480,24440,27360,31370,38540,3.8,4.894,0.293,67.7,60.9,2.7,4.1,28.2,4.1
4204,Sélestat,35639,85101,57636.5,54.6,16030,22440,30000,13970,10040,14470,17460,20040,25070,28120,32350,40020,4.0,5.202,0.302,69.7,62.7,2.7,4.3,25.1,5.2
4205,Strasbourg,245054,553213,380223.9,54.6,12650,21460,31270,18620,5630,10460,14690,18220,24880,28840,34230,44050,7.8,10.614,0.392,69.4,61.5,3.0,5.0,25.0,5.6
4206,Wissembourg,16736,39716,27091.0,58.7,17210,24180,33580,16380,11310,15650,18700,21440,27330,31220,36350,44960,4.0,5.053,0.302,75.2,69.5,2.4,3.3,21.1,3.7
4207,Colmar,84692,192245,132499.5,56.7,15620,22590,31030,15400,8980,13860,17170,19950,25500,28930,33690,42880,4.8,6.376,0.335,67.5,59.8,2.7,5.1,27.0,5.5
4208,Mulhouse,179564,420814,285804.0,53.3,13750,21580,30800,17050,6770,11680,15510,18640,24720,28450,33700,43260,6.4,8.390,0.365,69.3,62.4,3.4,3.5,26.9,3.8
4209,Saint-Louis,51326,120771,82115.8,68.5,19360,30460,46000,26640,11190,17100,21490,25830,35750,42090,50670,66080,5.9,7.750,0.373,76.7,71.9,2.9,1.9,20.4,2.9
4301,Besançon,129795,291722,200534.2,51.8,14680,21310,29200,14520,8040,12950,16190,18790,24020,27250,31570,39490,4.9,6.554,0.330,68.1,60.0,2.8,5.3,27.3,4.6
4302,Belfort - Montbéliard - Héricourt,157367,357424,245335.5,49.4,13740,20540,28270,14530,7380,11930,15240,17950,23190,26320,30650,38100,5.2,6.649,0.328,67.5,60.5,3.4,3.6,29.4,3.1
4303,Morteau,20641,48710,32859.5,69.0,20070,30130,43070,23000,13830,18220,21960,25950,34690,40020,46690,57350,4.1,5.087,0.306,81.1,73.8,3.9,3.4,16.0,2.9
4304,Pontarlier,28067,65814,44448.7,64.6,18460,26910,38900,20440,12170,16670,20100,23370,30980,35940,42540,52930,4.4,5.391,0.316,79.3,71.5,3.3,4.5,16.8,3.9
4305,Dole,31360,70234,48492.2,48.5,14230,20360,27380,13160,8090,12480,15650,18130,22870,25680,29360,36320,4.5,5.894,0.312,62.8,55.9,2.7,4.3,33.2,4.0
4306,Lons-le-Saunier,53824,115399,81259.4,48.8,14720,20650,27670,12950,9250,13290,16040,18380,23060,25900,29910,36790,4.0,5.313,0.307,62.0,54.2,2.7,5.1,33.4,4.6
4307,Saint-Claude,22937,52656,36059.7,57.0,15740,23030,33160,17420,9630,14080,17290,20100,26310,30490,36460,46570,4.8,5.952,0.326,72.7,65.9,3.5,3.3,23.8,3.5
4308,Gray,11792,26035,18139.8,42.9,13370,19020,25440,12070,7580,11780,14670,16920,21350,23870,27440,33860,4.5,5.960,0.313,60.1,51.0,2.9,6.2,35.0,4.9
4309,Vesoul,51012,112458,78262.8,44.6,13360,19320,25880,12510,7630,11760,14750,17090,21630,24240,27850,34140,4.5,5.916,0.313,62.0,54.2,2.8,5.0,34.0,4.0
5201,Ancenis,15284,38009,25133.5,44.2,14780,19790,25650,10870,9790,13530,15900,17980,21770,24270,27370,32960,3.4,4.305,0.270,69.8,62.6,3.0,4.1,25.7,4.5
5202,Châteaubriant,15302,35906,24384.7,38.5,13090,18270,24020,10920,7680,11700,14380,16370,20240,22540,25700,31370,4.1,5.664,0.310,64.6,54.8,2.9,6.9,30.0,5.4
5203,Nantes,457258,1069295,723274.1,53.8,15890,22250,30180,14290,9650,14300,17290,19810,24920,28170,32680,40850,4.2,5.625,0.314,72.7,65.2,3.0,4.5,22.7,4.6
5204,Saint-Nazaire,139517,309621,214590.8,52.6,15640,21580,28990,13340,9950,14170,16930,19300,24060,27090,31280,39020,3.9,5.271,0.307,60.2,52.8,3.0,4.4,34.1,5.7
5205,Angers,194788,452631,307365.2,47.9,14640,20600,27850,13210,8380,12990,15990,18360,23060,26000,30130,37790,4.5,6.048,0.321,68.0,59.9,3.1,5.0,27.7,4.3
5206,Cholet,85937,209356,139850.5,43.9,15170,19890,25740,10570,10240,13960,16220,18080,21840,24260,27530,33560,3.3,4.317,0.276,69.3,61.5,2.8,5.0,26.3,4.4
5207,Saumur,42274,96447,66203.5,41.5,13590,18980,25320,11730,8080,12220,14820,16980,21090,23710,27400,34160,4.2,5.619,0.309,61.6,52.3,3.4,5.9,33.5,4.9
5208,Segré,21457,50919,34360.0,37.6,13880,18560,23840,9960,8900,12630,14950,16800,20390,22420,25460,30900,3.5,4.557,0.276,65.3,56.4,2.9,6.0,30.1,4.6
5209,Laval,93146,219218,148299.9,46.0,14700,19990,26300,11600,9330,13370,15900,18020,22140,24680,28270,34770,3.7,4.979,0.296,66.5,59.0,2.5,5.0,28.7,4.8
5210,La Mayenne,22398,51109,35113.0,44.2,14570,19500,25340,10770,9200,13240,15720,17630,21480,23880,27030,32840,3.6,4.709,0.283,63.1,54.7,2.6,5.9,31.5,5.4
5211,La Ferté-Bernard,14974,33474,23189.3,48.7,14880,20230,26110,11220,9350,13510,16130,18210,22210,24620,27980,33890,3.6,4.765,0.285,63.2,55.9,2.8,4.4,32.3,4.5
5212,La Flèche,23184,50641,35454.9,41.9,13850,19130,25120,11270,8140,12350,15040,17230,21230,23610,26930,33170,4.1,5.373,0.301,58.4,51.0,2.9,4.4,37.1,4.5
5213,Le Mans,180795,412480,282292.0,49.0,14440,20550,27350,12910,7740,12710,15840,18270,22890,25640,29440,36140,4.7,6.165,0.315,65.4,58.5,2.7,4.2,30.7,3.9
5214,Sablé-sur-Sarthe,15054,36000,24235.3,45.9,14310,19510,25240,10930,8830,12810,15460,17610,21580,23800,26890,32820,3.7,5.138,0.299,66.8,59.6,3.0,4.2,27.3,5.9
5215,Challans,62628,134299,94883.2,50.0,15460,20750,27550,12090,10690,14210,16610,18660,23030,25770,29700,36870,3.4,4.508,0.287,52.8,44.3,3.0,5.4,40.6,6.6
5216,Fontenay-le-Comte,29347,67242,46161.2,41.7,13950,19100,25090,11140,8770,12630,15080,17120,21220,23600,27010,33140,3.8,4.965,0.293,61.5,52.6,3.0,5.9,33.7,4.8
5217,Les Herbiers,24689,60438,40314.4,45.2,15640,20030,25520,9880,11300,14520,16680,18380,21870,24160,27130,32360,2.9,3.693,0.250,71.1,63.4,2.6,5.1,24.6,4.3
5218,La Roche-sur-Yon,108789,253405,172192.2,46.7,15150,20410,26580,11430,9950,13810,16330,18400,22500,25020,28410,34580,3.5,4.607,0.284,65.7,57.9,2.9,4.9,29.8,4.5
5219,Les Sables-d'Olonne,36011,73062,52899.9,54.8,16180,22230,30290,14110,11000,14770,17420,19810,24950,28340,32860,41220,3.7,5.196,0.317,47.9,39.7,2.8,5.4,44.9,7.2
5301,Dinan,43283,94270,65943.7,50.8,15420,21330,29210,13790,10080,13990,16690,19040,23910,27140,31510,39670,3.9,5.291,0.313,58.1,49.5,2.9,5.6,36.2,5.7
5302,Guingamp,23066,49962,34960.3,40.8,13300,18870,25020,11710,7620,11880,14520,16780,21080,23520,26960,33030,4.3,5.629,0.304,60.3,50.9,3.0,6.5,35.6,4.1
5303,Lannion,42636,90207,63930.2,50.7,14950,21220,29290,14330,9320,13460,16280,18810,23960,27240,31660,39310,4.2,5.460,0.309,54.1,45.3,2.7,6.0,40.9,5.0
5304,Loudéac,15947,36023,24822.6,43.9,14150,19370,25160,11010,8770,12700,15320,17370,21490,23780,26960,32920,3.8,4.988,0.290,62.3,51.5,2.7,8.1,33.0,4.7
5305,Saint-Brieuc,138459,306315,212697.8,48.7,14930,20710,27690,12750,9420,13470,16210,18500,23080,25970,29880,37110,3.9,5.261,0.304,60.8,51.5,2.8,6.5,34.5,4.7
5306,Brest,198759,441833,305552.1,50.0,15280,21220,28660,13380,9540,13850,16590,18930,23720,26760,30890,38070,4.0,5.331,0.305,65.7,57.0,3.0,5.7,30.2,4.1
5307,Carhaix-Plouguer,20507,41942,30150.0,39.3,12850,18540,24790,11940,7310,11450,14100,16400,20750,23260,26620,32320,4.4,5.759,0.306,55.5,44.4,3.0,8.1,40.0,4.5
5308,Morlaix,33597,72202,50716.0,46.4,14540,20150,27090,12550,8900,13050,15750,17990,22550,25370,29120,36020,4.0,5.522,0.310,59.1,48.3,3.1,7.7,36.4,4.5
5309,Quimper,148652,313876,222554.7,48.9,15180,20910,28120,12930,9710,13760,16430,18690,23360,26280,30350,37640,3.9,5.092,0.301,58.5,49.7,3.0,5.8,36.3,5.2
5310,Fougères,29207,66769,45710.5,41.7,14370,19290,25160,10790,9060,13050,15500,17460,21290,23680,26930,32650,3.6,4.812,0.285,65.3,57.2,2.8,5.3,30.3,4.4
5311,Redon,20089,45302,31255.0,44.3,14230,19680,25840,11610,8820,12710,15530,17700,21740,24200,27630,33660,3.8,4.974,0.288,62.2,54.7,3.1,4.4,33.4,4.4
5312,Rennes,334477,782974,529352.9,52.3,15520,21800,29540,14030,9190,13900,16920,19390,24400,27570,31960,39790,4.3,5.701,0.314,72.3,64.7,2.8,4.8,23.1,4.6
5313,Saint-Malo,49912,106300,74976.3,49.1,14880,20820,28600,13720,9360,13460,16160,18480,23450,26650,31200,39820,4.3,5.827,0.329,58.7,49.4,2.9,6.3,34.8,6.5
5314,Vitré,21071,52273,34688.7,47.7,15600,20550,26900,11300,10970,14450,16710,18610,22650,25320,28840,35160,3.2,4.210,0.274,72.6,64.8,2.7,5.1,22.3,5.1
5315,Lorient,136302,296899,207473.2,48.6,14770,20760,27880,13110,8810,13200,16100,18480,23220,26110,30070,37070,4.2,5.589,0.309,60.9,52.4,3.3,5.2,34.5,4.6
5316,Ploërmel,17136,39013,26809.8,43.2,14460,19700,25850,11390,9350,13040,15560,17760,21770,24320,27560,33280,3.6,4.601,0.279,63.4,54.2,2.8,6.5,32.3,4.3
5317,Pontivy,25368,57258,39490.7,44.6,14240,19660,25860,11620,8810,12810,15460,17600,21830,24260,27700,33580,3.8,5.100,0.295,63.7,53.6,2.8,7.2,31.5,4.8
5318,Vannes,158817,352636,244822.7,52.0,15560,21500,29170,13610,10020,14170,16840,19200,24060,27210,31640,39710,4.0,5.237,0.308,58.7,49.8,3.0,5.9,35.4,5.9
5401,Thouars - Loudun,28317,62619,43581.7,40.1,13490,18570,24480,10990,7970,12080,14620,16710,20580,22970,26240,31770,4.0,5.429,0.304,60.6,51.5,3.1,6.0,34.2,5.2
5402,Châtellerault,35771,78595,54740.4,46.4,13540,19680,26440,12900,7020,11890,14980,17480,22040,24770,28470,34970,5.0,6.622,0.322,61.4,54.1,2.9,4.4,34.2,4.4
5403,Angoulême,123178,266132,186874.1,44.4,13310,19550,26490,13180,6950,11680,14750,17230,21950,24740,28580,35470,5.1,6.704,0.327,61.6,52.9,3.1,5.6,33.9,4.5
5404,Jonzac - Barbezieux-Saint-Hilaire,29400,64391,45081.8,39.5,12480,18210,25190,12710,7090,11120,13750,15970,20660,23410,27230,34080,4.8,6.364,0.329,59.1,47.0,3.2,8.9,35.5,5.4
5405,Cognac,36451,79439,55710.0,49.8,14570,20870,28610,14040,8700,13040,15920,18390,23500,26660,31080,40010,4.6,6.361,0.337,62.8,51.7,2.9,8.2,31.1,6.1
5406,Saintes - Saint-Jean-d'Angely,55806,121465,85137.0,44.2,13560,19440,26430,12870,7820,12090,14830,17110,21820,24700,28660,35590,4.6,6.029,0.319,59.0,49.3,3.2,6.5,35.7,5.3
5407,Royan,47346,95362,69301.3,50.0,14730,20880,29060,14330,9370,13260,15950,18380,23640,27050,31600,39800,4.2,5.796,0.328,45.5,35.6,3.0,7.0,47.2,7.3
5408,Rochefort,50964,108092,76545.8,46.5,13920,19950,27000,13080,8070,12440,15270,17690,22360,25230,29170,36280,4.5,5.850,0.314,55.8,46.2,3.4,6.2,38.8,5.4
5409,La Rochelle,112622,244935,171456.4,53.1,15240,21800,30160,14920,8950,13580,16700,19240,24600,27960,32780,41440,4.6,6.216,0.332,60.2,51.5,3.2,5.6,33.4,6.4
5410,Niort,98099,219847,151939.6,49.4,14850,20890,28320,13470,8950,13320,16210,18550,23410,26440,30630,38140,4.3,5.637,0.311,66.5,59.1,2.5,4.8,29.5,4.0
5411,Parthenay,14118,31079,21686.8,39.3,13630,18700,24810,11170,8280,12200,14830,16810,20830,23220,26620,32660,3.9,5.272,0.298,61.3,52.4,2.8,6.1,33.9,4.8
5412,Bressuire,30476,73257,49246.0,39.0,13970,18740,24240,10280,8600,12650,15060,16960,20630,22890,25990,31670,3.7,4.901,0.290,65.9,56.6,2.8,6.5,28.9,5.2
5413,Poitiers,142139,312908,217266.1,47.8,14180,20460,27870,13680,7820,12500,15570,18060,22980,25990,30140,37620,4.8,6.376,0.324,65.5,58.0,2.7,4.8,29.8,4.7
7201,Bergerac,49924,107272,75631.2,42.2,12410,18740,25990,13580,6500,10810,13820,16360,21310,24250,28150,35210,5.4,7.178,0.340,54.7,45.0,3.4,6.3,39.5,5.8
7202,Périgueux,108475,228542,162453.1,43.2,13480,19440,26310,12830,7550,11890,14810,17170,21820,24590,28400,35170,4.7,6.130,0.319,57.5,49.0,3.0,5.5,37.6,4.9
7203,Sarlat-la-Canéda,24243,50438,36151.9,43.0,13210,19120,26410,13200,7850,11760,14460,16830,21600,24550,28750,36080,4.6,6.054,0.325,52.3,42.3,3.6,6.5,40.4,7.3
7204,Bordeaux,571963,1290211,888012.5,54.3,15010,22290,31140,16130,8270,13180,16620,19510,25280,28890,33890,42910,5.2,6.938,0.344,70.2,61.5,3.3,5.4,24.6,5.2
7205,Libourne,50836,113268,78493.8,42.1,12370,18700,25770,13390,6280,10710,13790,16370,21160,23980,27890,34930,5.6,7.438,0.346,61.9,51.8,3.6,6.4,32.4,5.7
7206,Pauillac,23823,52234,36491.5,44.7,13330,19390,26390,13060,7500,11770,14750,17180,21850,24670,28470,34970,4.7,6.140,0.322,57.2,47.3,3.8,6.2,37.2,5.6
7207,La Teste-de-Buch,73259,160081,112203.0,53.5,15780,22030,30100,14330,10140,14270,17110,19570,24750,28070,32660,41100,4.1,5.407,0.316,57.3,48.4,3.4,5.6,36.4,6.3
7208,Dax,82570,180010,126177.8,48.8,14780,20760,28130,13350,9090,13300,16110,18490,23220,26280,30350,37900,4.2,5.593,0.315,58.4,49.0,3.5,5.9,35.4,6.2
7209,Agen,66945,148051,102815.9,45.6,13090,19730,27190,14100,6900,11410,14580,17210,22350,25320,29460,36760,5.3,7.062,0.339,63.7,54.8,3.3,5.7,30.9,5.4
7210,Marmande,39392,85710,60147.4,40.0,12480,18380,25220,12740,6860,11050,13830,16190,20750,23540,27200,33840,4.9,6.563,0.330,57.8,48.2,3.3,6.3,36.3,5.9
7211,Villeneuve-sur-Lot,43123,94142,65992.3,38.4,12050,18070,24850,12800,6470,10530,13420,15760,20410,23160,26860,33490,5.2,6.907,0.337,55.2,44.6,3.7,6.9,38.7,6.1
7212,Bayonne,157749,337166,237642.5,51.6,15150,21550,29700,14560,9280,13590,16530,19070,24260,27630,32270,41310,4.5,6.132,0.335,61.1,51.8,3.2,6.1,31.5,7.4
7213,Oloron-Sainte-Marie,18498,40148,28258.6,46.2,14390,20070,26960,12570,8980,12890,15630,17890,22390,25320,28890,35060,3.9,5.114,0.294,59.3,50.4,2.8,6.2,36.0,4.7
7214,Pau,150285,333499,231824.0,50.7,14670,21370,29650,14980,8390,13020,16120,18780,24210,27560,32170,40530,4.8,6.398,0.330,63.5,55.9,2.9,4.6,31.1,5.4
7301,Foix - Pamiers,50847,109207,76843.5,42.1,12620,18930,26030,13420,6400,10940,14050,16560,21450,24340,28080,34670,5.4,7.020,0.331,59.2,50.5,3.4,5.3,35.5,5.3
7302,Saint-Girons,15231,30236,21974.0,40.2,11660,18460,25550,13890,5150,9910,13170,15940,20960,23830,27640,34130,6.6,8.310,0.347,53.3,43.7,3.4,6.3,41.5,5.2
7303,Millau,27607,58447,41367.2,41.0,13220,18900,25670,12450,7800,11790,14520,16700,21210,23970,27680,34340,4.4,5.804,0.314,58.8,47.8,3.0,8.0,35.0,6.2
7304,Rodez,77769,168587,118269.1,47.1,14290,20170,27280,13000,9100,12930,15590,17920,22660,25500,29420,36280,4.0,5.342,0.309,60.6,50.1,2.2,8.3,32.3,7.1
7305,Villefranche-de-Rouergue,16261,34765,24591.5,41.7,13010,18820,25670,12670,7590,11700,14260,16530,21300,24000,27750,34800,4.6,6.043,0.323,55.0,44.2,2.6,8.2,38.3,6.7
7306,Saint-Gaudens,27195,56017,40161.8,43.9,12890,19370,26520,13630,6560,11180,14310,16880,21940,24760,28550,35250,5.4,7.007,0.330,54.6,46.0,3.0,5.5,40.2,5.2
7307,Auch,51592,110265,78069.1,44.0,13300,19560,26870,13580,7520,11800,14610,17100,22120,25110,29090,36400,4.8,6.450,0.330,57.7,47.6,2.8,7.4,35.7,6.6
7308,Cahors,42133,88024,62821.2,45.3,13470,19830,27530,14060,7660,11880,14820,17350,22490,25610,29830,37200,4.9,6.349,0.328,54.1,44.5,3.0,6.6,39.9,6.0
7309,Figeac,17919,37630,26784.0,46.6,14220,20350,27540,13320,8650,12740,15490,18020,22900,25800,29620,36200,4.2,5.463,0.305,57.7,48.9,2.4,6.3,36.7,5.6
7310,Tarbes - Lourdes,104471,221165,156780.4,44.9,13520,19760,26720,13200,7450,11930,14910,17390,22170,24980,28760,35280,4.7,6.213,0.318,59.5,50.2,3.4,6.0,36.0,4.5
7311,Albi,77251,168458,117850.7,44.1,13230,19610,27050,13810,6920,11580,14680,17190,22220,25190,29250,36660,5.3,6.948,0.337,58.9,49.7,3.0,6.2,35.3,5.8
7312,Castres - Mazamet,58613,130152,90562.5,41.6,12980,18990,25890,12920,6930,11400,14390,16730,21400,24170,28030,35050,5.1,6.861,0.335,60.1,51.2,3.1,5.8,34.8,5.1
7313,Montauban,96627,223619,152674.5,42.4,12280,18850,26190,13910,6190,10670,13740,16320,21410,24390,28300,35120,5.7,7.407,0.345,63.2,53.9,3.4,5.9,31.2,5.6
7401,Tulle,31583,64870,46569.4,47.7,14370,20330,27250,12870,8920,12940,15650,18030,22730,25560,29330,35730,4.0,5.152,0.296,56.2,48.1,2.5,5.6,39.5,4.3
7402,Ussel,13692,28098,20152.4,44.7,13990,19410,25900,11920,8730,12640,15130,17360,21600,24210,27870,34070,3.9,5.183,0.302,58.5,49.9,2.4,6.2,36.4,5.1
7403,Guéret,55565,111404,80739.7,40.2,12490,18400,25040,12550,6950,11030,13760,16110,20710,23400,27060,33230,4.8,6.232,0.320,55.0,45.1,2.6,7.2,40.4,4.6
7404,Limoges,166769,349997,248018.8,47.7,13720,20410,27850,14130,6800,11850,15240,17930,22990,26000,30100,37430,5.5,7.173,0.334,61.5,54.1,2.4,5.0,34.4,4.1
8201,Ambérieu-en-Bugey,42324,101677,68144.7,54.2,15770,22040,29610,13840,9940,14220,17140,19660,24710,27730,31860,38960,3.9,4.954,0.292,71.3,64.5,3.0,3.9,24.6,4.1
8202,Bourg-en-Bresse,57727,132487,90535.1,53.1,14870,21300,28580,13710,8780,13250,16340,18900,23780,26740,30760,38220,4.4,5.677,0.312,66.1,59.0,2.6,4.4,29.6,4.3
8203,Oyonnax,26550,63956,42953.1,49.5,12770,19600,26940,14160,7130,11130,14370,17050,22150,25090,29140,36320,5.1,6.872,0.343,68.5,61.8,3.5,3.2,27.1,4.4
