Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2017,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 23/01/2020       Géographie au 01/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nbre de ménages fiscaux,Nbre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,Part des ménages fiscaux imposés (%),1er quartile (€),Médiane (€),3e quartile (€),Écart interquartile (€),1er décile (€),2e décile (€),3e décile  (€),4e décile (€) ,6e décile (€),7e décile (€),8e décile (€) ,9e décile (€),Rapport interdécile D9/D1,S80/S20,Indice de Gini,Part des revenus d’activité (%),dont part des salaires et traitements (%),dont part des indemnités de chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des autres revenus (%)
CODGEO,LIBGEO,NBMEN17,NBPERS17,NBUC17,PMIMP17,Q117,Q217,Q317,Q3_Q1,D117,D217,D317,D417,D617,D717,D817,D917,RD,S80S2017,GI17,PACT17,PTSA17,PCHO17,PBEN17,PPEN17,PAUT17
1105,Melun,154935,393199,258750.4,61.5,15310,23260,32250,16950,8350,13320,17050,20250,26400,30050,34930,43610,5.2,6.842,0.339,72.6,66.4,2.8,3.5,22.9,4.5
1106,Montereau-Fault-Yonne,17345,44676,29193.9,48.0,10790,18650,26240,15440,4350,8960,12560,15710,21370,24370,28390,34890,8.0,9.453,0.354,68.4,62.4,3.5,2.6,28.4,3.2
1107,Nemours,19902,48355,32440.7,54.0,14210,21080,28590,14380,7790,12440,15690,18480,23790,26840,30780,38130,4.9,6.310,0.323,67.2,60.1,3.0,4.1,28.2,4.6
1108,Provins,17562,42926,28707.9,51.5,13630,20270,27650,14020,7450,11790,15100,17710,22770,25840,29850,36910,5.0,6.610,0.332,67.0,59.1,3.0,4.9,27.7,5.3
1109,Houdan,15066,38534,25506.2,75.6,22450,31190,42910,20460,15530,20430,24270,27730,35010,39870,46700,60300,3.9,5.166,0.319,71.1,64.5,2.3,4.3,22.3,6.6
1110,Mantes-la-Jolie,65372,174538,112583.6,56.6,12990,21140,29760,16760,6850,11100,14780,18080,24260,27720,32170,39530,5.8,7.301,0.340,72.8,66.7,3.5,2.6,23.9,3.3
1111,Poissy,97484,254763,165451.7,64.0,14920,24140,35350,20430,8170,12890,16880,20600,28060,32650,38690,49510,6.1,7.814,0.364,75.5,69.6,3.0,3.0,20.9,3.6
1112,Rambouillet,30061,74048,49540.8,72.8,20600,28870,39100,18500,13930,18790,22260,25570,32350,36500,42400,53350,3.8,5.028,0.309,70.8,65.3,2.2,3.3,24.2,5.0
1113,Plaisir,21210,55647,36230.8,72.1,18680,27700,38090,19410,11090,16600,20700,24340,31430,35620,41310,50970,4.6,5.716,0.315,76.1,70.9,2.4,2.8,20.2,3.7
1114,Étampes,24785,61592,40848.7,60.1,15240,22500,30750,15510,8820,13440,16930,19760,25470,28690,33110,40450,4.6,5.851,0.313,71.0,65.1,2.7,3.2,24.7,4.3
1115,Évry,130873,347776,224072.7,59.0,12560,21430,30920,18360,6410,10590,14440,18030,24870,28680,33540,41750,6.5,8.285,0.359,75.7,70.0,3.1,2.6,21.0,3.3
1116,Saclay,470112,1181355,780373.8,70.7,17980,27660,39820,21840,10130,15740,20030,23870,31800,36790,43570,55890,5.5,7.178,0.357,74.0,68.8,2.3,2.9,21.3,4.7
1117,Créteil,218145,567489,370278.7,64.6,15110,23900,33620,18510,8250,13030,17030,20570,27280,31250,36430,45280,5.5,6.993,0.339,74.2,68.2,2.8,3.2,22.0,3.8
1118,Orly,201368,510137,334252.5,55.5,11100,19490,29260,18170,5490,9350,12810,16140,23000,26950,32080,40230,7.3,9.232,0.372,76.9,70.8,3.5,2.5,20.1,3.0
1119,Cergy,152939,404469,261546.2,63.3,14920,23560,33020,18100,8070,12860,16850,20350,26970,30770,35690,44110,5.5,6.799,0.333,77.0,71.1,3.1,2.8,19.9,3.1
2101,Charleville-Mézières,95575,214079,147996.3,41.9,11600,18430,25590,13990,5140,9910,13200,15930,20980,23850,27690,34260,6.7,8.586,0.351,63.3,55.2,3.3,4.8,31.7,5.0
2102,Troyes,134853,299650,207144.8,47.5,12840,19580,26940,14100,6180,11010,14440,17200,22100,25080,29240,37130,6.0,8.008,0.353,64.0,53.8,3.3,7.0,30.0,6.0
2103,Châlons-en-Champagne,44612,100518,69042.8,51.2,13920,20650,27890,13970,7380,12130,15510,18190,23150,26050,30160,37480,5.1,6.646,0.326,66.1,57.7,2.7,5.7,28.8,5.1
2104,Épernay,47767,106570,73847.0,57.0,15300,22040,30550,15240,9230,13630,16780,19490,24870,28300,33480,44190,4.8,6.606,0.349,65.2,49.1,2.5,13.5,25.9,8.9
2105,Reims,149590,336632,231222.7,52.0,13280,20950,29720,16440,6270,11310,15020,18100,23920,27490,32510,42170,6.7,9.017,0.374,68.9,58.8,2.8,7.3,25.6,5.5
2106,Chaumont - Langres,48926,104790,73860.1,46.5,14290,20040,26510,12220,8530,12780,15560,17830,22330,24960,28490,34780,4.1,5.409,0.302,61.5,53.2,2.6,5.7,34.0,4.5
2107,Vitry-le-François - Saint-Dizier,48477,107748,74758.8,42.7,12360,18510,25000,12640,6460,10700,13800,16210,20840,23440,26900,33200,5.1,6.774,0.326,61.3,53.3,3.4,4.6,34.2,4.5
2201,Château-Thierry,27736,66775,44843.5,51.1,13680,20070,27350,13670,7740,12050,15120,17700,22690,25630,29460,36960,4.8,6.380,0.330,67.2,57.2,3.2,6.9,26.9,5.9
2202,Tergnier,23448,53974,36849.6,42.1,10900,17890,24750,13850,4540,8960,12670,15340,20280,23080,26700,32830,7.2,8.866,0.348,63.6,56.1,3.7,3.9,33.1,3.3
2203,La Thiérache,23913,54657,37405.2,37.6,10180,16700,23300,13130,4000,8410,11680,14320,19070,21740,25150,30800,7.7,9.429,0.354,61.3,52.4,3.4,5.6,33.3,5.4
2204,Laon,40994,96243,65169.1,44.0,12120,18820,25880,13760,5950,10380,13730,16350,21310,24160,28000,34720,5.8,7.679,0.343,65.8,57.6,3.3,4.9,29.3,4.9
2205,Saint-Quentin,57294,132102,90143.9,43.6,10900,18160,25470,14570,4460,9050,12610,15560,20700,23660,27660,34660,7.8,9.992,0.372,64.3,55.6,3.4,5.3,31.3,4.4
2206,Soissons,39246,91374,62187.8,45.6,12480,19130,26110,13630,6330,10770,14040,16690,21640,24490,28310,35220,5.6,7.338,0.340,65.0,56.9,3.5,4.6,30.6,4.4
2207,Beauvais,100282,249242,165347.2,52.5,14090,20840,28070,13980,7730,12260,15640,18340,23370,26310,30240,36800,4.8,6.188,0.316,70.3,63.1,3.2,4.0,25.9,3.8
2208,Compiègne,81839,197668,132656.4,54.3,14680,21480,29620,14930,8340,12970,16170,18870,24300,27580,32030,40020,4.8,6.339,0.329,69.9,62.9,3.1,4.0,25.9,4.2
2209,Abbeville,29489,67401,46323.6,43.8,12390,18810,25830,13440,6240,10630,13900,16450,21210,24140,28050,35300,5.7,7.686,0.349,61.6,51.7,3.1,6.9,32.6,5.8
2210,Amiens,157727,364171,248395.2,48.4,12850,19940,27700,14850,6180,10940,14510,17330,22630,25830,30000,37660,6.1,8.149,0.354,67.8,59.3,3.1,5.4,27.3,4.9
2211,Péronne,23145,54494,36974.6,42.5,12190,18430,25110,12910,6320,10530,13650,16130,20760,23490,27160,33660,5.3,7.213,0.338,64.3,55.1,3.6,5.6,30.7,5.0
2301,Bernay,25143,56575,39053.3,47.8,13790,19800,26890,13110,7720,12120,15170,17620,22260,25170,29070,35610,4.6,6.080,0.316,61.3,53.3,3.1,4.9,33.7,5.0
2302,Évreux,90177,214427,144496.0,52.0,14260,20890,28280,14020,7600,12470,15770,18400,23450,26440,30500,37490,4.9,6.419,0.323,67.4,60.2,3.2,3.9,28.2,4.4
2303,Pont-Audemer,22361,52387,35525.2,47.1,14070,20070,27100,13030,8320,12550,15360,17870,22500,25360,29340,36160,4.3,5.753,0.313,66.4,58.7,3.2,4.5,29.0,4.6
2304,Vernon - Gisors,49735,121526,81234.0,54.0,14500,21170,28940,14440,8280,12810,15990,18680,23790,27010,31260,38800,4.7,6.114,0.321,68.6,61.4,3.4,3.8,27.3,4.1
2305,Dieppe - Caux maritime,53311,120654,83153.5,47.1,13650,19750,26850,13200,7460,11990,15020,17420,22150,25050,29090,36420,4.9,6.445,0.325,63.2,54.9,3.0,5.3,32.5,4.3
2306,Le Havre,169513,389949,265934.4,50.1,13370,20420,28320,14950,6600,11490,14980,17800,23190,26410,30650,38090,5.8,7.604,0.343,67.3,59.7,3.4,4.3,29.0,3.7
2307,Rouen,346951,795039,542789.5,51.1,13890,20950,28830,14940,6920,11950,15510,18320,23650,26850,31200,38990,5.6,7.396,0.341,68.5,60.9,3.1,4.4,27.7,3.8
2401,Bourges,87386,189515,132579.9,50.8,14350,20740,28010,13650,7700,12620,15790,18360,23220,26210,30180,37210,4.8,6.334,0.319,63.2,56.1,2.6,4.4,32.6,4.2
2402,Saint-Amand-Montrond,16734,33936,24510.3,40.0,12310,18160,24460,12150,5950,10710,13680,15970,20380,22970,26430,32640,5.5,7.021,0.328,52.6,44.0,3.0,5.6,43.0,4.4
2403,Vierzon,20746,44739,31378.7,42.7,12260,18800,25160,12900,4930,10310,13960,16570,20990,23640,27100,33180,6.7,8.252,0.337,58.2,51.3,3.2,3.7,37.9,3.9
2404,Chartres,105281,247264,167498.1,56.4,15780,22160,29640,13860,9640,14160,17220,19750,24720,27770,31880,39260,4.1,5.292,0.303,68.3,61.2,2.8,4.2,27.3,4.4
2405,Châteaudun,15855,35067,24345.1,46.4,13640,19550,26050,12410,7200,11830,15030,17350,21800,24480,27940,34310,4.8,6.043,0.312,57.8,49.9,2.9,5.1,37.1,5.1
2406,Dreux,44948,115090,75465.5,51.0,13210,20430,28110,14900,6760,11300,14870,17730,23090,26230,30330,37450,5.5,7.185,0.338,68.6,61.2,3.5,4.0,27.3,4.1
2407,Le Blanc,10048,20339,14710.0,39.0,13040,18310,24410,11360,7730,11720,14290,16290,20460,22990,26390,32650,4.2,5.585,0.306,52.7,44.4,2.3,6.0,42.7,4.6
2408,Issoudun,9070,19018,13525.0,47.2,14170,19980,26500,12330,8000,12530,15520,17850,22230,24790,28550,34840,4.4,5.743,0.308,62.0,54.9,2.9,4.2,33.2,4.8
2409,Châteauroux,78667,164253,116875.3,44.1,13540,19350,25930,12390,7570,11950,14860,17190,21590,24270,27910,34180,4.5,5.975,0.314,58.9,51.1,2.9,4.9,36.6,4.5
2410,Chinon,15674,34425,24068.7,49.1,14650,20760,28590,13950,9030,13160,16050,18340,23320,26690,31000,38790,4.3,5.618,0.313,60.7,51.7,2.8,6.2,35.0,4.3
2411,Loches,10717,22575,16040.0,42.8,13760,19260,25640,11880,8390,12380,14990,17180,21390,24090,27640,34600,4.1,5.411,0.305,56.4,48.1,3.0,5.3,37.8,5.8
2412,Tours,239376,532454,368259.6,51.4,14710,21220,29160,14450,7990,12940,16200,18760,23900,27130,31610,39680,5.0,6.601,0.332,66.5,59.2,2.9,4.3,29.0,4.5
2413,Blois,78182,176782,121653.0,51.8,14520,20930,28340,13830,7880,12770,15920,18510,23480,26500,30580,37830,4.8,6.236,0.320,63.4,56.0,2.9,4.6,32.2,4.4
2414,Romorantin-Lanthenay,26054,55745,39352.5,44.6,13510,19310,25680,12170,7320,11950,14860,17210,21550,24140,27620,34090,4.7,6.090,0.313,55.8,48.5,3.0,4.3,40.0,4.2
2415,Vendôme,29236,63750,44641.3,48.6,14820,20450,27090,12280,9040,13310,16050,18260,22720,25390,29210,36090,4.0,5.348,0.306,60.6,52.6,2.8,5.1,34.3,5.1
2416,Gien,33071,73143,50790.0,49.8,13710,20110,27250,13540,7440,11940,15190,17700,22530,25500,29290,36180,4.9,6.270,0.320,60.9,53.7,3.1,4.2,34.5,4.6
2417,Montargis,55293,125593,86185.7,48.7,13100,19720,26720,13620,6790,11350,14630,17280,22180,25050,28770,35560,5.2,6.877,0.331,61.4,54.2,3.3,3.9,33.9,4.7
2418,Orléans,206961,485481,328406.7,56.1,14800,21900,30160,15370,8030,12900,16460,19250,24770,28130,32600,40570,5.1,6.523,0.329,68.4,61.9,2.8,3.7,27.1,4.5
2419,Pithiviers,21474,52171,34929.7,50.8,14460,20320,26980,12530,8760,12830,15800,18170,22690,25360,29100,35200,4.0,5.196,0.297,67.1,59.6,3.4,4.2,28.2,4.7
2501,Bayeux,22855,51200,35458.3,47.4,14400,20300,27050,12650,8980,12850,15720,18070,22620,25400,29180,36360,4.0,5.451,0.312,60.2,51.1,2.8,6.3,34.4,5.4
2502,Caen,201831,457280,314230.5,51.7,14890,21270,28790,13900,8640,13250,16300,18850,23810,26900,31170,39120,4.5,6.092,0.325,66.2,58.4,2.9,4.8,29.0,4.8
2503,Honfleur,24681,50981,36515.4,53.3,14560,21190,30250,15690,8740,13000,15950,18570,24220,27820,33290,44730,5.1,7.141,0.369,56.3,46.8,3.0,6.5,34.9,8.8
