Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 25/04/2019      Géographie au 01/01/2015,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nombre de ménages fiscaux,Nombre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,Part des ménages fiscaux imposés (%),1er quartile (€),Médiane (€),3e quartile (€),Ecart interquartile (€),1er décile (€),2e décile (€),3e décile  (€),4e décile (€) ,6e décile (€),7e décile (€),8e décile (€) ,9e décile (€),Rapport interdécile D9/D1,S80/S20,Indice de Gini,Part des salaires et traitements hors chômage (%),Part des indemnités chômage (%),Part des revenus d'activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des autres revenus (%)
CODGEO,LIBGEO,NBMEN14,NBPERS14,NBUC14,PMIMP14,Q114,Q214,Q314,Q3_Q1,D114,D214,D314,D414,D614,D714,D814,D914,RD,S80S2014,GI14,PTSA14,PCHO14,PBEN14,PPEN14,PAUT14
1101,Paris,2568643,5880541,4008358.9,69.4,13198.0,24406.0,39526.0,26328.0,6418.0,10974.0,15422.0,19868.0,29444.0,35638.0,44356.0,60720.0,9.5,13.6,0.5,66.1,2.9,5.4,18.0,7.6
1102,Marne-la-Vallée,128375,341505,220551.3,70.2,14740.0,23398.0,32932.0,18192.0,8138.0,12768.0,16634.0,20110.0,26768.0,30640.0,35658.0,44204.0,5.4,6.9,0.3,73.7,3.1,3.3,16.4,3.5
1103,Coulommiers,26177,66802,43916.7,62.0,14772.0,21218.0,28225.0,13453.0,8742.0,13132.0,16282.0,18856.0,23588.0,26482.0,30316.0,37212.0,4.3,5.6,0.3,63.0,3.0,5.0,24.1,4.9
1104,Meaux,57343,151042,97820.3,63.3,13656.0,21102.0,28942.0,15286.0,7364.0,11820.0,15272.0,18328.0,23934.0,27044.0,31156.0,38320.0,5.2,6.7,0.3,68.2,3.2,3.7,20.8,4.1
1105,Melun,151403,390919,255667.7,67.5,14946.0,22786.0,31472.0,16526.0,8258.0,12992.0,16684.0,19870.0,25818.0,29338.0,34072.0,42466.0,5.1,6.7,0.3,66.3,2.8,3.9,22.5,4.5
1106,Montereau-Fault-Yonne,16771,43321,28281.5,55.2,11136.0,18474.0,25946.0,14810.0,5266.0,9510.0,12710.0,15780.0,21260.0,24268.0,28050.0,34260.0,6.5,8.1,0.3,62.1,3.4,3.2,27.9,3.4
1107,Nemours,19910,49188,32744.5,61.5,13808.0,20556.0,28122.0,14314.0,7824.0,12034.0,15304.0,17970.0,23180.0,26316.0,30290.0,37332.0,4.8,6.3,0.3,60.0,3.1,4.9,27.2,4.8
1108,Provins,17207,42734,28400.0,58.5,13402.0,19792.0,27346.0,13944.0,7568.0,11790.0,14818.0,17366.0,22436.0,25410.0,29578.0,36540.0,4.8,6.5,0.3,58.6,3.1,6.2,26.8,5.3
1109,Houdan,14444,37507,24704.9,79.9,21638.0,30332.0,41882.0,20244.0,14876.0,19716.0,23558.0,26998.0,34098.0,38966.0,45116.0,58086.0,3.9,5.3,0.3,64.6,2.2,4.6,21.9,6.7
1110,Mantes-la-Jolie,64273,175305,112305.6,63.0,12710.0,20628.0,28970.0,16260.0,6788.0,10892.0,14422.0,17652.0,23666.0,27006.0,31328.0,38582.0,5.7,7.2,0.3,66.6,3.4,3.0,23.4,3.6
