Analyse fonctionnelle des emplois,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Emplois dans les fonctions et emplois des cadres des fonctions métropolitaines dans les communes en 2006,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Recensement de la population 2006 exploitation complémentaire au lieu de travail",,,,,,,,,,,,,,,,,,,,,,,,,
Champ : France (y compris les DOM hors Mayotte),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Emploi des cadres des fonctions métropolitaines,,,,,
Commune,,Code,,,Emploi dans la fonction :,,,,,,,,,,,,,,,Fonction,,,,,
Code,Libellé,Région,Département,Emploi total,Administration publique,Agriculture,Bâtiment-Travaux Publics,Commerce inter-entreprises,"Conception, Recherche","Culture, Loisirs",Distribution,"Education, Formation","Entretien, Réparation",Fabrication,Gestion,"Transports, Logistique",Prestations Intellectuelles,"Santé, Action Sociale",Services de Proximité,"Commerce 
inter-entreprises","Conception, Recherche","Culture, Loisirs",Gestion,Prestations Intellectuelles,Total
CODGEO,LIBGEO,REG,DEP,ELT06,ADMPUB06,AGRICU06,BTP06,COMINT06,CONREC06,CULLOI06,DISTRI06,EDUFOR06,ENTREP06,FABRIC06,GESTIO06,LOGIST06,PREINT06,SANSOC06,SERPRO06,COMINT_CAD06,CONREC_CAD06,CULLOI_CAD06,GESTIO_CAD06,PREINT_CAD06,CFM06
01038,Bény,84,01,67,0,24,8,0,0,4,4,0,0,4,0,0,4,0,19,0,0,0,0,0,0
01039,Béon,84,01,52,4,0,8,0,0,0,4,4,8,8,8,0,0,0,8,0,0,0,0,0,0
01040,Béréziat,84,01,44,4,16,0,0,0,0,0,12,0,4,0,4,0,0,4,0,0,0,0,0,0
01041,Bettant,84,01,91,4,8,8,0,0,0,4,16,12,0,4,0,3,8,24,0,0,0,0,0,0
01042,Bey,84,01,20,4,0,12,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
01043,Beynost,84,01,"3,049",61,16,118,230,106,22,541,72,177,573,412,297,96,119,210,67,59,7,85,20,238
01044,Billiat,84,01,65,4,8,22,4,0,0,0,4,4,11,5,0,0,4,0,0,0,0,1,0,1
01045,Birieux,84,01,62,12,12,8,4,0,0,0,0,0,7,4,0,4,0,12,0,0,0,0,0,0
01046,Biziat,84,01,101,0,28,24,0,0,0,0,4,11,0,4,12,3,4,12,0,0,0,0,0,0
01047,Blyes,84,01,795,24,0,50,38,5,0,4,8,112,200,91,171,29,19,44,9,5,0,19,0,34
01049,La Boisse,84,01,879,20,8,47,36,20,7,65,103,87,172,93,79,23,52,67,11,9,7,19,0,46
01050,Boissey,84,01,24,0,16,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
01051,Bolozon,84,01,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0
01052,Bouligneux,84,01,58,4,15,0,0,0,0,0,4,4,0,0,0,0,8,24,0,0,0,0,0,0
01053,Bourg-en-Bresse,84,01,"31,973","3,551",179,"1,547",890,357,485,"2,812","1,980","2,176","3,466","5,288","2,438",855,"3,557","2,391",141,171,243,"1,127",250,"1,933"
01054,Bourg-Saint-Christophe,84,01,123,0,4,4,4,4,0,22,8,19,0,4,0,11,12,30,4,0,0,0,11,15
01056,Boyeux-Saint-Jérôme,84,01,56,4,36,0,0,0,0,0,8,0,4,0,0,4,0,0,0,0,0,0,0,0
01057,Boz,84,01,48,0,0,0,0,4,0,12,4,4,13,7,4,0,0,0,0,0,0,0,0,0
01058,Brégnier-Cordon,84,01,282,16,4,24,13,0,0,28,12,12,81,40,4,0,27,20,4,0,0,8,0,12
01060,Brénod,84,01,99,24,8,8,0,0,0,0,4,4,7,4,13,8,8,12,0,0,0,4,0,4
01061,Brens,84,01,73,0,8,0,4,8,0,8,4,20,0,4,8,0,0,8,0,0,0,0,0,0
01062,Bressolles,84,01,189,4,4,12,5,8,4,0,0,3,49,29,60,8,0,5,1,0,4,21,0,26
01063,Brion,84,01,460,4,0,51,15,20,0,3,0,12,244,45,32,7,4,24,4,7,0,23,0,33
01064,Briord,84,01,706,12,4,17,39,20,8,12,20,36,332,78,63,16,20,29,11,16,0,20,0,47
01065,Buellas,84,01,244,16,34,20,13,0,0,25,12,12,42,4,8,0,30,29,4,0,0,4,0,9
01066,La Burbanche,84,01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
01067,Ceignes,84,01,76,0,0,14,0,0,0,16,6,0,13,4,9,0,4,11,0,0,0,4,0,4
01068,Cerdon,84,01,174,8,20,36,4,4,0,16,12,20,5,8,13,0,12,16,0,0,0,0,0,0
01069,Certines,84,01,338,4,19,49,16,11,3,23,8,49,54,14,51,4,11,23,0,8,3,3,0,14
01071,Cessy,84,01,733,8,0,115,19,4,8,100,32,83,47,85,94,8,35,94,7,0,4,5,0,16
01072,Ceyzériat,84,01,918,16,36,79,35,4,18,38,9,104,147,104,55,78,86,109,24,4,9,20,15,71
01073,Ceyzérieu,84,01,107,0,8,28,0,0,4,4,12,4,4,0,12,0,4,27,0,0,4,0,0,4
01074,Chalamont,84,01,656,24,48,57,24,8,4,48,16,36,75,67,92,4,61,92,15,4,0,16,0,35
01075,Chaleins,84,01,445,24,20,24,11,4,8,21,0,51,153,44,16,8,8,53,4,0,8,20,0,32
01076,Chaley,84,01,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01077,Challes-la-Montagne,84,01,16,4,4,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,4
01078,Challex,84,01,151,0,12,27,3,0,4,16,12,16,4,8,4,0,17,27,0,0,0,4,0,4
