Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2016,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 26/07/2019       Géographie au 01/01/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nbre de ménages fiscaux,Nbre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,Part des ménages fiscaux imposés (%),1er quartile (€),Médiane (€),3e quartile (€),Écart interquartile (€),1er décile (€),2e décile (€),3e décile  (€),4e décile (€) ,6e décile (€),7e décile (€),8e décile (€) ,9e décile (€),Rapport interdécile D9/D1,S80/S20,Indice de Gini,Part des revenus d’activité (%),dont part des salaires et traitements (%),dont part des indemnités chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des autres revenus (%)
CODGEO,LIBGEO,NBMEN16,NBPERS16,NBUC16,PMIMP16,Q116,Q216,Q316,Q3_Q1,D116,D216,D316,D416,D616,D716,D816,D916,RD,S80S2016,GI16,PACT16,PTSA16,PCHO16,PBEN16,PPEN16,PAUT16
1105,Melun,152386,387226,254862.9,61.8,15194,23130,31962,16768,8288,13216,16966,20120,26200,29798,34614,43194,5.2,6.814,0.338,72.4,66.2,2.7,3.5,23.0,4.6
1106,Montereau-Fault-Yonne,16985,43745,28601.2,48.8,11084,18668,26346,15262,4716,9360,12782,15860,21480,24530,28382,34594,7.3,8.911,0.350,68.3,62.2,3.4,2.7,28.2,3.5
1107,Nemours,19776,48145,32284.3,54.6,14086,20948,28368,14282,7988,12338,15640,18298,23592,26642,30582,37528,4.7,6.278,0.322,67.4,60.2,3.0,4.2,28.0,4.6
1108,Provins,17315,42347,28327.2,51.5,13630,20130,27320,13690,7574,11934,15024,17678,22556,25530,29640,36756,4.9,6.442,0.329,66.9,58.9,3.0,5.0,27.8,5.3
1109,Houdan,14758,38004,25129.6,75.6,22002,30542,42480,20478,15200,20022,23924,27224,34490,39262,46290,59486,3.9,5.182,0.319,70.9,64.4,2.2,4.3,22.4,6.7
1110,Mantes-la-Jolie,64805,174025,112113.7,56.5,12796,20918,29470,16674,6740,10888,14590,17894,23988,27456,31840,39216,5.8,7.354,0.341,72.7,66.7,3.4,2.6,23.9,3.4
1111,Poissy,96239,252970,164096.4,64.2,14776,23928,34936,20160,8082,12704,16691,20334,27752,32240,38196,48674,6.0,7.772,0.363,75.3,69.4,3.0,3.0,21.1,3.6
1112,Rambouillet,29566,73516,49065.5,72.8,20282,28456,38716,18434,13494,18386,21934,25170,31908,36036,41892,52408,3.9,5.108,0.311,70.8,65.3,2.2,3.3,24.2,5.0
1113,Plaisir,21039,55522,36099.3,71.8,18400,27332,37426,19026,10898,16294,20478,23892,30830,34946,40386,50064,4.6,5.741,0.317,75.9,70.6,2.4,2.9,20.2,3.9
1114,Étampes,24654,61645,40818.5,59.8,15072,22402,30410,15338,8706,13342,16735,19632,25268,28506,32772,40112,4.6,5.846,0.313,71.0,65.1,2.7,3.3,24.6,4.4
1115,Évry,129399,346248,222731.2,59.3,12322,21290,30652,18330,6276,10370,14252,17880,24654,28430,33244,41300,6.6,8.350,0.359,75.7,70.1,3.1,2.6,21.2,3.1
1116,Saclay,468101,1182998,780472.1,70.8,17792,27328,39270,21478,10102,15586,19824,23594,31388,36282,42898,55014,5.4,7.124,0.356,73.9,68.7,2.3,2.9,21.4,4.7
1117,Créteil,215694,562458,367008.1,65.0,15100,23698,33332,18232,8258,12988,16982,20450,27119,31000,36088,44818,5.4,6.908,0.338,74.0,68.0,2.7,3.3,22.1,3.9
1118,Orly,201115,511960,335114.2,55.5,10986,19278,28924,17938,5426,9296,12674,15982,22718,26664,31606,39704,7.3,9.172,0.370,76.9,70.9,3.5,2.4,20.2,2.9
