Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2016,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 26/07/2019       Géographie au 01/01/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nbre de ménages fiscaux,Nbre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,Part des ménages fiscaux imposés (%),1er quartile (€),Médiane (€),3e quartile (€),Écart interquartile (€),1er décile (€),2e décile (€),3e décile  (€),4e décile (€) ,6e décile (€),7e décile (€),8e décile (€) ,9e décile (€),Rapport interdécile D9/D1,S80/S20,Indice de Gini,Part des revenus d’activité (%),dont part des salaires et traitements (%),dont part des indemnités chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des autres revenus (%)
CODGEO,LIBGEO,NBMEN16,NBPERS16,NBUC16,PMIMP16,Q116,Q216,Q316,Q3_Q1,D116,D216,D316,D416,D616,D716,D816,D916,RD,S80S2016,GI16,PACT16,PTSA16,PCHO16,PBEN16,PPEN16,PAUT16
2611,Le Charolais,37687,80761,57068.5,43.0,14086,19130,25300,11214,8956,12798,15188,17196,21244,23738,27234,33428,3.7,4.934,0.292,57.5,48.2,2.7,6.6,37.3,5.2
2612,Auxerre,90790,199080,138773.7,48.9,13326,19678,26808,13482,7084,11546,14780,17328,22158,25010,28895,35848,5.1,6.743,0.331,60.2,51.6,2.8,5.7,34.7,5.1
2613,Avallon,10344,22050,15595.4,44.9,13400,19156,25664,12264,7640,11750,14694,17070,21380,24024,27754,34485,4.5,6.077,0.320,57.6,48.3,2.6,6.7,36.8,5.6
2614,Sens,46977,108790,74098.0,50.7,13674,20088,27040,13366,7638,11928,15138,17702,22524,25278,29072,35910,4.7,6.229,0.320,63.7,56.2,3.0,4.5,31.7,4.6
3110,Roubaix - Tourcoing,165729,418753,275042.6,43.9,9902,17932,26262,16360,3382,8002,11724,15006,20878,24256,28744,37032,10.9,13.586,0.409,70.3,62.4,3.9,4.1,24.0,5.7
3111,Lille,325402,753229,511900.0,52.9,13026,21156,30690,17664,5952,10916,14882,18140,24398,28278,33648,43262,7.3,9.700,0.381,73.1,64.8,3.0,5.2,22.0,4.9
3112,Dunkerque,103970,246548,166717.1,45.9,12018,18810,26146,14128,6106,10358,13576,16298,21407,24350,28274,35330,5.8,7.559,0.344,67.1,59.1,3.8,4.2,29.0,3.9
3113,La Flandre - Lys,49609,123635,82234.1,48.4,14364,20346,27250,12886,8812,12900,15720,18088,22826,25560,29332,35930,4.1,5.355,0.305,68.8,60.7,2.9,5.2,25.9,5.3
3114,Douai,98490,242344,161528.4,41.5,11194,18068,25696,14502,5132,9508,12748,15540,20746,23836,27758,34470,6.7,8.722,0.355,68.3,60.9,3.4,4.0,28.5,3.2
3115,Valenciennes,139686,339808,226825.7,38.7,9607,16690,24358,14751,3412,7924,11164,14042,19434,22540,26472,33144,9.7,11.651,0.385,67.9,59.9,3.8,4.2,28.0,4.1
3116,Cambrai,73157,174717,117805.5,41.3,11500,17994,25018,13518,5584,9830,13012,15636,20422,23280,27068,33820,6.1,8.174,0.352,66.3,56.8,3.8,5.8,29.2,4.5
3117,Maubeuge,92349,222141,149087.5,38.9,9530,16726,24206,14676,3012,7800,11106,14034,19380,22414,26352,33022,11.0,12.261,0.384,64.9,55.9,3.8,5.2,30.3,4.8
3121,Arras,99696,237892,160568.0,48.5,13278,20006,27622,14344,7258,11558,14756,17470,22650,25730,29924,37430,5.2,6.976,0.340,68.1,59.2,2.8,6.1,27.3,4.6
3122,Lens - Hénin,145623,358190,238147.4,34.8,9268,15958,22636,13368,3670,7728,10722,13470,18446,21080,24446,30014,8.2,9.970,0.362,68.2,60.8,4.1,3.3,29.5,2.3
3123,Béthune - Bruay,118283,287500,192503.5,40.5,11531,18056,25080,13549,5624,9830,12996,15618,20588,23402,27136,33527,6.0,7.960,0.346,68.2,60.6,3.1,4.4,28.5,3.3
3124,Saint-Omer,47507,115987,77622.6,41.7,11758,18154,24686,12928,6224,10188,13208,15774,20530,23108,26648,33068,5.3,7.216,0.339,67.8,59.7,3.1,5.0,27.6,4.6
3125,Calais,66244,162599,108221.4,41.5,10912,17794,24914,14002,4578,9172,12462,15210,20302,23228,26946,33184,7.2,9.155,0.356,68.9,60.1,4.0,4.8,27.1,4.0
3126,Boulogne-sur-mer,66538,157791,106756.3,41.7,11122,17790,25192,14070,5428,9478,12646,15276,20358,23354,27440,34824,6.4,8.845,0.368,65.5,56.3,3.7,5.5,29.5,5.0
3127,Berck - Montreuil,45738,104595,71872.5,45.1,12478,18750,26096,13618,7032,10887,13916,16378,21260,24186,28340,36042,5.1,7.171,0.351,59.3,49.9,3.2,6.2,34.1,6.6
4101,Longwy,45469,103265,70922.9,30.6,13254,20486,29350,16096,6460,11458,14738,17574,23574,27234,31846,39428,6.1,7.679,0.342,34.5,28.8,2.8,2.9,22.1,43.4
4102,Lunéville,13978,31624,21729.3,42.5,12476,18828,25562,13086,5952,10646,13976,16586,21152,23848,27438,33588,5.6,7.428,0.333,64.3,56.5,3.3,4.6,32.0,3.7
4103,Nancy,214415,476165,329958.4,52.3,14126,21202,29320,15194,7176,12204,15740,18538,24002,27282,31804,40018,5.6,7.426,0.344,67.5,59.7,2.8,5.0,28.1,4.4
4104,Bar-le-Duc,25948,57366,40021.3,49.0,14194,20233,26830,12636,8226,12614,15540,17928,22516,25250,28828,35078,4.3,5.649,0.307,62.2,54.8,2.7,4.7,33.6,4.2
4105,Commercy,18287,42190,28871.1,42.7,12784,18631,25138,12354,7344,11316,14094,16440,20962,23590,26949,33234,4.5,5.860,0.311,63.0,53.7,3.2,6.1,32.1,4.9
4106,Verdun,26174,58350,40449.5,43.5,12892,19098,25794,12902,6904,11316,14306,16720,21450,24072,27778,34555,5.0,6.753,0.329,62.1,53.2,2.6,6.3,31.7,6.2
4107,Metz,212211,484571,332682.4,47.6,13872,20930,29290,15418,7474,12094,15424,18222,23818,27218,31796,39874,5.3,7.097,0.343,61.4,54.1,3.1,4.2,26.2,12.4
4108,Forbach,89571,207630,142331.7,42.9,12000,18566,25928,13928,5898,10254,13514,16150,21206,24144,28135,35147,6.0,7.858,0.348,62.8,55.2,3.9,3.8,33.0,4.2
4109,Sarrebourg,30007,69751,47814.9,46.0,14158,19926,26514,12356,8662,12752,15452,17690,22262,24954,28348,34480,4.0,5.213,0.299,65.7,58.4,2.9,4.4,30.2,4.1
4110,Sarreguemines,46590,108075,74208.9,48.0,14396,20782,28404,14008,8342,12816,15778,18282,23390,26498,30586,38016,4.6,6.096,0.323,67.8,60.8,3.2,3.8,27.8,4.4
4111,Thionville,91839,211710,144654.3,36.5,14370,21960,31484,17114,7696,12612,15964,18920,25224,29124,34368,43190,5.6,7.281,0.345,38.4,32.8,2.8,2.8,22.2,39.4
4112,Épinal,69918,155944,107967.5,44.4,12822,19204,26186,13364,6522,11134,14326,16876,21630,24494,28224,35144,5.4,7.199,0.336,64.7,56.7,3.2,4.8,31.0,4.3
4113,Remiremont,37328,80741,56803.8,43.3,13994,19246,25612,11618,8426,12516,15158,17258,21320,23942,27534,34060,4.0,5.433,0.309,60.0,52.6,3.3,4.2,34.5,5.5
4114,Saint-Dié-des-Vosges,37750,82491,57687.6,41.4,12602,18570,24972,12370,6532,10992,13996,16402,20778,23380,26872,32880,5.0,6.640,0.323,61.6,53.1,4.0,4.5,34.4,4.0
4115,Neufchâteau,22551,49223,34508.8,44.4,13344,19164,25942,12598,7564,11813,14624,16917,21518,24246,28104,34616,4.6,5.927,0.315,61.1,52.9,3.0,5.2,34.5,4.4
4201,Haguenau,81956,199598,134603.0,56.5,16406,22708,30260,13854,10518,14892,17758,20254,25326,28400,32546,39662,3.8,4.874,0.293,70.7,64.6,2.8,3.4,25.3,4.0
4202,Molsheim - Obernai,56271,134607,91303.3,59.1,16970,23420,31426,14456,11342,15422,18388,20944,26142,29394,33936,41932,3.7,4.824,0.297,69.1,62.3,2.5,4.3,25.5,5.4
4203,Saverne,31777,76667,51931.1,52.2,15418,21576,28684,13266,9930,13978,16748,19218,23990,26900,30800,37692,3.8,4.901,0.293,67.8,61.0,2.8,4.1,27.9,4.3
4204,Sélestat,35450,85259,57602.4,53.8,15634,21903,29246,13612,9776,14100,17006,19550,24474,27488,31656,39118,4.0,5.291,0.306,69.8,62.6,2.8,4.3,25.0,5.2
4205,Strasbourg,241857,548107,376427.3,54.6,12572,21220,30784,18212,5600,10404,14550,18018,24538,28436,33694,43498,7.8,10.441,0.390,69.3,61.3,3.0,4.9,25.1,5.6
4206,Wissembourg,16660,39833,27105.5,57.6,16842,23622,32842,16000,11088,15286,18270,21082,26830,30642,35354,43582,3.9,4.988,0.299,75.3,69.7,2.5,3.1,21.0,3.7
4207,Colmar,83394,190459,131009.7,56.8,15396,22326,30606,15210,8976,13630,16932,19730,25194,28580,33252,42392,4.7,6.305,0.334,67.7,59.8,2.7,5.2,26.8,5.5
4208,Mulhouse,177938,419429,284429.9,53.3,13564,21328,30450,16886,6726,11532,15322,18400,24454,28128,33374,43136,6.4,8.412,0.366,69.4,62.5,3.4,3.5,26.7,3.9
4209,Saint-Louis,51249,121073,82197.7,68.5,19272,30784,47108,27836,11066,16956,21460,25946,36382,43122,51930,68112,6.2,7.896,0.372,77.1,72.6,2.8,1.7,20.0,2.9
4301,Besançon,128820,291174,199842.5,52.3,14486,21026,28836,14350,7980,12766,15982,18524,23676,26864,31234,39064,4.9,6.543,0.330,68.2,60.2,2.8,5.1,27.2,4.6
4302,Belfort - Montbéliard - Héricourt,157084,358624,245767.7,49.4,13334,20166,27836,14502,7068,11534,14830,17580,22810,25926,30158,37680,5.3,6.897,0.333,67.3,60.1,3.5,3.7,29.4,3.3
4303,Morteau,20510,48636,32763.1,68.9,19970,30376,44326,24356,13594,17970,21982,25940,35236,40896,47996,58796,4.3,5.300,0.313,81.5,74.7,3.5,3.3,15.6,2.9
4304,Pontarlier,27769,65346,44108.6,64.9,18350,27004,39762,21412,12078,16494,20020,23342,31298,36512,43630,54378,4.5,5.567,0.322,79.4,72.1,3.1,4.2,16.8,3.8
4305,Dole,30955,69562,47992.7,49.0,14142,20200,26958,12816,8182,12438,15600,17908,22546,25324,28916,35696,4.4,5.808,0.311,62.8,55.8,2.6,4.3,33.3,3.9
4306,Lons-le-Saunier,53561,115721,81303.0,49.2,14486,20388,27354,12868,9106,13108,15804,18100,22766,25568,29510,36352,4.0,5.295,0.306,62.2,54.2,2.7,5.3,33.2,4.6
4307,Saint-Claude,22836,52905,36111.0,57.1,15778,22908,33386,17608,9664,14122,17280,20064,26280,30568,36766,47760,4.9,6.095,0.333,73.2,66.6,3.3,3.3,23.0,3.8
4308,Gray,11809,26250,18246.3,43.5,13000,18648,24980,11980,7433,11430,14246,16504,20826,23388,26988,33508,4.5,6.087,0.319,60.1,51.3,2.9,6.0,34.7,5.2
4309,Vesoul,50865,112800,78346.9,44.6,13110,19017,25492,12382,7519,11556,14424,16802,21296,23906,27450,33582,4.5,5.919,0.313,62.0,54.4,2.8,4.9,33.9,4.1
5201,Ancenis,15548,38785,25628.8,43.9,14472,19474,25202,10730,9656,13212,15656,17634,21462,23760,26840,32164,3.3,4.302,0.270,69.8,62.4,3.1,4.3,25.7,4.5
5202,Châteaubriant,15268,35910,24362.2,37.9,12761,17914,23420,10659,7506,11356,14004,16010,19800,22076,25130,30620,4.1,5.565,0.306,64.4,54.6,3.1,6.7,30.3,5.3
5203,Nantes,449478,1055621,713440.5,53.5,15606,21854,29658,14052,9458,14026,16978,19456,24470,27662,32080,40126,4.2,5.640,0.315,72.5,65.0,3.0,4.5,22.9,4.6
5204,Saint-Nazaire,137019,305542,211414.9,51.8,15298,21138,28456,13158,9756,13870,16592,18916,23592,26578,30724,38296,3.9,5.254,0.306,60.3,52.9,3.1,4.3,34.0,5.7
5205,Angers,193079,450200,305485.8,47.8,14354,20248,27370,13016,8164,12760,15726,18048,22654,25578,29608,37226,4.6,6.097,0.322,67.9,59.7,3.1,5.1,27.8,4.3
5206,Cholet,84953,208103,138790.6,44.0,14910,19576,25360,10450,9964,13702,15962,17802,21494,23906,27142,33052,3.3,4.355,0.277,69.4,61.4,2.9,5.1,26.2,4.4
5207,Saumur,41684,95741,65561.4,41.7,13310,18640,24920,11610,7872,11912,14520,16654,20790,23360,26930,33542,4.3,5.665,0.311,61.8,52.2,3.5,6.1,33.3,4.9
5208,Segré,21475,51320,34543.6,38.4,13610,18202,23454,9844,8734,12400,14606,16442,19998,22132,25046,30448,3.5,4.552,0.277,65.5,56.4,3.0,6.1,29.8,4.7
5209,Laval,92675,219280,148077.3,45.9,14428,19696,25961,11533,9134,13130,15626,17722,21782,24338,27910,34336,3.8,5.035,0.298,66.7,58.9,2.6,5.2,28.4,4.9
5210,La Mayenne,22347,51231,35148.5,44.2,14322,19200,24940,10618,9070,12946,15382,17348,21146,23440,26670,32450,3.6,4.752,0.285,63.2,54.3,2.8,6.1,31.1,5.7
5211,La Ferté-Bernard,14906,33656,23213.0,48.2,14440,19774,25627,11187,9020,13146,15702,17796,21760,24220,27486,33116,3.7,4.830,0.287,63.4,56.1,2.7,4.6,32.0,4.6
5212,La Flèche,23164,51032,35599.3,42.0,13520,18758,24710,11190,7880,12038,14728,16834,20794,23184,26564,32796,4.2,5.501,0.304,58.5,50.8,3.1,4.6,36.9,4.6
5213,Le Mans,180140,413014,282269.4,48.9,14126,20220,26918,12792,7568,12424,15552,17972,22544,25262,28980,35690,4.7,6.199,0.316,65.4,58.3,2.8,4.3,30.7,3.9
5214,Sablé-sur-Sarthe,15096,36261,24371.1,45.6,13924,19162,24700,10776,8470,12392,15132,17310,21212,23464,26492,32166,3.8,5.226,0.300,67.1,59.6,3.0,4.5,27.3,5.6
5215,Challans,61319,131915,93079.9,49.3,15126,20360,27172,12046,10436,13848,16286,18354,22636,25422,29272,36274,3.5,4.557,0.289,52.7,44.2,3.0,5.5,40.4,6.9
5216,Fontenay-le-Comte,29180,67174,46049.0,41.7,13694,18794,24690,10996,8510,12360,14810,16872,20828,23242,26542,32656,3.8,5.031,0.294,61.6,52.4,3.0,6.2,33.6,4.8
5217,Les Herbiers,24493,60280,40103.1,44.9,15386,19720,24970,9584,11000,14296,16346,18066,21552,23752,26608,31796,2.9,3.709,0.250,71.4,63.6,2.7,5.1,24.3,4.3
5218,La Roche-sur-Yon,107458,251434,170600.0,46.5,14814,20046,26092,11278,9592,13488,15962,18052,22108,24572,27944,34066,3.6,4.676,0.285,65.6,57.7,3.0,4.9,29.8,4.6
5219,Les Sables-d'Olonne,35261,71741,51889.5,54.6,15766,21794,29778,14012,10502,14376,17024,19384,24442,27770,32238,40390,3.8,5.216,0.315,47.8,39.6,2.9,5.4,45.0,7.2
5301,Dinan,42863,94054,65624.9,50.4,15186,21024,28602,13416,9820,13762,16440,18722,23560,26688,31050,39040,4.0,5.287,0.312,58.1,49.5,3.0,5.6,36.1,5.8
5302,Guingamp,22980,50164,34998.4,41.1,12962,18550,24742,11780,7522,11550,14212,16486,20750,23278,26674,32618,4.3,5.627,0.304,60.0,50.5,3.0,6.5,35.7,4.3
5303,Lannion,42416,90393,63869.4,50.3,14720,20888,28876,14156,9136,13268,16018,18510,23614,26866,31348,39026,4.3,5.479,0.310,54.4,45.5,2.7,6.2,40.5,5.1
5304,Loudéac,15955,36298,24957.1,43.5,13769,19044,24790,11021,8518,12342,14852,16992,21096,23416,26624,31940,3.7,4.986,0.290,61.7,51.3,2.8,7.7,33.4,4.9
5305,Saint-Brieuc,137549,305502,211851.6,48.5,14638,20346,27222,12584,9140,13190,15932,18210,22656,25472,29388,36390,4.0,5.306,0.304,60.8,51.5,2.8,6.4,34.5,4.7
5306,Brest,197861,442020,305198.1,49.7,14956,20835,28110,13154,9268,13538,16272,18584,23268,26242,30318,37386,4.0,5.383,0.306,65.5,56.9,3.1,5.6,30.2,4.3
5307,Carhaix-Plouguer,20536,42091,30238.6,40.2,12678,18176,24436,11758,7178,11378,13904,16112,20434,22852,26246,32174,4.5,5.765,0.307,55.7,44.2,3.0,8.4,40.0,4.3
5308,Morlaix,33356,72240,50606.0,46.7,14322,20022,26748,12426,8750,12876,15556,17864,22264,25090,28856,35622,4.1,5.498,0.309,58.9,48.3,3.0,7.6,36.4,4.7
5309,Quimper,147573,313794,221943.7,48.8,14902,20596,27690,12788,9490,13520,16160,18428,22988,25880,29872,37136,3.9,5.140,0.302,58.7,49.9,2.9,5.9,36.0,5.3
5310,Fougères,28936,66434,45415.5,41.9,14172,19048,24834,10662,9012,12818,15322,17270,21010,23366,26584,32308,3.6,4.811,0.286,65.2,56.9,2.8,5.6,30.2,4.6
5311,Redon,19859,45160,31060.4,43.6,14054,19356,25274,11220,8642,12547,15282,17412,21332,23781,27134,32972,3.8,4.994,0.288,62.4,54.6,3.2,4.5,33.2,4.4
5312,Rennes,328402,772893,521697.5,52.0,15270,21476,29088,13818,9028,13656,16674,19104,24046,27146,31472,39116,4.3,5.735,0.315,72.1,64.4,2.8,4.9,23.2,4.7
5313,Saint-Malo,49143,105228,74082.0,48.8,14628,20498,28216,13588,9164,13228,15918,18204,23090,26234,30730,39148,4.3,5.785,0.327,58.7,49.4,2.9,6.3,35.1,6.2
5314,Vitré,20762,51692,34246.6,47.5,15284,20224,26376,11092,10646,14130,16452,18346,22334,24854,28256,34734,3.3,4.277,0.278,72.4,64.6,2.8,5.0,22.1,5.5
5315,Lorient,134193,293788,204990.9,48.7,14550,20470,27490,12940,8764,13050,15904,18226,22896,25746,29618,36638,4.2,5.568,0.309,60.8,52.2,3.3,5.3,34.4,4.8
5316,Ploërmel,17039,39075,26781.8,42.9,14158,19256,25236,11078,9042,12744,15262,17370,21326,23714,26994,32516,3.6,4.641,0.279,63.9,54.5,2.9,6.5,32.0,4.1
5317,Pontivy,25069,56646,39056.3,44.5,14036,19392,25354,11318,8724,12700,15230,17338,21434,23858,27300,33244,3.8,5.073,0.294,63.7,53.9,2.8,7.1,31.4,4.9
5318,Vannes,155956,348031,241161.1,51.7,15224,21090,28636,13412,9736,13784,16506,18814,23592,26700,31032,38982,4.0,5.310,0.310,58.8,49.8,2.9,6.1,35.2,6.0
5401,Thouars - Loudun,28219,62528,43503.0,40.1,13252,18354,24112,10860,8076,11892,14400,16460,20314,22660,25876,31488,3.9,5.325,0.302,60.6,51.4,3.2,6.0,34.1,5.3
5402,Châtellerault,35806,79186,55030.9,46.6,13332,19430,26074,12742,6792,11640,14710,17130,21762,24428,28020,34402,5.1,6.725,0.324,61.7,54.2,3.0,4.5,33.9,4.4
5403,Angoulême,121911,265085,185806.2,44.4,13154,19294,26162,13008,7000,11564,14534,17012,21674,24442,28298,35154,5.0,6.666,0.327,61.7,52.7,3.1,5.9,33.7,4.6
5404,Jonzac - Barbezieux-Saint-Hilaire,29008,63891,44642.3,39.3,12262,17952,24790,12528,6998,10902,13530,15742,20358,23062,26894,33862,4.8,6.360,0.329,59.4,46.8,3.3,9.3,35.2,5.4
5405,Cognac,36214,79220,55502.2,49.5,14300,20496,28314,14014,8584,12804,15658,18100,23118,26296,30734,39462,4.6,6.504,0.342,63.0,51.1,2.7,9.2,30.8,6.2
5406,Saintes - Saint-Jean-d'Angely,55217,120649,84452.5,44.1,13334,19142,26066,12732,7718,11896,14576,16872,21498,24400,28194,35196,4.6,6.057,0.320,59.1,49.1,3.3,6.7,35.4,5.5
5407,Royan,46518,94363,68392.8,50.0,14240,20432,28620,14380,8968,12796,15530,17948,23154,26532,31044,38962,4.3,5.961,0.333,45.8,35.8,3.0,7.1,46.7,7.5
5408,Rochefort,50224,106967,75622.0,46.0,13622,19498,26546,12924,7912,12082,14920,17276,21922,24810,28786,35626,4.5,5.956,0.317,55.9,45.9,3.4,6.5,38.7,5.4
5409,La Rochelle,110086,240101,167977.5,53.2,14990,21404,29654,14664,8904,13408,16400,18924,24180,27528,32220,40720,4.6,6.162,0.331,60.1,51.2,3.3,5.7,33.5,6.4
5410,Niort,96949,219082,151018.1,49.8,14644,20642,27984,13340,8854,13154,15946,18324,23100,26098,30254,37556,4.2,5.595,0.310,66.5,59.0,2.6,4.9,29.4,4.1
5411,Parthenay,14069,31200,21721.0,39.6,13360,18412,24402,11042,7949,11903,14466,16490,20466,22944,26263,31948,4.0,5.424,0.302,61.5,52.0,3.1,6.4,33.6,4.9
5412,Bressuire,30287,72945,49014.1,39.3,13760,18484,23862,10102,8658,12520,14822,16670,20321,22536,25604,31070,3.6,4.845,0.289,66.1,56.4,3.0,6.7,28.6,5.3
5413,Poitiers,140653,310854,215624.2,48.3,13962,20180,27516,13554,7694,12354,15348,17824,22702,25688,29808,37292,4.8,6.387,0.324,65.7,58.0,2.8,4.8,29.6,4.7
7201,Bergerac,49050,105831,74519.4,42.0,12346,18586,25830,13484,6442,10700,13730,16232,21104,24034,27966,34984,5.4,7.111,0.340,54.7,45.0,3.4,6.3,39.3,6.0
7202,Périgueux,107479,227389,161440.0,43.2,13202,19134,25970,12768,7500,11718,14506,16880,21510,24290,28030,34720,4.6,6.133,0.320,57.4,49.0,3.0,5.4,37.7,4.9
7203,Sarlat-la-Canéda,24077,50493,36086.3,43.3,12880,18832,25992,13112,7794,11596,14110,16512,21268,24184,28322,35670,4.6,5.975,0.324,52.4,42.5,3.4,6.5,40.3,7.3
7204,Bordeaux,559488,1265306,870575.4,54.0,14756,21902,30570,15814,8150,12956,16344,19180,24848,28384,33266,42072,5.2,6.881,0.343,69.9,61.2,3.3,5.4,24.9,5.2
7205,Libourne,50258,112159,77709.0,41.7,12384,18568,25548,13164,6390,10702,13756,16224,20962,23764,27662,34534,5.4,7.280,0.343,61.8,51.7,3.5,6.6,32.4,5.8
7206,Pauillac,23369,51308,35831.4,44.1,13018,19142,25930,12912,7288,11456,14404,16872,21508,24254,27908,34654,4.8,6.259,0.326,57.2,47.1,3.7,6.5,36.9,5.9
7207,La Teste-de-Buch,71640,156977,109949.8,53.3,15390,21578,29560,14170,9890,13880,16702,19160,24214,27544,32166,40468,4.1,5.463,0.317,57.2,48.4,3.3,5.5,36.5,6.3
7208,Dax,81616,178757,125109.7,48.7,14472,20442,27626,13154,8860,13020,15810,18204,22852,25798,29830,37278,4.2,5.657,0.316,58.3,49.1,3.4,5.8,35.3,6.4
7209,Agen,65997,146279,101580.4,45.7,13032,19493,26974,13942,6932,11378,14462,17076,22044,25112,29224,36648,5.3,6.940,0.338,63.7,54.6,3.4,5.7,30.9,5.4
7210,Marmande,38875,85174,59646.6,40.6,12328,18158,24960,12632,6792,10876,13640,15944,20510,23324,26954,33458,4.9,6.559,0.331,57.7,47.9,3.3,6.5,36.2,6.1
7211,Villeneuve-sur-Lot,42686,93579,65511.3,39.0,11784,17734,24498,12714,6274,10224,13098,15434,20120,22876,26464,33164,5.3,7.062,0.341,54.7,44.2,3.8,6.8,38.9,6.4
7212,Bayonne,153973,331179,232976.0,51.5,14916,21228,29156,14240,9204,13396,16288,18788,23892,27102,31758,40610,4.4,6.116,0.334,61.0,51.8,3.1,6.1,31.6,7.4
7213,Oloron-Sainte-Marie,18463,40441,28383.5,46.2,14212,19764,26446,12234,8852,12838,15416,17650,22062,24770,28500,34460,3.9,5.104,0.294,59.6,50.6,2.8,6.2,35.7,4.7
7214,Pau,148049,330078,229204.5,51.0,14548,21102,29278,14730,8442,12940,15958,18560,23908,27226,31760,40108,4.8,6.308,0.330,63.3,55.7,3.0,4.6,31.0,5.7
7301,Foix - Pamiers,50360,109392,76694.4,42.3,12472,18684,25654,13182,6378,10866,13896,16368,21144,23990,27680,34244,5.4,6.947,0.330,59.3,50.7,3.3,5.3,35.5,5.2
7302,Saint-Girons,15101,30215,21898.1,41.2,11472,18234,25180,13708,5196,9766,12992,15710,20750,23478,27416,34034,6.6,8.329,0.349,53.4,43.7,3.3,6.3,41.5,5.1
7303,Millau,27257,58187,41070.5,40.9,13062,18656,25438,12376,7626,11614,14298,16520,21008,23768,27376,33894,4.4,5.832,0.315,59.0,47.7,3.0,8.2,34.8,6.2
7304,Rodez,77235,168337,117928.8,46.9,14158,19920,26954,12796,9094,12794,15406,17720,22364,25244,29086,35906,3.9,5.294,0.309,60.8,50.1,2.2,8.5,32.2,7.0
7305,Villefranche-de-Rouergue,16125,34777,24539.3,41.9,12920,18614,25438,12518,7842,11638,14162,16378,20986,23684,27636,34512,4.4,5.857,0.321,55.0,43.9,2.4,8.7,38.1,6.9
7306,Saint-Gaudens,27030,56121,40111.7,44.1,12772,19046,26116,13344,6490,11114,14124,16610,21570,24448,28280,34844,5.4,6.988,0.330,54.9,46.4,3.0,5.5,39.9,5.2
7307,Auch,51348,110815,78168.3,44.1,12992,19252,26508,13516,7400,11546,14350,16828,21768,24718,28702,36122,4.9,6.479,0.331,57.6,47.6,2.7,7.2,35.6,6.8
7308,Cahors,41388,87136,62030.4,45.4,13318,19578,27154,13836,7548,11822,14632,17134,22142,25208,29448,36668,4.9,6.344,0.329,53.9,44.3,2.9,6.8,39.9,6.2
7309,Figeac,17798,37635,26719.6,46.4,13960,19974,26928,12968,8607,12602,15162,17598,22400,25284,29088,35828,4.2,5.388,0.306,57.2,48.6,2.4,6.2,36.8,6.0
7310,Tarbes - Lourdes,103996,221490,156707.1,45.2,13350,19488,26344,12994,7442,11826,14688,17182,21884,24644,28432,34904,4.7,6.107,0.317,59.8,50.3,3.5,6.0,35.8,4.4
7311,Albi,76750,168223,117516.4,44.0,12952,19244,26684,13732,6738,11258,14384,16874,21832,24832,28946,36142,5.4,7.029,0.338,59.0,49.6,3.0,6.3,35.5,5.5
7312,Castres - Mazamet,58356,130253,90510.8,41.6,12828,18704,25540,12712,6836,11256,14150,16490,21122,23864,27620,34598,5.1,6.795,0.334,59.9,51.0,3.2,5.7,35.0,5.1
7313,Montauban,95740,222782,151886.2,42.0,12042,18474,25708,13666,6056,10398,13492,16018,21034,23982,27830,34556,5.7,7.480,0.345,63.2,53.9,3.5,5.8,31.3,5.5
7401,Tulle,31629,65343,46819.0,47.6,14184,20080,26972,12788,8974,12792,15410,17770,22498,25294,29166,35398,3.9,5.092,0.296,56.3,48.1,2.5,5.6,39.4,4.3
7402,Ussel,13725,28207,20226.5,44.8,13734,19106,25384,11650,8468,12354,14854,17080,21294,23846,27362,33882,4.0,5.235,0.303,58.9,50.1,2.5,6.4,36.1,5.0
7403,Guéret,55434,112018,80980.4,40.5,12328,18166,24782,12454,6888,10868,13604,15844,20480,23156,26754,33082,4.8,6.269,0.321,55.1,45.1,2.5,7.5,40.3,4.6
7404,Limoges,166275,350865,248255.8,47.8,13442,20116,27490,14048,6618,11630,14994,17652,22682,25664,29700,36976,5.6,7.210,0.334,61.6,54.2,2.5,4.9,34.4,4.0
8201,Ambérieu-en-Bugey,41629,100412,67237.9,53.7,15424,21616,29082,13658,9722,13866,16830,19268,24210,27230,31358,38520,4.0,5.001,0.295,71.2,64.4,2.9,3.8,24.7,4.1
8202,Bourg-en-Bresse,57303,132007,90095.3,53.0,14696,20950,28122,13426,8654,13026,16094,18596,23396,26340,30280,37486,4.3,5.677,0.312,66.2,59.3,2.6,4.3,29.5,4.3
8203,Oyonnax,26443,63941,42868.1,48.7,12432,19192,26538,14106,7046,10732,13938,16694,21724,24738,28662,35882,5.1,6.895,0.342,68.5,61.3,3.8,3.4,27.0,4.5
