Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus disponibles par unité de consommation et composition du revenu disponible - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 26/07/2019       Géographie au 01/01/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nbre de ménages fiscaux,Nbre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,1er quartile (€),Médiane (€),3e quartile (€),Écart interquartile (€),1er décile (€),2e décile (€),3e décile (€),4e décile (€),6e décile (€),7e décile (€),8e décile (€),9e décile (€),Rapport interdécile 9e décile/1er decile,S80/20,Indice de Gini,Part des revenus d’activité (%),dont part des salaires et traitements(%),dont part des indemnités chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des revenus du patrimoine et autres revenus (%),Part de l'ensemble des prestations sociales (%),dont part des prestations familiales (%),dont part des minima sociaux (%),dont part des prestations logement (%),Part des impôts (%)
CODGEO,LIBGEO,NBMEN16,NBPERS16,NBUC16,Q116,Q216,Q316,Q3_Q1,D116,D216,D316,D416,D616,D716,D816,D916,RD,S80S2016,GI16,PACT16,PTSA16,PCHO16,PBEN16,PPEN16,PPAT16,PPSOC16,PPFAM16,PPMINI16,PPLOGT16,PIMPOT16
2504,Lisieux,28708,64366,44509.0,14502,19233,24737,10234,10850,13472,15475,17385,21101,23361,26433,32334,3.0,3.679,0.256,65.4,56.2,3.1,6.0,33.8,8.8,6.3,2.4,2.2,1.7,-14.3
2505,Vire Normandie,18989,42640,29497.1,14782,18973,23887,9106,11124,13770,15736,17392,20667,22626,25149,29959,2.7,3.313,0.235,65.1,55.5,2.7,6.9,33.1,8.8,6.0,2.5,2.1,1.5,-13.0
2506,Avranches,39451,87426,60818.1,15211,19598,24471,9259,11583,14212,16156,17921,21295,23279,25921,30884,2.7,3.275,0.232,64.0,54.4,2.5,7.2,34.3,9.8,5.3,2.2,1.8,1.3,-13.4
2507,Cherbourg-en-Cotentin,89721,200865,139116.6,15478,20292,26109,10631,11753,14386,16485,18434,22322,24667,27886,33562,2.9,3.399,0.240,69.2,60.8,2.9,5.5,31.9,7.5,5.8,2.2,2.1,1.5,-14.4
2508,Coutances,26674,58486,40887.2,15080,19511,24980,9900,11556,14105,16027,17784,21280,23524,26765,32694,2.8,3.537,0.251,61.0,49.2,2.7,9.1,37.7,9.9,5.5,2.2,2.0,1.4,-14.1
2509,Granville,25022,52503,37371.4,15718,20584,27124,11406,12181,14688,16737,18677,22683,25424,29066,36209,3.0,3.715,0.263,56.9,47.0,2.6,7.4,41.9,12.5,4.4,1.7,1.5,1.2,-15.7
2510,Saint-Lô,37537,85159,58524.6,15432,19941,24977,9545,11699,14413,16406,18250,21649,23697,26512,31667,2.7,3.273,0.232,68.1,59.3,2.9,5.9,31.8,8.0,5.8,2.5,1.9,1.4,-13.7
2511,Argentan,18039,39688,27650.3,14488,19222,24261,9773,10630,13360,15505,17455,20997,22995,25696,30657,2.9,3.490,0.243,62.6,53.6,2.8,6.1,36.0,8.8,6.0,2.3,2.1,1.6,-13.4
2512,Flers,42258,93509,65093.6,14745,19155,23987,9242,10988,13758,15784,17474,20800,22793,25436,30551,2.8,3.379,0.237,62.3,53.6,2.9,5.8,35.8,9.5,5.8,2.4,2.0,1.5,-13.4
2513,L'Aigle,14129,31227,21718.8,14207,18984,24430,10224,10425,13069,15234,17109,20882,23138,25993,31125,3.0,3.675,0.253,62.4,53.3,3.0,6.1,36.5,8.8,6.3,2.4,2.3,1.6,-14.0
2601,Beaune,21623,48617,33648.1,16541,21781,28639,12097,12558,15388,17667,19752,24065,26773,31022,39453,3.1,4.085,0.283,71.8,59.5,2.5,9.8,28.9,13.7,3.8,1.7,1.2,0.9,-18.2
2602,Chatillon,8131,17069,12164.3,14347,18963,24098,9751,10557,13312,15325,17246,20864,22829,25665,31166,3.0,3.612,0.248,58.3,48.8,2.9,6.6,39.3,10.6,5.5,1.9,2.3,1.3,-13.7
2603,Dijon,182263,403444,279926.1,16232,21603,28046,11814,11969,14955,17392,19546,23813,26415,30105,36797,3.1,3.799,0.262,72.8,64.3,2.7,5.8,30.5,9.2,4.7,1.9,1.5,1.3,-17.2
2604,Montbard,14163,30190,21341.7,15241,19823,25087,9846,11434,14114,16283,18063,21579,23775,26759,32084,2.8,3.473,0.243,64.0,55.7,2.7,5.6,35.8,9.2,5.3,2.0,2.0,1.3,-14.3
2605,Le Morvan,16214,31489,23170.7,13898,18642,24135,10237,9950,12792,14893,16678,20545,22821,25799,31219,3.1,3.788,0.255,47.3,37.6,2.5,7.2,49.6,11.4,5.1,1.5,2.5,1.1,-13.4
2606,Nevers,54069,112682,80205.4,14840,19817,25187,10347,10854,13733,15900,17906,21712,23860,26829,32285,3.0,3.623,0.250,62.6,54.9,2.6,5.1,37.8,8.2,6.5,2.0,2.9,1.7,-15.1
2607,Autun,14868,31346,22284.3,14619,19089,24474,9855,10915,13552,15521,17362,20902,23127,26115,31833,2.9,3.507,0.246,61.2,50.9,2.9,7.4,39.2,8.5,5.4,2.0,2.0,1.4,-14.3
2608,Chalon-sur-Saône,85640,191912,132695.4,15518,20392,26126,10608,11735,14432,16606,18538,22379,24676,27969,33984,2.9,3.533,0.249,69.2,60.6,3.0,5.6,32.5,8.5,5.4,2.2,1.8,1.3,-15.6
2609,Louhans,16607,35885,25249.9,14933,19453,24502,9569,11353,13923,15951,17692,21180,23272,25986,31199,2.7,3.311,0.233,61.7,53.7,2.7,5.3,38.5,8.0,5.1,2.1,1.8,1.2,-13.3
2610,Le Creusot - Montceau,45305,96763,68268.9,14752,19335,24607,9855,11310,13814,15707,17558,21176,23309,26195,31420,2.8,3.315,0.236,62.0,54.4,3.1,4.5,38.2,7.5,6.4,2.2,2.4,1.8,-14.1
2611,Le Charolais,37683,80766,57067.8,15198,19496,24512,9314,11664,14219,16084,17825,21246,23237,26139,31412,2.7,3.266,0.233,60.7,50.9,2.7,7.1,38.4,9.6,5.0,2.0,1.8,1.2,-13.7
2612,Auxerre,90788,199133,138791.2,14869,19861,25622,10753,10866,13735,15984,17962,21881,24232,27384,33135,3.0,3.712,0.255,64.0,55.0,2.9,6.1,36.0,9.4,6.0,2.2,2.3,1.5,-15.4
2613,Avallon,10343,22052,15595.4,14817,19574,24935,10118,10997,13772,15868,17734,21447,23572,26712,32422,2.9,3.634,0.252,60.8,51.0,2.7,7.1,37.8,10.1,5.7,2.0,2.3,1.4,-14.4
2614,Sens,46957,108768,74076.7,15250,20276,25810,10560,11260,14108,16321,18355,22242,24446,27538,33147,2.9,3.562,0.247,67.9,60.0,3.1,4.9,33.0,8.6,5.9,2.5,2.0,1.4,-15.4
3110,Roubaix - Tourcoing,165671,418674,274973.3,13082,18579,25237,12155,9616,11995,14166,16374,20887,23587,27260,34067,3.5,4.454,0.296,72.9,64.7,3.8,4.3,24.3,9.0,9.4,3.4,3.5,2.4,-15.6
3111,Lille,325120,752807,511555.3,14911,21038,28756,13844,10636,13607,16197,18637,23632,26780,31118,38853,3.7,4.520,0.296,79.3,70.5,3.1,5.7,23.4,8.6,6.5,2.4,2.3,1.8,-17.8
3112,Dunkerque,103960,246568,166717.3,14148,19141,24977,10829,10666,13087,15141,17148,21171,23538,26672,32505,3.0,3.641,0.255,70.6,62.3,3.8,4.5,29.8,7.1,7.5,2.8,2.6,2.1,-15.0
3113,La Flandre - Lys,49603,123639,82230.5,15657,20597,26253,10596,11917,14538,16704,18671,22584,24871,27904,33380,2.8,3.378,0.240,73.4,64.9,2.9,5.6,26.9,9.0,5.5,2.6,1.7,1.2,-14.8
3114,Douai,98484,242388,161542.4,13757,18666,24782,11024,10358,12734,14721,16666,20836,23299,26484,31928,3.1,3.668,0.257,70.3,62.9,3.4,4.1,28.6,6.1,8.8,3.1,3.4,2.3,-13.8
3115,Valenciennes,139615,339697,226737.5,12764,17570,23638,10874,9655,11825,13700,15537,19726,22208,25354,30807,3.2,3.877,0.269,68.8,60.9,3.7,4.3,27.7,6.9,10.3,3.4,4.2,2.7,-13.7
3116,Cambrai,73130,174691,117776.8,13713,18592,24299,10586,10223,12689,14721,16673,20574,22888,25925,31589,3.1,3.750,0.261,68.7,58.9,3.7,6.0,29.5,8.0,7.9,2.9,3.2,1.9,-14.1
3117,Maubeuge,92318,222123,149060.7,12685,17559,23577,10892,9513,11703,13636,15518,19716,22153,25313,30735,3.2,3.891,0.268,65.6,56.6,3.7,5.3,29.8,7.6,10.3,3.3,4.4,2.6,-13.3
3121,Arras,99688,237928,160575.2,14836,20167,26329,11493,11025,13685,15951,18079,22324,24812,28226,34453,3.1,3.822,0.264,72.7,63.3,2.8,6.6,28.4,8.6,6.1,2.5,2.2,1.5,-15.8
3122,Lens - Hénin,145602,358188,238134.5,12557,16907,22183,9626,9683,11694,13394,15088,18840,20950,23650,28117,2.9,3.418,0.244,68.0,60.8,3.9,3.3,28.8,4.6,11.3,3.8,4.3,3.2,-12.7
3123,Béthune - Bruay,118259,287496,192486.1,13684,18538,24225,10542,10346,12660,14638,16551,20550,22874,25861,31089,3.0,3.587,0.253,70.8,63.0,3.1,4.6,28.9,6.4,8.1,3.0,2.9,2.2,-14.2
3124,Saint-Omer,47504,115993,77622.3,13849,18637,24053,10205,10492,12847,14827,16748,20610,22743,25610,31029,3.0,3.574,0.252,70.3,62.0,3.1,5.2,28.0,8.0,7.8,3.1,2.8,1.9,-14.1
3125,Calais,66221,162576,108198.2,13298,18296,24031,10732,9987,12274,14325,16295,20312,22685,25641,30782,3.1,3.664,0.255,71.1,62.2,4.0,5.0,27.3,6.8,9.0,3.3,3.2,2.4,-14.2
3126,Boulogne-sur-mer,66531,157803,106756.0,13492,18222,24166,10674,10287,12529,14445,16286,20294,22711,25996,32063,3.1,3.832,0.269,68.4,59.0,3.7,5.8,30.2,8.3,8.4,2.9,3.1,2.4,-15.3
3127,Berck - Montreuil,45725,104594,71863.1,14249,19097,25025,10776,10775,13178,15223,17176,21158,23541,26948,33341,3.1,3.900,0.271,63.0,53.1,3.2,6.7,35.4,11.2,6.3,2.4,2.4,1.6,-15.9
4101,Longwy,45121,102545,70419.4,14515,20669,28653,14138,10190,13306,15755,18197,23417,26784,31115,38256,3.8,4.565,0.289,36.1,30.2,2.8,3.1,22.5,45.8,4.4,1.3,1.8,1.3,-8.8
4102,Lunéville,13981,31639,21738.1,14435,19270,24699,10263,10595,13364,15464,17359,21122,23366,26227,31368,3.0,3.548,0.246,66.9,58.9,3.3,4.8,32.4,7.4,7.6,2.7,2.9,1.9,-14.3
4103,Nancy,214323,476075,329864.7,15490,21023,27592,12102,11183,14228,16700,18894,23288,25921,29651,36383,3.3,3.973,0.269,73.0,64.7,2.9,5.5,29.7,8.5,5.8,2.1,2.1,1.7,-17.0
4104,Bar-le-Duc,25950,57376,40026.3,15335,20322,25683,10349,11391,14205,16425,18432,22199,24390,27351,32770,2.9,3.459,0.242,66.2,58.4,2.8,5.0,34.9,8.3,5.4,2.0,2.0,1.4,-14.8
4105,Commercy,18282,42192,28868.0,14314,19091,24377,10063,10812,13250,15341,17259,20989,23163,25900,31011,2.9,3.419,0.240,66.0,56.4,3.2,6.5,32.8,8.6,6.2,2.6,2.1,1.5,-13.6
4106,Verdun,26168,58340,40441.5,14535,19502,24929,10393,10610,13455,15576,17517,21466,23633,26655,32382,3.1,3.700,0.255,65.1,55.8,2.6,6.7,32.3,10.2,6.4,2.3,2.4,1.6,-14.0
4107,Metz,211986,484231,332406.5,15266,20948,27954,12688,11129,14077,16441,18723,23318,26172,30080,36947,3.3,4.068,0.274,65.8,58.1,3.2,4.6,27.4,16.3,5.3,1.9,1.9,1.5,-14.8
4108,Forbach,89549,207624,142313.7,13936,18986,25019,11083,10324,12863,14970,16970,21101,23555,26826,32559,3.2,3.785,0.262,65.7,57.9,3.9,4.0,33.8,7.5,6.9,2.3,2.8,1.8,-13.9
4109,Sarrebourg,30003,69751,47811.8,15380,20109,25463,10083,11610,14308,16384,18315,22090,24252,27056,32143,2.8,3.326,0.236,69.9,62.2,3.0,4.7,31.3,7.7,5.2,2.1,1.9,1.2,-14.1
4110,Sarreguemines,46579,108073,74201.8,15567,20825,27117,11550,11493,14436,16652,18769,22991,25561,29000,35229,3.1,3.731,0.258,72.8,65.4,3.3,4.1,29.1,8.1,4.9,1.8,1.9,1.2,-14.9
4111,Thionville,91296,210677,143900.6,15567,21938,30653,15086,11083,14279,16863,19347,24838,28432,33353,41702,3.8,4.627,0.296,40.6,34.7,2.8,3.0,22.9,42.6,4.0,1.4,1.5,1.1,-10.1
4112,Épinal,69920,155975,107980.0,14535,19508,25207,10672,10625,13378,15572,17546,21500,23829,26926,32641,3.1,3.705,0.256,68.1,59.8,3.2,5.1,31.9,8.1,6.6,2.4,2.4,1.8,-14.7
4113,Remiremont,37322,80754,56805.6,15119,19575,24790,9671,11351,14117,16074,17845,21353,23476,26429,31843,2.8,3.456,0.245,63.6,55.8,3.3,4.5,35.7,9.9,5.1,2.0,1.8,1.4,-14.3
4114,Saint-Dié-des-Vosges,37751,82508,57694.3,14195,18929,24210,10015,10535,13182,15202,17110,20805,22960,25776,30865,2.9,3.520,0.246,64.2,55.5,4.0,4.8,35.0,7.9,6.7,2.3,2.5,1.8,-13.8
4115,Neufchâteau,22556,49249,34522.5,14672,19467,25030,10358,10896,13636,15690,17591,21424,23633,26737,32032,2.9,3.540,0.247,64.7,56.1,3.0,5.6,35.6,8.5,5.6,2.1,2.1,1.4,-14.4
4201,Haguenau,81905,199530,134544.1,17176,22384,28597,11421,12909,15906,18300,20379,24488,27021,30512,36435,2.8,3.405,0.240,77.4,70.7,2.9,3.8,27.0,7.8,3.7,1.8,1.1,0.8,-15.9
4202,Molsheim - Obernai,56230,134550,91254.9,17586,22914,29527,11941,13336,16327,18741,20859,25106,27834,31604,38215,2.9,3.502,0.248,76.4,68.9,2.7,4.8,27.6,9.7,3.3,1.7,0.9,0.7,-17.0
4203,Saverne,31763,76649,51914.8,16320,21427,27236,10916,12439,15114,17456,19515,23416,25776,29083,34929,2.8,3.364,0.238,73.5,66.1,2.8,4.5,29.5,8.0,4.1,2.0,1.3,0.9,-15.1
4204,Sélestat,35435,85237,57583.7,16573,21743,27780,11207,12416,15423,17679,19769,23837,26263,29717,35908,2.9,3.505,0.246,76.0,68.3,2.9,4.8,26.6,9.1,4.4,2.1,1.4,1.0,-16.1
4205,Strasbourg,241196,546971,375572.4,14608,21039,28892,14284,10298,13251,15907,18501,23701,26908,31313,39289,3.8,4.788,0.305,75.4,66.8,3.1,5.4,26.7,10.2,6.0,2.1,2.1,1.8,-18.3
4206,Wissembourg,16648,39806,27086.2,17363,23115,30804,13442,12926,16105,18620,20888,25715,28799,32883,39349,3.0,3.644,0.252,83.4,77.3,2.6,3.5,22.7,7.5,2.9,1.3,1.0,0.6,-16.5
4207,Colmar,83376,190446,130992.5,16409,22038,28961,12552,11983,15067,17620,19868,24377,27208,31177,38700,3.2,3.987,0.272,74.0,65.5,2.8,5.7,28.7,10.1,4.2,1.8,1.4,1.1,-17.0
4208,Mulhouse,177849,419299,284321.9,15193,21256,28771,13578,10873,13886,16481,18889,23795,26828,31235,39214,3.6,4.415,0.290,75.0,67.6,3.5,3.8,28.3,7.8,5.5,2.2,1.8,1.5,-16.6
4209,Saint-Louis,51169,120909,82084.4,19515,28967,42185,22670,13175,17602,21347,24985,33625,39025,46169,58939,4.5,5.422,0.325,89.1,84.0,3.1,2.0,22.7,6.7,2.2,0.9,0.7,0.6,-20.7
4301,Besançon,128793,291194,199831.6,15817,21030,27389,11572,11603,14604,16979,18994,23179,25766,29360,35782,3.1,3.771,0.259,73.3,64.9,2.9,5.6,28.6,8.7,5.6,2.3,1.8,1.5,-16.2
4302,Belfort - Montbéliard - Héricourt,157054,358633,245754.4,14973,20289,26575,11602,11185,13848,16076,18191,22459,25022,28539,34729,3.1,3.694,0.256,71.4,63.9,3.6,3.9,30.5,6.8,6.2,2.4,2.2,1.6,-14.9
4303,Morteau,20501,48618,32749.6,20274,28901,39878,19604,14767,18538,21868,25161,32773,37218,42688,51107,3.5,4.054,0.272,93.4,85.6,3.9,3.8,17.4,6.1,2.2,1.1,0.6,0.4,-19.1
4304,Pontarlier,27753,65319,44088.3,18839,25961,36506,17667,13851,17329,20259,23030,29670,33920,39576,48046,3.5,4.081,0.276,89.6,81.4,3.4,4.8,18.5,7.3,2.8,1.4,0.8,0.6,-18.2
4305,Dole,30951,69575,47995.6,15499,20325,25837,10338,11626,14322,16522,18489,22308,24539,27502,33084,2.8,3.446,0.242,66.6,59.4,2.7,4.6,34.5,8.0,5.7,2.4,1.9,1.4,-14.8
4306,Lons-le-Saunier,53550,115729,81299.0,15660,20487,26207,10547,11915,14570,16705,18615,22477,24778,28062,33894,2.8,3.495,0.247,66.5,58.0,2.7,5.8,34.7,8.9,4.7,2.0,1.6,1.2,-14.8
4307,Saint-Claude,22820,52880,36090.7,16741,22605,31291,14550,12326,15420,17956,20249,25386,28915,34179,42940,3.5,4.091,0.278,80.6,73.4,3.4,3.7,24.7,7.3,3.8,1.7,1.2,0.9,-16.4
4308,Gray,11819,26285,18266.4,14553,19132,24279,9725,11027,13483,15512,17323,20959,23077,25946,31236,2.8,3.483,0.245,62.9,53.7,2.9,6.3,35.4,9.2,6.1,2.4,2.2,1.5,-13.6
4309,Vesoul,50866,112830,78357.9,14687,19459,24673,9986,11026,13650,15645,17617,21273,23454,26331,31521,2.9,3.449,0.242,65.0,57.1,2.8,5.2,34.7,8.0,6.0,2.3,2.2,1.5,-13.7
5201,Ancenis,15550,38795,25633.6,15925,20029,24594,8669,12532,14912,16811,18463,21583,23483,25967,30477,2.4,2.908,0.211,73.1,65.5,3.1,4.6,26.2,8.0,6.1,3.2,1.7,1.2,-13.4
5202,Châteaubriant,15270,35919,24366.5,14579,18697,23153,8574,11149,13611,15453,17113,20262,22017,24598,29033,2.6,3.205,0.230,66.5,56.5,3.0,7.0,30.5,9.0,7.1,3.1,2.4,1.6,-13.1
5203,Nantes,449377,1055567,713352.0,16686,21751,28094,11408,12528,15494,17778,19786,23867,26445,30109,36655,2.9,3.572,0.251,78.6,70.6,3.1,4.9,24.3,8.6,5.2,2.3,1.6,1.3,-16.7
5204,Saint-Nazaire,136989,305525,211388.8,16431,21185,27071,10640,12593,15310,17467,19367,23155,25555,29015,35375,2.8,3.443,0.245,64.9,57.0,3.2,4.7,35.8,10.5,4.8,2.1,1.6,1.2,-16.0
5205,Angers,193015,450210,305450.5,15736,20499,26315,10578,11760,14622,16786,18674,22477,24849,28170,34443,2.9,3.588,0.251,72.1,63.5,3.2,5.4,28.8,8.4,6.0,2.6,1.8,1.6,-15.3
5206,Cholet,84957,208123,138801.5,16168,20092,24810,8642,12693,15201,17028,18571,21688,23618,26239,31158,2.5,3.005,0.219,73.2,64.8,2.9,5.4,26.9,8.6,5.3,2.9,1.3,1.1,-14.0
5207,Saumur,41695,95794,65589.0,14824,19110,24305,9481,11325,13843,15759,17452,20939,23013,26001,31641,2.8,3.384,0.241,64.5,54.7,3.5,6.4,34.0,9.2,6.2,2.6,2.1,1.6,-13.9
5208,Segré,21488,51389,34580.9,15072,18905,23190,8118,11725,14152,15920,17456,20399,22131,24528,28945,2.5,2.998,0.215,67.8,58.5,2.9,6.4,30.1,8.4,6.3,3.2,1.7,1.4,-12.6
5209,Laval,92660,219335,148086.0,15739,20060,25125,9386,12056,14703,16695,18445,21782,23843,26735,32232,2.7,3.303,0.236,70.7,62.6,2.6,5.6,29.4,9.3,5.3,2.7,1.4,1.2,-14.7
5210,La Mayenne,22348,51264,35160.5,15497,19698,24271,8774,11655,14410,16409,18114,21253,23122,25715,30723,2.6,3.222,0.227,66.7,57.4,2.8,6.5,32.1,10.1,5.0,2.5,1.4,1.1,-13.9
5211,La Ferté-Bernard,14905,33659,23213.8,15695,20021,24826,9131,11889,14617,16644,18371,21648,23586,26247,30978,2.6,3.195,0.228,67.3,59.6,2.7,4.9,33.2,8.6,5.0,2.3,1.5,1.2,-14.1
5212,La Flèche,23158,51036,35597.1,14843,19168,24062,9219,11056,13776,15817,17542,20839,22904,25567,30761,2.8,3.379,0.238,61.4,53.4,3.1,4.9,37.8,8.9,5.5,2.3,1.8,1.5,-13.6
5213,Le Mans,180107,413068,282270.6,15455,20368,25812,10357,11314,14275,16536,18541,22267,24458,27536,33154,2.9,3.529,0.244,69.5,62.0,2.9,4.6,31.9,7.8,5.9,2.5,1.8,1.6,-15.1
5214,Sablé-sur-Sarthe,15099,36279,24381.2,15386,19616,24082,8696,11734,14322,16328,17976,21118,22959,25401,30241,2.6,3.232,0.230,70.9,63.1,3.0,4.8,28.2,9.1,5.9,2.9,1.6,1.4,-14.1
5215,Challans,61304,131887,93058.2,16067,20492,26017,9950,12598,15089,17015,18801,22322,24583,27839,33775,2.7,3.281,0.237,56.7,47.6,3.1,6.0,42.5,12.4,3.8,1.7,1.2,0.9,-15.4
5216,Fontenay-le-Comte,29179,67187,46052.8,15029,19255,24087,9059,11510,14055,15902,17648,20940,22879,25559,30585,2.7,3.223,0.230,64.8,55.2,3.0,6.6,34.5,8.7,5.6,2.5,1.8,1.3,-13.6
5217,Les Herbiers,24495,60291,40108.6,16479,20138,24364,7885,13169,15606,17244,18718,21545,23353,25673,29998,2.3,2.729,0.199,75.7,67.5,2.7,5.5,25.1,7.9,5.0,2.9,1.1,1.0,-13.7
5218,La Roche-sur-Yon,107447,251454,170601.5,15970,20292,25170,9200,12429,14969,16902,18654,21959,23945,26698,31795,2.6,3.105,0.224,69.8,61.5,3.0,5.3,30.9,8.6,5.3,2.5,1.6,1.2,-14.6
5219,Les Sables-d'Olonne,35260,71742,51889.5,16637,21572,28228,11591,12716,15493,17642,19677,23783,26497,30396,37346,2.9,3.662,0.260,52.2,43.3,3.0,5.9,48.1,13.4,3.4,1.3,1.2,0.9,-17.1
5301,Dinan,42852,94051,65616.3,16280,21118,27355,11076,12485,15207,17297,19188,23189,25771,29461,36225,2.9,3.581,0.254,62.5,53.3,3.1,6.1,37.9,11.2,4.4,1.9,1.5,1.1,-16.0
5302,Guingamp,22974,50157,34991.7,14640,19039,24140,9500,11093,13717,15557,17303,20863,22893,25635,30797,2.8,3.312,0.233,62.4,52.6,3.0,6.8,36.3,8.3,6.5,2.5,2.4,1.6,-13.5
5303,Lannion,42413,90408,63873.2,15823,20984,27573,11750,12010,14729,16914,18964,23191,25892,29656,36081,3.0,3.615,0.252,58.3,48.8,2.8,6.7,42.5,10.3,4.5,1.8,1.6,1.1,-15.6
5304,Loudéac,15957,36312,24963.5,15144,19512,24215,9070,11490,14115,16045,17804,21181,23080,25608,30348,2.6,3.225,0.228,64.6,53.8,2.8,8.1,34.1,9.3,5.6,2.5,1.8,1.3,-13.6
5305,Saint-Brieuc,137500,305473,211808.4,15829,20500,26054,10225,11965,14730,16873,18733,22368,24638,27863,33816,2.8,3.439,0.242,65.0,55.1,2.9,7.0,36.0,9.3,5.0,2.2,1.6,1.2,-15.3
5306,Brest,197787,441956,305124.5,16121,20856,26705,10585,12280,15017,17134,19013,22815,25223,28529,34427,2.8,3.416,0.242,70.4,61.2,3.2,6.1,31.7,8.2,5.3,2.3,1.7,1.3,-15.6
5307,Carhaix-Plouguer,20539,42122,30251.3,14304,18797,23799,9495,10430,13273,15205,17019,20544,22561,25256,30258,2.9,3.495,0.241,57.9,46.1,3.0,8.8,40.5,8.6,6.0,2.1,2.5,1.4,-13.0
5308,Morlaix,33354,72257,50610.8,15532,20184,25643,10110,11777,14474,16509,18399,22065,24294,27426,33198,2.8,3.483,0.245,62.7,51.5,3.0,8.2,37.9,9.2,5.3,2.1,2.0,1.3,-15.1
5309,Quimper,147543,313806,221927.1,15935,20660,26435,10500,12206,14886,16954,18832,22617,24973,28288,34400,2.8,3.449,0.244,63.0,53.6,3.0,6.4,37.8,10.0,4.6,1.8,1.7,1.1,-15.4
5310,Fougères,28936,66448,45420.3,15442,19527,24239,8797,12051,14511,16367,17973,21136,23053,25702,30527,2.5,3.102,0.223,68.3,59.7,2.8,5.9,30.9,8.6,5.9,2.6,1.9,1.4,-13.7
5311,Redon,19853,45154,31054.2,15392,19773,24539,9147,11668,14386,16405,18156,21398,23367,26136,31087,2.7,3.170,0.225,65.4,57.4,3.2,4.8,34.0,8.5,5.7,2.4,1.9,1.3,-13.6
5312,Rennes,328301,772863,521622.7,16417,21394,27588,11171,12220,15213,17483,19484,23471,25978,29543,35775,2.9,3.575,0.250,78.1,69.8,2.9,5.4,24.6,8.5,5.4,2.4,1.6,1.4,-16.6
5313,Saint-Malo,49134,105224,74074.3,15819,20630,27001,11183,12232,14766,16825,18735,22694,25309,29138,36307,3.0,3.684,0.262,63.0,53.2,3.0,6.9,36.8,11.3,4.9,1.9,1.8,1.3,-16.0
5314,Vitré,20763,51701,34250.2,16489,20523,25541,9052,13064,15534,17339,18968,22177,24273,27129,32586,2.5,3.048,0.222,77.2,69.0,2.8,5.4,22.9,9.3,5.2,2.8,1.3,1.1,-14.6
5315,Lorient,134155,293757,204953.6,15747,20548,26219,10472,11911,14618,16783,18709,22527,24806,28028,33905,2.8,3.474,0.244,65.0,55.9,3.4,5.7,36.0,9.0,5.3,2.0,1.9,1.4,-15.3
5316,Ploërmel,17029,39063,26769.8,15407,19672,24554,9147,11834,14377,16386,18080,21334,23317,26003,30605,2.6,3.097,0.220,67.2,57.4,2.9,6.9,32.9,7.8,5.5,2.5,1.8,1.2,-13.4
5317,Pontivy,25067,56659,39060.2,15330,19835,24680,9351,11656,14273,16310,18100,21520,23491,26264,31253,2.7,3.292,0.233,67.1,56.8,2.8,7.5,32.2,9.1,5.5,2.4,1.9,1.2,-13.9
5318,Vannes,155940,348075,241165.2,16299,21132,27307,11007,12357,15158,17335,19245,23170,25703,29391,35957,2.9,3.571,0.251,63.5,53.9,3.0,6.6,37.2,10.8,4.5,2.0,1.4,1.1,-16.0
5401,Thouars - Loudun,28221,62562,43517.6,14632,18788,23567,8935,11137,13711,15562,17210,20435,22341,24928,29825,2.7,3.293,0.235,63.5,54.0,3.2,6.4,34.8,9.5,5.9,2.3,2.2,1.4,-13.7
5402,Châtellerault,35805,79200,55036.0,14854,19688,25037,10183,10976,13729,15907,17843,21534,23728,26685,32085,2.9,3.544,0.246,64.8,57.0,3.0,4.7,34.8,8.8,6.3,2.3,2.4,1.6,-14.7
5403,Angoulême,121897,265122,185812.9,14707,19582,25230,10523,10774,13616,15764,17695,21542,23844,26954,32735,3.0,3.679,0.253,64.9,55.6,3.1,6.3,34.6,8.9,6.1,2.0,2.5,1.6,-14.5
5404,Jonzac - Barbezieux-Saint-Hilaire,29000,63888,44636.0,14056,18529,24128,10073,10527,13036,14904,16703,20519,22787,25772,31663,3.0,3.648,0.255,62.1,49.0,3.2,9.8,35.8,9.7,6.2,2.1,2.6,1.5,-13.8
5405,Cognac,36185,79168,55461.7,15531,20623,27037,11506,11670,14394,16594,18614,22792,25361,29092,36233,3.1,3.934,0.272,68.1,55.3,2.8,10.0,32.5,11.0,4.9,1.7,1.9,1.2,-16.5
5406,Saintes - Saint-Jean-d'Angely,55215,120686,84465.6,14822,19519,25141,10319,11052,13753,15778,17664,21476,23749,26914,32770,3.0,3.582,0.250,62.4,51.9,3.3,7.1,36.5,9.8,5.8,2.0,2.3,1.5,-14.5
