Revenus fiscaux localisés des ménages - Année 2007,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2 000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,
© Insee     Source : Insee-DGFip Revenus fiscaux localisés des ménages ,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,
,,,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),Intervalle inter-quartiles (€),1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),Rapport inter-déciles,Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,NBUC07,RFUCQ107,RFUCQ207,RFUCQ307,RFUCIQ07,RFUCD107,RFUCD207,RFUCD307,RFUCD407,RFUCD607,RFUCD707,RFUCD807,RFUCD907,RFUCRD07,RFUCET07,RFUCMO07,RFUCGI07
2206,22,Sud-Oise,244330.7,12579,18853,26221,13642,7362,11075,13941,16438,21429,24411,28513,36086,4.9,20108.29,21599.24,0.3428
2207,22,Soissons,67668.6,10775,16169,22478,11703,6401,9515,11930,14032,18356,20895,24465,31129,4.9,14842.15,18467.82,0.3425
2208,22,Beauvais,125484.7,11778,17564,24066,12288,6887,10375,13054,15369,19887,22474,25979,32266,4.7,16330.87,19584.73,0.3301
2209,22,Compiègne,116122.8,12101,17916,24959,12858,7295,10748,13316,15610,20369,23216,27093,34291,4.7,17042.57,20536.16,0.3382
2210,22,Santerre-Oise,24478.2,11047,16114,21785,10738,6978,9868,12100,14182,18181,20485,23385,28949,4.1,14072.64,17828.65,0.3114
2211,22,Abbeville-Ponthieu,42427.2,9862,15244,21497,11635,5484,8554,11066,13184,17424,19958,23538,30679,5.6,15651.04,17724.10,0.3648
2212,22,Vimeu,41822.9,10924,15669,21023,10099,6923,9684,12025,13889,17517,19660,22655,27990,4.0,15069.78,17558.62,0.3180
2219,22,Santerre-Somme,59734.0,10259,15248,20971,10712,6162,9024,11325,13331,17222,19562,22712,28668,4.7,13844.12,17310.36,0.3382
2231,22,Saint-Quentin,87641.8,9388,15186,21537,12149,4758,7989,10658,13033,17390,19997,23439,29750,6.3,19632.21,17475.73,0.3761
2232,22,Chauny-Tergnier-La Fère,43902.5,9758,15019,20888,11130,5382,8482,10842,13007,17113,19501,22543,28010,5.2,12691.73,16654.54,0.3390
2241,22,Thiérache,44573.4,8470,13501,19204,10734,4099,7320,9526,11575,15583,17835,20837,25767,6.3,13154.35,15145.23,0.3604
2242,22,Laonnois,64371.3,10287,15765,22035,11748,5928,9003,11509,13684,17998,20535,23957,30188,5.1,14283.56,17841.44,0.3443
2307,23,Pays-de-Bray,24583.1,10826,15729,21552,10726,6695,9695,11922,13827,17835,20213,23210,28590,4.3,14095.94,17656.40,0.3236
2308,23,Vallée-de-la-Bresle,32124.4,11145,15895,21504,10359,6950,9964,12205,14066,17821,20078,23272,29164,4.2,15373.27,18059.12,0.3256
2311,23,Fécamp,27499.6,10994,15909,21895,10901,6906,9783,12059,14000,18002,20452,23757,29866,4.3,14273.85,18135.80,0.3282
2313,23,Pont-Audemer,29816.4,11320,16441,22956,11636,7253,10056,12461,14500,18637,21283,24880,31403,4.3,15194.34,18967.44,0.3340
2314,23,Bernay,43537.9,11543,16711,22734,11191,7166,10326,12680,14712,18803,21275,24598,30785,4.3,15099.24,18847.49,0.3255
2316,23,Verneuil-sur-Avre,18775.2,11131,16178,21905,10774,6604,9911,12284,14248,18187,20464,23648,29822,4.5,14050.96,18125.70,0.3267
2317,23,Vernon,60267.3,12478,18273,25243,12765,7366,10983,13781,16060,20662,23447,27337,34636,4.7,17277.93,20796.58,0.3326
2318,23,Gisors,19487.1,12139,17310,23372,11233,8050,10925,13305,15381,19379,21854,25347,31356,3.9,14596.92,19373.52,0.3087
2321,23,Rouen,482319.9,11770,17674,24475,12705,6557,10290,13077,15445,20040,22788,26528,33361,5.1,17064.83,19939.28,0.3420
2322,23,Dieppe,66925.6,11040,16156,22069,11029,6613,9786,12178,14173,18244,20671,23975,30371,4.6,14469.30,18268.06,0.3331
2323,23,Le Havre,235088.1,10840,16712,23513,12673,5858,9407,12150,14472,19084,21827,25541,32045,5.5,16207.00,18888.73,0.3506
2324,23,Lillebonne,40560.8,11974,17287,23827,11853,7716,10823,13184,15227,19478,22179,25702,31998,4.1,16972.89,19546.58,0.3154
2325,23,Évreux,116269.5,12533,18176,24790,12257,7455,11100,13795,16035,20432,23145,26737,33353,4.5,17631.97,20384.29,0.3243
2411,24,Bourges,121432.3,11962,17378,23830,11868,6926,10588,13177,15312,19567,22175,25792,32192,4.6,15837.33,19386.24,0.3270
2412,24,Vierzon,32761.7,10974,15949,21602,10628,6142,9667,12086,14102,17924,20191,23265,28633,4.7,13150.14,17535.54,0.3233
2413,24,Saint-Amand-Montrond,32561.9,10671,15586,21222,10551,6447,9481,11721,13697,17531,19780,22867,28497,4.4,13768.11,17327.71,0.3265
2414,24,Aubigny,25861.3,11416,16443,22671,11255,7430,10336,12507,14527,18523,21113,24701,31673,4.3,15491.43,19111.49,0.3354
2421,24,Chartres,133936.3,13746,19198,26006,12260,8871,12439,14960,17132,21482,24288,28077,35127,4.0,17242.73,21771.83,0.3112
2422,24,Dreux,81064.7,11522,17535,24120,12598,6584,10057,12832,15282,19895,22485,26202,32741,5.0,16487.20,19609.97,0.3373
2423,24,Châteaudun,39380.3,12379,17209,22971,10592,7951,11182,13454,15336,19078,21416,24852,31155,3.9,15012.33,19362.10,0.3094
2424,24,Nogent-le-Rotrou,25019.1,11838,16582,22195,10357,7352,10605,12920,14794,18584,20867,23844,29619,4.0,13012.30,18386.27,0.3076
2431,24,Châteauroux,79025.0,11592,16627,22569,10977,7110,10327,12752,14743,18667,21116,24410,30500,4.3,15246.14,18714.89,0.3241
2432,24,Argenton-sur-Creuse,34540.1,10560,15129,20750,10190,6633,9487,11573,13362,17017,19328,22401,28154,4.2,13336.11,17100.26,0.3237
2433,24,Issoudun,24539.3,11810,16507,21842,10032,7663,10670,12896,14774,18352,20539,23515,29001,3.8,13587.28,18409.10,0.3076
2434,24,La Châtre,20184.6,10575,15197,20703,10128,6979,9568,11523,13325,17143,19314,22377,27977,4.0,12596.42,17140.49,0.3163
