Revenus fiscaux localisés des ménages - Année 2007,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2 000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,
© Insee     Source : Insee-DGFip Revenus fiscaux localisés des ménages ,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,
,,,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),Intervalle inter-quartiles (€),1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),Rapport inter-déciles,Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,NBUC07,RFUCQ107,RFUCQ207,RFUCQ307,RFUCIQ07,RFUCD107,RFUCD207,RFUCD307,RFUCD407,RFUCD607,RFUCD707,RFUCD807,RFUCD907,RFUCRD07,RFUCET07,RFUCMO07,RFUCGI07
4288,42,Altkirch,42225.2,14574,20410,27657,13083,9995,13305,15777,18017,22898,25886,29711,36571,3.7,17434.01,22760.09,0.2937
4291,42,Haguenau-Niederbronn,93245.5,13656,19124,25517,11861,9005,12379,14841,17012,21365,23959,27340,33390,3.7,14558.71,21105.24,0.2945
4292,42,Saverne-Sarre-Union,71368.5,13103,18163,24198,11095,8918,11927,14184,16181,20258,22702,26052,31784,3.6,14487.60,20187.96,0.2917
4293,42,Molsheim-Schirmeck,76535.6,14244,19537,26164,11920,9884,13020,15355,17457,21753,24485,28211,35139,3.6,26674.62,22306.11,0.3025
4294,42,Colmar-Neuf-Brisach,124144.2,13340,19048,25987,12647,8308,11933,14591,16814,21435,24230,28137,35423,4.3,17939.31,21711.54,0.3239
4295,42,Sélestat-Sainte-Marie-aux-Mines,74828.0,13213,18605,24852,11639,8811,11981,14352,16506,20791,23368,26650,32820,3.7,16717.42,20730.33,0.3014
4301,43,Vesoul,48915.5,11228,16322,22442,11214,7015,10030,12350,14333,18478,20953,24193,29845,4.3,15299.17,18363.93,0.3221
4302,43,Lure-Luxeuil,54654.3,10701,15583,20987,10286,6661,9577,11754,13721,17438,19674,22578,27924,4.2,13543.81,17210.17,0.3140
4303,43,Belfort,91961.8,11633,17509,24365,12732,6491,10121,12896,15242,19905,22633,26344,32732,5.0,17684.64,19563.89,0.3371
4304,43,Gray,27060.2,10809,15531,21363,10554,6838,9626,11822,13627,17457,19915,23122,28955,4.2,12881.36,17540.60,0.3212
4305,43,Montbéliard,131194.2,11178,16643,22713,11535,6684,9883,12349,14568,18814,21272,24526,30053,4.5,16592.12,18361.45,0.3218
4306,43,Dole,52817.5,11825,16932,22755,10930,7527,10624,12955,14993,19002,21350,24528,30158,4.0,24191.98,18848.84,0.3122
4307,43,Besançon,169272.4,12148,17754,24450,12302,7261,10773,13380,15593,20013,22715,26568,33529,4.6,23739.10,20233.22,0.3357
4308,43,Morteau,31233.6,13824,19846,27537,13713,9254,12537,15047,17405,22485,25573,29568,35904,3.9,14061.62,21969.35,0.2958
4309,43,Revermont,16924.0,11435,16182,21967,10532,7580,10379,12523,14375,18106,20502,23741,29803,3.9,15187.16,18460.32,0.3184
4310,43,Pontarlier,38137.3,13081,18485,25587,12506,8628,11853,14143,16358,21012,23871,27725,33945,3.9,16966.34,20812.39,0.3018
4311,43,Lons-le-Saunier,55237.2,11641,16770,22929,11288,7464,10455,12726,14774,18880,21429,24872,30941,4.1,15771.62,18969.72,0.3208
4312,43,Champagnole,15046.2,11583,16091,21719,10136,7628,10462,12515,14336,17980,20404,23639,29530,3.9,14491.87,18348.73,0.3111
4313,43,Saint-Claude,34971.2,12388,17673,24249,11861,7892,11020,13559,15625,19933,22558,26229,32257,4.1,14467.25,19794.78,0.3098
5201,52,Nantes,562341.1,12965,18375,25223,12258,8186,11651,14132,16259,20673,23459,27390,34771,4.2,20779.36,21150.71,0.3278
5202,52,Saint-Nazaire,207503.0,12288,17226,23431,11143,8103,11116,13313,15281,19308,21857,25446,32088,4.0,34663.35,19825.71,0.3219
5203,52,Châteaubriant,62674.4,10682,15023,20105,9423,7029,9677,11596,13339,16818,18906,21611,26585,3.8,11930.82,16616.94,0.3018
5204,52,Angers,248181.9,12065,17195,23669,11604,7320,10773,13167,15220,19366,21995,25721,32672,4.5,16541.88,19700.21,0.3315
5205,52,Choletais,145886.4,12034,16102,21138,9104,8282,11017,12927,14548,17845,19892,22718,28071,3.4,13936.04,18223.41,0.2939
5206,52,Saumur-Baugé,91612.1,10794,15356,20896,10102,6871,9693,11792,13612,17253,19460,22617,28340,4.1,13695.24,17380.63,0.3204
5207,52,Segréen-Sud-Mayenne,53794.2,11059,15223,20278,9219,7214,10004,11958,13643,17000,19031,21807,26685,3.7,12628.98,16972.56,0.3021
5208,52,Laval,84249.1,12310,17133,22887,10577,7847,11126,13366,15272,19088,21448,24761,30853,3.9,19088.50,19389.33,0.3152
5209,52,Mayenne-Nord-et-Est,83982.1,11200,15431,20499,9299,7282,10163,12097,13755,17199,19263,22067,26945,3.7,13153.23,17165.86,0.3031
5210,52,Le Mans,217957.1,12349,17551,23711,11362,7341,10981,13479,15575,19655,22173,25620,31797,4.3,15991.94,19613.10,0.3206
5211,52,Sarthe-Nord,66791.7,11767,16191,21343,9576,7718,10687,12709,14503,18010,20043,22933,28079,3.6,14738.96,17897.33,0.2960
5212,52,Sarthe-Sud,84096.2,11426,15805,20953,9527,7449,10382,12382,14152,17548,19705,22539,27735,3.7,14362.58,17590.14,0.3027
5213,52,La Roche-sur-Yon,118593.1,12277,16985,22514,10237,8296,11130,13350,15237,18887,21142,24294,30102,3.6,15904.14,19176.27,0.3046
5214,52,Vendée-Est,80988.8,12415,16492,21283,8868,8851,11415,13310,14946,18154,20111,22663,27251,3.1,16564.04,18327.21,0.2756
5215,52,Vendée-Sud,70131.3,11173,15645,21068,9895,7384,10151,12117,13921,17567,19752,22705,28213,3.8,12980.97,17591.65,0.3083
5216,52,Vendée-Ouest,128304.9,12329,17125,23430,11101,8425,11240,13326,15217,19229,21821,25412,32262,3.8,22337.40,20143.19,0.3262
5320,53,Dinan,66211.5,11573,16437,22459,10886,7645,10507,12574,14580,18509,20900,24383,30373,4.0,14175.56,18703.89,0.3165
5321,53,Guingamp,62750.4,10860,15595,21564,10704,6856,9772,11856,13725,17653,20043,23280,29436,4.3,14972.60,17754.33,0.3261
5323,53,Lannion,68366.3,11967,17266,24284,12317,7734,10765,13049,15196,19583,22442,26567,33593,4.3,15042.74,19762.39,0.3229
5324,53,Saint-Brieuc,154094.2,12302,17374,23679,11377,7946,11062,13425,15437,19505,22098,25624,32288,4.1,16243.32,19846.72,0.3213
5330,53,Brest,251302.9,12643,17638,23872,11229,8147,11432,13710,15665,19757,22286,25785,32054,3.9,17437.00,19889.04,0.3124
5331,53,Morlaix,89003.0,11737,16555,22424,10687,7816,10684,12756,14699,18506,20928,24303,30579,3.9,18468.06,18895.62,0.3180
5332,53,Quimper,196049.2,12505,17347,23579,11074,8334,11353,13557,15440,19451,21987,25563,32244,3.9,18217.67,19861.19,0.3137
5333,53,Carhaix,46925.4,10517,15105,20627,10110,6670,9550,11470,13303,17013,19246,22229,27579,4.1,12329.39,16793.53,0.3135
5340,53,Fougères,46620.8,11613,15817,20877,9264,7629,10533,12558,14251,17505,19567,22380,27498,3.6,28593.83,17848.84,0.3071
5341,53,Rennes,410396.6,13073,18536,25291,12218,8326,11743,14277,16425,20810,23565,27466,34680,4.2,19260.00,21173.62,0.3221
5342,53,Saint-Malo,87415.1,11911,17085,23904,11993,7583,10733,12950,15044,19377,22163,26188,33670,4.4,25596.26,20264.20,0.3464
5343,53,Vitré,49446.7,12335,16600,21867,9532,8641,11329,13257,14949,18441,20569,23431,29024,3.4,16456.09,18826.09,0.2945
5344,53,Redon,51806.0,11330,15958,21206,9876,7479,10195,12335,14193,17822,19908,22830,28035,3.7,12505.27,17630.12,0.3009
5350,53,Auray,61068.8,12421,17387,23922,11501,8292,11238,13440,15447,19537,22168,26125,33593,4.1,16979.06,20223.93,0.3228
5351,53,Ploërmel,42567.0,11464,16054,21243,9779,7656,10411,12427,14268,17780,19966,22763,27774,3.6,12598.13,17647.94,0.2939
5352,53,Vannes,132676.9,12669,17905,24618,11949,8302,11444,13794,15851,20106,22842,26806,34266,4.1,18417.67,20796.69,0.3273
5353,53,Lorient,186021.3,12027,17052,23123,11096,7640,10810,13111,15095,19099,21583,24987,31246,4.1,16882.78,19198.64,0.3178
5354,53,Pontivy-Loudéac,84439.2,11397,15979,21268,9871,7642,10313,12352,14215,17755,19945,22862,28077,3.7,14542.25,17849.11,0.3049
5401,54,Nord-Poitou,34967.0,10809,15180,20604,9795,7009,9794,11693,13472,17064,19234,22279,28055,4.0,16947.61,17446.07,0.3271
5402,54,Châtellerault,58779.8,11265,16484,22419,11154,6553,9990,12390,14518,18567,20930,24239,30053,4.6,16934.48,18396.28,0.3323
5403,54,Montmorillon,29554.5,10837,15439,21361,10524,6977,9785,11886,13753,17428,19828,23177,28975,4.2,13432.73,17580.45,0.3209
5404,54,Haute-Charente,44981.7,9717,14315,19929,10212,5881,8675,10639,12443,16290,18530,21541,26933,4.6,18848.58,16219.19,0.3373
5405,54,Angoulême,143675.5,11497,16839,23000,11503,6782,10194,12680,14830,18976,21469,24937,31256,4.6,14303.23,18842.89,0.3294
5406,54,Sud-Charentes,52014.3,9904,14522,20367,10463,6040,8867,10861,12668,16529,18918,22057,28054,4.6,13994.08,16675.55,0.3392
5407,54,Cognac,55511.6,11618,16632,23003,11385,7100,10390,12624,14632,18827,21397,25052,32090,4.5,16332.33,19336.63,0.3417
5408,54,Saintonge-Intérieure,82882.6,10846,15780,21917,11071,6667,9689,11907,13825,17876,20389,23781,29994,4.5,14330.38,17926.43,0.3317
5409,54,Saintonge-Maritime,127406.5,11383,16491,23189,11806,7100,10191,12429,14472,18734,21474,25239,32288,4.5,20164.97,19199.00,0.3407
5410,54,La Rochelle,153371.9,12376,17852,25044,12668,7682,11094,13551,15697,20269,23188,27356,35059,4.6,21820.86,20960.61,0.3443
5411,54,Sud-Deux-Sèvres,140908.5,11963,17067,23555,11592,7729,10758,13013,15075,19270,21943,25608,32270,4.2,16227.86,19509.64,0.3225
5412,54,Nord-Deux-Sèvres,85609.8,11060,15164,20250,9190,7438,10102,11929,13573,16919,19000,21761,26879,3.6,17849.56,17269.61,0.3102
5413,54,Poitiers,158232.0,12238,17795,24549,12311,7390,10902,13463,15694,20090,22804,26667,33766,4.6,22831.23,20219.50,0.3329
7201,72,Nord-Est-de-la-Dordogne,29797.3,10444,14998,20418,9974,6567,9421,11357,13217,16880,19115,22082,28014,4.3,12172.94,16768.21,0.3186
7202,72,Périgueux,110597.8,11340,16600,22885,11545,6793,10080,12487,14608,18761,21318,24833,31109,4.6,17424.78,18773.88,0.3326
7203,72,Terrasson,20537.1,10221,15214,21102,10881,6021,9070,11331,13256,17279,19712,22870,28449,4.7,12271.66,16974.50,0.3279
7204,72,Sarlat-la-Canéda,29666.2,10519,15611,21942,11423,6562,9435,11607,13618,17785,20401,24023,30981,4.7,15527.73,18105.65,0.3435
7205,72,Bergerac,62119.2,10668,15839,22064,11396,6200,9466,11796,13843,17990,20509,24083,30474,4.9,15392.83,18144.82,0.3449
7206,72,Dax,89484.3,12004,16979,22963,10959,7765,10833,13097,15080,19075,21435,24753,30935,4.0,20935.86,19241.07,0.3168
7207,72,Marmande-Casteljaloux,44485.1,10463,15377,21364,10901,6253,9345,11467,13496,17422,19896,23161,29458,4.7,15161.25,17701.57,0.3431
7210,72,Agen,107965.0,10745,16245,22800,12055,6070,9469,11920,14133,18494,21129,24785,31506,5.2,15573.51,18548.08,0.3486
7211,72,Lacq-Orthez,44777.3,11698,16686,22827,11129,7564,10540,12744,14724,18809,21342,24669,30327,4.0,16782.62,18649.87,0.3108
7212,72,Oloron-Mauléon,28884.2,11556,16399,22290,10734,7419,10298,12682,14604,18512,20871,23989,29637,4.0,12356.05,18151.64,0.3018
7213,72,Pau,171388.0,12449,18181,25516,13067,7610,11097,13673,15921,20674,23680,27843,35496,4.7,16802.37,20924.86,0.3365
7214,72,Libourne-Montpon-Sainte-Foy-la-Grande,103432.1,10348,15451,21618,11270,5840,9095,11446,13462,17581,20109,23499,29864,5.1,17215.16,17760.76,0.3531
7215,72,Langon-Bazas-La Réole,51233.9,10586,15683,21718,11132,6237,9426,11713,13736,17834,20215,23567,29750,4.8,14431.75,17790.01,0.3396
7216,72,Villeneuve-sur-Lot-Fumel,61371.6,9870,14792,20832,10962,5694,8721,10909,12860,16868,19340,22653,28821,5.1,17027.10,17046.35,0.3504
7271,72,Bordeaux-Médoc,50988.8,11358,16490,22446,11088,6960,10124,12499,14521,18535,20943,24241,30275,4.4,18721.52,18705.34,0.3311
7272,72,Bordeaux-Arcachonnais,117184.4,13329,18767,25801,12472,8889,12090,14496,16628,21104,23991,28009,35110,3.9,20296.30,21672.72,0.3210
7273,72,Bordeaux-Entre-Deux-Mers,46411.6,11786,16826,22976,11190,7685,10590,12909,14847,18939,21454,24774,30642,4.0,14936.77,18929.34,0.3161
7274,72,Bordeaux-Cubzacais,56068.1,10642,15690,21609,10967,6683,9503,11701,13682,17719,20134,23339,28985,4.3,12551.84,17446.97,0.3202
7275,72,Bordeaux-Zone-Centrale,547990.3,12790,19146,26965,14175,7157,11229,14177,16686,21800,24985,29404,37456,5.2,20860.81,22130.25,0.3529
7281,72,Mont-de-Marsan-Haute-Lande,12566.0,11026,15853,21598,10572,7014,9847,12123,14002,17911,20125,23356,29327,4.2,13399.18,17914.46,0.3214
7282,72,Mont-de-Marsan-Est-des-Landes,77813.1,12088,17111,23008,10920,7700,10863,13167,15164,19175,21548,24786,30950,4.0,16381.07,19258.48,0.3183
7291,72,Sud-des-Landes,55042.1,13089,18247,24849,11760,8694,11821,14223,16225,20493,23155,26998,34107,3.9,19860.20,21047.37,0.3190
7292,72,Bayonne-Pyrénées,182482.8,12186,17666,24784,12598,7533,10947,13335,15512,20046,22973,27138,35325,4.7,19644.25,20961.14,0.3523
7301,73,Toulouse,771409.1,12712,19217,27274,14562,7295,11169,14118,16681,21993,25260,29734,37595,5.2,23429.53,22142.64,0.3495
7302,73,Montauban,154372.5,10306,15599,21854,11548,5840,9084,11429,13524,17822,20335,23657,29791,5.1,14582.47,17675.37,0.3450
7303,73,Albi-Carmaux,129278.8,10839,15955,22419,11580,6239,9595,11972,14004,18152,20773,24405,30910,5.0,17910.88,18304.59,0.3433
7304,73,Tarbes,116952.9,11370,16671,22927,11557,6830,10095,12516,14607,18824,21330,24765,30816,4.5,16573.02,18678.84,0.3268
7305,73,Rodez,98322.5,11213,16403,22745,11532,7340,10129,12313,14383,18602,21155,24669,31221,4.3,17381.29,18885.54,0.3311
7306,73,Castres-Mazamet,93130.1,10677,15552,21560,10883,6088,9445,11749,13722,17536,19972,23358,29696,4.9,14753.49,17742.24,0.3415
7307,73,Auch,89456.4,10834,15987,22299,11465,6682,9672,11902,13979,18118,20748,24291,30755,4.6,16666.34,18284.94,0.3373
7308,73,Saint-Gaudens,57566.1,10799,16116,22381,11582,6410,9620,11947,14050,18287,20861,24325,30665,4.8,15528.19,18237.98,0.3377
7309,73,Figeac-Decazeville,45263.2,10754,15645,21619,10865,6719,9587,11777,13721,17703,20084,23375,29193,4.3,14353.45,17620.87,0.3243
7310,73,Cahors,55238.0,10816,16223,22884,12068,6444,9662,11985,14151,18555,21250,25007,31707,4.9,14815.51,18529.77,0.3399
7311,73,Millau,40911.1,10434,15185,21038,10604,6145,9262,11507,13368,17185,19564,22785,28633,4.7,13596.69,17186.15,0.3308
7312,73,Nord-de-Lot,35767.9,10840,15848,22031,11191,6884,9761,11908,13852,17918,20457,23806,30300,4.4,15734.46,18125.45,0.3315
7313,73,Lourdes,27651.0,11437,15974,21801,10364,7397,10236,12449,14258,17926,20286,23624,29767,4.0,14424.58,18224.01,0.3193
7316,73,Villefranche-de-Rouergue,23700.4,10293,15093,21136,10843,6440,9282,11266,13095,17228,19663,22949,29681,4.6,18519.92,17660.74,0.3470
7317,73,Lannemezan,21184.4,11348,16505,22621,11273,7348,10270,12393,14481,18687,21088,24313,29586,4.0,11642.22,18100.57,0.3031
7318,73,Saint-Girons,18468.2,9583,15163,21876,12293,4536,8234,10794,12916,17561,20280,23867,29696,6.5,14287.30,16957.61,0.3564
7319,73,Lavelanet,17688.3,9996,14814,20085,10089,5447,8769,11063,13064,16619,18851,21685,27186,5.0,13503.94,16430.89,0.3366
7320,73,Foix-Pamiers,56224.6,10915,16144,22342,11427,6352,9660,12094,14113,18314,20810,24174,30399,4.8,17594.75,18101.23,0.3329
7401,74,Bellac,27354.9,10175,14939,20507,10332,6101,9052,11198,13065,16861,19188,22158,27577,4.5,13941.54,16586.64,0.3272
7402,74,Limoges,194015.1,11825,17728,24503,12678,6537,10352,13160,15499,20105,22834,26654,33378,5.1,16765.24,19908.00,0.3405
7403,74,Rochechouart,25164.8,11216,16067,21710,10494,7083,10150,12291,14254,18092,20377,23458,29157,4.1,12645.13,17890.24,0.3135
7404,74,Aubusson,25922.6,9353,13771,19581,10228,5416,8305,10288,11981,15751,18137,21321,26826,5.0,13032.76,15761.25,0.3407
7405,74,Guéret,58377.5,10192,15211,21394,11202,6305,9136,11184,13192,17360,19895,23260,29033,4.6,13243.27,17261.95,0.3346
7406,74,Brive,86755.9,11765,16987,23440,11675,7677,10558,12889,14964,19155,21760,25459,32289,4.2,17720.45,19613.80,0.3293
7407,74,Tulle,52686.6,11439,16677,22987,11548,7458,10277,12543,14636,18852,21389,24778,30855,4.1,13709.97,18541.40,0.3112
7408,74,Ussel,22371.0,10850,15678,21445,10595,6843,9700,11956,13878,17602,20045,23238,29298,4.3,13845.50,17782.16,0.3244
8201,82,Roanne,118169.3,11563,16149,21657,10094,7173,10384,12577,14414,18007,20225,23389,29108,4.1,16772.03,18205.24,0.3159
8202,82,Beaujolais-Val-de-Saône,102356.1,11883,17391,23951,12068,7230,10528,13089,15249,19704,22349,26010,33005,4.6,16777.88,19783.97,0.3308
8203,82,Bourg-en-Bresse,124662.9,12833,17916,24044,11211,8526,11626,13936,15976,20019,22511,25894,32317,3.8,15066.91,20157.84,0.3034
8204,82,Oyonnax,39189.8,10875,16310,22582,11707,6684,9571,12079,14255,18467,21056,24415,30766,4.6,16434.41,18777.99,0.3426
8205,82,Genevois-Français,181307.8,13347,21583,32869,19522,6601,11477,15032,18242,25376,30024,36272,47487,7.2,25817.21,25867.96,0.3900
8206,82,Chablais,60665.6,13418,19519,27304,13886,8621,12017,14705,17033,22223,25412,29789,38194,4.4,18168.06,22684.21,0.3334
8207,82,Vallée-de-l'Arve,113586.7,13420,19256,26430,13010,8693,12103,14681,16947,21677,24605,28683,36704,4.2,23518.64,22345.54,0.3301
8208,82,Annecy,168401.3,14289,20243,27944,13655,9220,12850,15556,17924,22850,25936,30422,39004,4.2,26123.61,23688.04,0.3313
8209,82,Belley,33021.6,12231,17315,23538,11307,7920,10933,13355,15412,19507,21982,25399,31621,4.0,18989.56,19483.60,0.3105
8210,82,Ambérieu,60005.0,13068,18280,24592,11524,8608,11821,14218,16250,20441,22981,26525,32892,3.8,14640.40,20323.23,0.2964
8211,82,Lyon,1125318.3,12349,19021,27152,14803,6961,10751,13801,16457,21764,25061,29727,38371,5.5,24449.49,22278.77,0.3622
8212,82,Loire-centre,55378.9,11530,16263,22120,10590,7696,10426,12494,14407,18237,20679,23892,29898,3.9,14066.85,18519.39,0.3147
8213,82,Saint-Étienne,321979.3,10998,16531,22908,11910,6250,9625,12244,14449,18747,21329,24821,31214,5.0,15701.85,18692.91,0.3410
8214,82,Vienne-Roussillon,102238.3,12188,17813,24431,12243,7456,10843,13444,15667,20104,22823,26384,32876,4.4,15799.76,20037.08,0.3233
8215,82,Bourgoin-La Tour-du-Pin,116458.8,12526,17704,24100,11574,8132,11280,13651,15665,19923,22502,26053,32301,4.0,15457.90,19959.08,0.3100
8216,82,Chambéry,151206.5,13099,18865,25959,12860,8149,11726,14312,16571,21278,24154,28155,35608,4.4,18454.98,21624.93,0.3290
8217,82,Tarentaise,73858.6,12553,17799,24196,11643,8188,11377,13679,15741,19947,22573,26209,33035,4.0,17635.34,20566.81,0.3270
8218,82,Maurienne,29199.5,12841,17775,23793,10952,8622,11655,13899,15776,19884,22279,25583,31411,3.6,13058.63,19740.59,0.2937
8219,82,Voiron,97307.2,12844,18072,24610,11766,8560,11616,13943,16041,20303,22976,26617,33171,3.9,14957.83,20442.49,0.3070
8220,82,Annonay,42948.0,11606,16371,21831,10225,7512,10435,12701,14631,18255,20438,23452,28685,3.8,16083.71,18282.62,0.3092
8221,82,Drôme-Ardèche-Nord,60411.8,11014,16035,21886,10872,6932,9869,12059,14120,18072,20437,23671,29203,4.2,15765.84,18000.38,0.3206
8222,82,Romans-Saint-Marcellin,83497.6,11151,16300,22448,11297,6658,9871,12265,14338,18387,20910,24363,30833,4.6,15909.48,18486.32,0.3324
8223,82,Grenoble,382990.8,13015,19322,27240,14225,7801,11541,14378,16835,22030,25254,29728,37625,4.8,22952.50,22262.33,0.3403
8224,82,Crest-Die,26363.2,10550,15519,21898,11348,5979,9373,11569,13577,17734,20320,23907,30397,5.1,13675.83,17717.38,0.3394
8225,82,Drôme-Ardèche-Centre,156303.1,11382,16881,23424,12042,6685,10061,12560,14777,19132,21807,25457,32210,4.8,23885.70,19257.08,0.3412
8226,82,Aubenas,61414.4,10000,15186,21339,11339,5610,8754,11133,13197,17286,19761,23139,29039,5.2,19995.71,17236.78,0.3481
8227,82,Drôme-Ardèche-Sud,113524.0,10516,16146,22904,12388,5887,9211,11717,13944,18475,21225,24905,31475,5.3,16283.57,18391.91,0.3490
8311,83,Aurillac,56286.2,11065,16181,22410,11345,7086,9918,12171,14193,18311,20789,24305,30503,4.3,17129.26,18555.21,0.3324
8313,83,Mauriac,20801.4,9727,14084,19496,9769,6249,8848,10613,12337,15942,18180,21231,26668,4.3,14471.86,16313.23,0.3357
8314,83,Saint-Flour,23885.0,9759,14081,19753,9994,6143,8737,10621,12364,16020,18314,21429,27200,4.4,15975.44,16428.07,0.3378
8324,83,Clermont-Ferrand,323350.3,12339,18172,25190,12851,7495,10964,13578,15893,20589,23434,27395,34485,4.6,18026.13,20702.85,0.3344
8325,83,Gannat,10024.4,10628,15248,21234,10606,6523,9528,11607,13409,17279,19779,23120,29227,4.5,14264.89,17439.07,0.3308
8331,83,Issoire,38231.9,11487,16339,21835,10348,7340,10344,12494,14428,18258,20485,23483,29032,4.0,14622.83,18193.30,0.3121
8333,83,Brioude,20796.5,9918,14544,20509,10591,6135,8932,10824,12645,16595,19075,22280,27989,4.6,13288.79,16618.77,0.3340
8343,83,Montluçon,86148.3,10773,15714,21658,10885,6215,9572,11874,13813,17769,20196,23329,29033,4.7,13736.09,17586.51,0.3308
8351,83,Moulins,53552.4,11319,16504,22739,11420,6498,10060,12455,14565,18702,21216,24632,30842,4.7,14882.03,18532.44,0.3317
8352,83,Dompierre-sur-Besbre,14836.3,10205,14475,19697,9492,6843,9248,11085,12739,16266,18462,21081,26423,3.9,11257.15,16179.72,0.3085
8362,83,Le Puy-en-Velay,67054.3,10663,15621,21828,11165,6536,9612,11700,13682,17761,20263,23685,29819,4.6,15095.30,17891.71,0.3340
8372,83,Yssingeaux,53410.8,11589,16079,21601,10012,7756,10472,12528,14352,18034,20251,23274,28978,3.7,15869.61,18196.99,0.3050
8381,83,Thiers,25768.5,10523,15364,21234,10711,6226,9326,11558,13529,17312,19759,23036,28974,4.7,12841.89,17333.20,0.3281
8382,83,Ambert,20380.8,10348,14996,21003,10655,6519,9285,11374,13161,17070,19554,22741,28784,4.4,34821.93,17495.51,0.3409
8391,83,Vichy,76383.6,11105,16140,22447,11342,6611,9869,12223,14228,18236,20843,24431,31177,4.7,15573.34,18469.47,0.3386
8392,83,Saint-Pourcain-sur-Sioule,14295.7,10828,15466,20743,9915,6931,9762,11775,13639,17380,19544,22364,27660,4.0,11643.68,17020.37,0.3095
9101,91,Carcassonne,130091.2,9600,14929,21293,11693,4779,8351,10775,12873,17137,19746,23172,29455,6.2,14941.95,16979.13,0.3627
9102,91,Narbonne,98858.6,9444,14779,21197,11753,4672,8163,10574,12725,16991,19620,23075,29449,6.3,15945.38,16969.10,0.3698
9103,91,Alès-La-Grand-Combe,98678.7,9094,14518,20752,11658,3930,7710,10345,12506,16637,19194,22569,28537,7.3,15005.32,16387.81,0.3712
9104,91,Bagnols-sur-Cèze,76558.0,11399,17420,24927,13528,6343,9941,12702,15097,19988,23052,27120,34631,5.5,16638.14,20099.94,0.3547
9105,91,Ganges-Le Vigan,29760.4,9188,14333,20529,11341,4460,7949,10297,12413,16432,18969,22454,28421,6.4,13783.38,16278.52,0.3622
9106,91,Nîmes,267500.5,9629,15820,22887,13258,4391,8152,10998,13465,18276,21153,24989,31803,7.2,16999.67,18070.79,0.3777
9107,91,Béziers-Saint-Pons,200329.5,9103,14608,21111,12008,4219,7780,10316,12470,16847,19496,23119,29711,7.0,16846.09,16931.06,0.3821
9108,91,Montpellier,384385.3,10645,17329,25482,14837,5276,9068,12114,14767,20125,23450,28026,36181,6.9,19085.09,20273.22,0.3813
9109,91,Sète,80856.8,10286,15913,22501,12215,5239,8897,11508,13745,18158,20850,24524,31063,5.9,15705.72,18007.45,0.3578
9110,91,Lozère,49104.9,10603,15732,21781,11178,6466,9451,11659,13699,17845,20258,23661,29417,4.5,14175.13,17705.29,0.3291
9111,91,Perpignan,301952.9,9482,15255,22067,12585,4330,8060,10757,13046,17596,20375,24087,30787,7.1,16360.86,17564.68,0.3792
9311,93,Manosque,48396.6,10716,16387,23616,12900,6016,9349,11966,14148,18819,21770,25829,32604,5.4,17655.45,18906.00,0.3526
9312,93,Digne,55386.7,10697,16141,22619,11922,6132,9457,11857,14021,18415,21059,24699,30813,5.0,18453.41,18218.34,0.3390
9321,93,Briançon,23625.1,11806,16521,22715,10909,7547,10609,12823,14628,18609,21103,24757,31135,4.1,14548.35,19019.51,0.3210
9322,93,Gap,67335.4,11400,16621,23154,11754,7110,10194,12506,14575,18822,21483,25272,31913,4.5,15030.23,19048.34,0.3323
9331,93,Cannes-Antibes,282119.9,12097,18813,27835,15738,6942,10636,13470,16135,21782,25439,30833,40693,5.9,28111.08,23200.80,0.3881
9332,93,Menton,54596.7,12597,18964,27048,14451,7771,11209,13930,16491,21749,24950,29499,37977,4.9,19486.56,22209.12,0.3491
9333,93,Nice,423092.3,11049,17809,26178,15129,5504,9444,12499,15177,20663,24030,28820,37707,6.9,23502.65,21247.49,0.3888
9341,93,Arles,54741.7,9076,15126,22300,13224,4212,7667,10393,12759,17613,20547,24514,32207,7.6,24042.58,17890.31,0.3957
9342,93,Aix-en-Provence,177678.7,12964,20001,29203,16239,7406,11398,14373,17171,23082,26848,32130,41860,5.7,24834.71,23923.12,0.3714
9344,93,Étang-de-Berre,88399.4,11090,17316,24298,13208,6112,9642,12466,14944,19776,22641,26348,32584,5.3,14206.04,19063.16,0.3343
9346,93,Châteaurenard,53260.1,10734,16339,23290,12556,6302,9476,11898,14181,18750,21572,25469,33151,5.3,23091.50,19504.63,0.3688
9347,93,Fos-sur-Mer,128978.2,11149,16989,23848,12699,6367,9781,12409,14721,19420,22209,25773,31782,5.0,16208.22,18756.48,0.3270
9348,93,Salon-de-Provence,48607.0,12150,18327,25946,13796,6903,10692,13481,15938,20908,24008,28133,35618,5.2,18401.91,20860.70,0.3406
9349,93,Marseille-Aubagne,720841.9,9201,16585,25102,15901,3398,7442,10814,13757,19562,22991,27636,35856,10.6,20540.91,19506.66,0.4133
