Revenus fiscaux des ménages - Année 2001,,,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,,,
"© Insee     Source : Insee-DGI, Revenus fiscaux des ménages",,,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,,,
,,,"Nb de ménages
au RP 1999",PSDC99,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),"Intervalle
inter-quartiles (€)",1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),"Rapport
inter-déciles",Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,MEN99,PSDC99,NBUC01,RFUCQ101,RFUCQ201,RFUCQ301,RFUCIQ01,RFUCD101,RFUCD201,RFUCD301,RFUCD401,RFUCD601,RFUCD701,RFUCD801,RFUCD901,RFUCRD01,RFUCET01,RFUCMO01,RFUCGI01
2108,21,Haute vallée de la Marne,48308,116906,76509.3,9194,13301,18303,9109,6045,8288,10071,11716,15023,17048,19798,24745,4.1,11642.51,14993.34,0.3152
2202,22,Amiens,132778,342110,212019.8,8740,13751,19640,10900,4824,7595,9813,11770,15825,18196,21381,27024,5.6,12928.19,15640.43,0.3537
2205,22,Château-Thierry,26210,68570,43921.0,9480,14190,19891,10411,5961,8402,10462,12279,16118,18470,21644,27439,4.6,12869.17,16326.59,0.3378
2206,22,Sud Oise,133957,371611,233515.0,10476,15999,22348,11872,6193,9218,11651,13862,18204,20795,24321,30747,5.0,15517.27,18132.66,0.3390
2207,22,Soissons,38191,100627,63918.8,8692,13253,18744,10052,5219,7670,9655,11475,15237,17451,20445,25773,4.9,12144.25,15226.56,0.3432
2208,22,Beauvais,68419,185405,117272.5,9725,14759,20379,10654,5719,8527,10824,12817,16768,19029,22036,27400,4.8,12140.70,16388.33,0.3290
2209,22,Compiègne,65121,173943,109507.1,9889,14908,20917,11028,6025,8747,10895,12930,17051,19433,22740,28655,4.8,13167.67,16926.03,0.3342
2210,22,Santerre-Oise,12759,35482,22919.7,8759,13197,18213,9454,5705,7827,9687,11402,15020,17029,19560,23962,4.2,11559.21,14642.54,0.3158
2211,22,Abbeville-Ponthieu,24534,62804,40186.0,8003,12442,17911,9908,4528,6970,8989,10709,14386,16610,19575,25424,5.6,11985.02,14466.40,0.3591
2212,22,Vimeu,23828,61360,39983.9,8915,13031,17705,8790,5717,7976,9807,11446,14613,16509,19141,23950,4.2,12170.04,14669.43,0.3219
2219,22,Santerre-Somme,33633,89277,56714.4,8545,12714,17694,9149,5280,7560,9445,11091,14462,16431,19122,24377,4.6,12208.90,14590.00,0.3380
2231,22,Saint-Quentin,52365,134597,85231.5,7948,12723,18138,10190,4284,6875,8993,10924,14611,16808,19767,25150,5.9,12105.11,14535.98,0.3619
2232,22,Chauny-Tergnier-La Fère,25614,65968,41827.2,8154,12473,17619,9465,4652,7142,9085,10787,14271,16374,19103,23641,5.1,10884.35,13934.96,0.3351
2241,22,Thiérache,26691,68822,43382.3,7175,11259,16147,8972,4011,6251,8020,9633,12981,14984,17555,21920,5.5,9628.07,12686.86,0.3474
2242,22,Laonnois,36871,96905,60723.4,8597,13193,18684,10087,5174,7610,9560,11390,15143,17355,20331,25551,4.9,10887.44,14946.18,0.3374
2307,23,Pays-de-Bray,14001,35025,22762.2,8921,13173,18212,9291,5565,8049,9855,11519,14976,17044,19622,24294,4.4,11653.99,14775.53,0.3235
2308,23,Vallée-de-la-Bresle,18646,47672,30848.7,9096,13142,18119,9023,5814,8134,9993,11514,14878,16886,19663,24565,4.2,14850.85,15061.33,0.3265
2311,23,Fécamp,15715,40081,25941.9,8701,13056,18335,9634,5580,7767,9602,11281,14866,17031,19939,24878,4.5,11598.77,14854.72,0.3305
2313,23,Pont-Audemer,16073,40450,26529.2,9019,13212,18469,9450,5793,8021,9850,11552,15110,17212,20187,25961,4.5,11709.03,15262.36,0.3335
2314,23,Bernay,24552,62183,40308.0,9385,13825,19258,9873,5957,8401,10327,12038,15651,17904,20900,25981,4.4,15188.37,15779.06,0.3311
2316,23,Verneuil-sur-Avre,11024,27318,17462.9,9455,13608,18744,9289,5953,8451,10326,11986,15363,17541,20286,25622,4.3,11570.45,15388.88,0.3201
2317,23,Vernon,32697,88767,56377.6,10219,15312,21290,11071,6049,8991,11322,13339,17360,19786,23121,29267,4.8,13852.17,17321.94,0.3322
2318,23,Gisors,10346,27529,17474.2,9966,14431,19930,9964,6579,8955,10969,12750,16312,18585,21402,26762,4.1,11827.96,16301.24,0.3135
2321,23,Rouen,288745,724721,457051.5,9605,14716,20579,10974,5358,8345,10736,12771,16761,19145,22316,28010,5.2,12557.91,16455.80,0.3387
2322,23,Dieppe,38794,98451,63940.0,8816,13236,18470,9654,5375,7739,9771,11532,15039,17115,20017,25433,4.7,11404.87,15016.96,0.3367
2323,23,Le Havre,141181,360488,228676.0,8664,13637,19481,10817,4669,7467,9751,11719,15667,18063,21147,26459,5.7,12280.20,15336.86,0.3493
2324,23,Lillebonne,22382,59573,38097.3,9466,14037,19509,10043,6021,8498,10450,12233,15951,18213,21137,26166,4.3,11454.97,15767.69,0.3163
2325,23,Evreux,64407,167934,107803.9,10382,15440,21142,10760,6232,9150,11524,13530,17400,19769,22906,28632,4.6,13091.20,17187.76,0.3230
2411,24,Bourges,74661,179699,117395.1,9827,14639,20225,10398,5725,8684,10909,12804,16565,18839,21871,27097,4.7,11406.42,16176.12,0.3237
2412,24,Vierzon,20699,48766,31761.8,9044,13401,18313,9269,5095,7933,10035,11775,15177,17108,19803,24331,4.8,11684.19,14727.08,0.3243
